dataset	description	version	Scientific_common_name
lggca023078275v1rs_eg_gene	"Leguminivora glycinivorella (Soybean pod borer, SPB_JAAS2020) genes (LegGlyc_1.1)"	LegGlyc_1.1	"Leguminivora glycinivorella (Soybean pod borer, SPB_JAAS2020)"
lgigantea_eg_gene	Lottia gigantea (Owl limpet) genes (Lotgi1)	Lotgi1	Lottia gigantea (Owl limpet)
lhgca000217595v1rs_eg_gene	Linepithema humile (Argentine ant) genes (Lhum_UMD_V04)	Lhum_UMD_V04	Linepithema humile (Argentine ant)
lloa_eg_gene	"Loa loa (Eye worm, Cameroon SouthWest Province isolate) genes (Loa_loa_V3)"	Loa_loa_V3	"Loa loa (Eye worm, Cameroon SouthWest Province isolate)"
llongipalpis_eg_gene	"Lutzomyia longipalpis (Sand fly, Jacobina) genes (LlonJ1)"	LlonJ1	"Lutzomyia longipalpis (Sand fly, Jacobina)"
lpgca000517525v1_eg_gene	Limulus polyphemus (Atlantic horseshoe crab) genes (Limulus_polyphemus_2.1.2)	Limulus_polyphemus_2.1.2	Limulus polyphemus (Atlantic horseshoe crab)
lsalmonis_eg_gene	Lepeophtheirus salmonis (Salmon louse) genes (LSalAtl2s)	LSalAtl2s	Lepeophtheirus salmonis (Salmon louse)
lsgca016086655v3rs_eg_gene	"Lepeophtheirus salmonis (Salmon louse, Lsal2020) genes (UVic_Lsal_1.0)"	UVic_Lsal_1.0	"Lepeophtheirus salmonis (Salmon louse, Lsal2020)"
lvgca018143015v1_eg_gene	"Lytechinus variegatus (Green sea urchin, NC3) genes (Lvar_3.0)"	Lvar_3.0	"Lytechinus variegatus (Green sea urchin, NC3)"
mcgca905220565v1_eg_gene	"Melitaea cinxia (Glanville fritillary, reference) genes (ilMelCinx1.1)"	ilMelCinx1.1	"Melitaea cinxia (Glanville fritillary, reference)"
mcinxia_eg_gene	Melitaea cinxia (Glanville fritillary) genes (MelCinx1.0)	MelCinx1.0	Melitaea cinxia (Glanville fritillary)
mdestructor_eg_gene	"Mayetiola destructor (Hessian fly, Kansas Great Plain) genes (Mdes_1.0)"	Mdes_1.0	"Mayetiola destructor (Hessian fly, Kansas Great Plain)"
mdomestica_eg_gene	"Musca domestica (House fly, aabys) genes (MdomA1)"	MdomA1	"Musca domestica (House fly, aabys)"
mleidyi_eg_gene	Mnemiopsis leidyi (Warty comb jelly) genes (MneLei_Aug2011)	MneLei_Aug2011	Mnemiopsis leidyi (Warty comb jelly)
mmgca014805675v2_eg_gene	"Mercenaria mercenaria (Hard clam (quahog), YKG-2019) genes (ASM1480567v1.1)"	ASM1480567v1.1	"Mercenaria mercenaria (Hard clam (quahog), YKG-2019)"
mpgca013373865v2_eg_gene	"Monomorium pharaonis (Pharaoh ant, MP-MQ-018) genes (ASM1337386v2)"	ASM1337386v2	"Monomorium pharaonis (Pharaoh ant, MP-MQ-018)"
mrgca000220905v1rs_eg_gene	Megachile rotundata (Alfalfa leafcutting bee) genes (MROT_1.0)	MROT_1.0	Megachile rotundata (Alfalfa leafcutting bee)
mscalaris_eg_gene	Megaselia scalaris (Coffin fly) genes (Msca1)	Msca1	Megaselia scalaris (Coffin fly)
msgca014839805v1rs_eg_gene	"Manduca sexta (Tobacco hornworm, Smith_Timp_Sample1) genes (JHU_Msex_v1.0)"	JHU_Msex_v1.0	"Manduca sexta (Tobacco hornworm, Smith_Timp_Sample1)"
mygca002113885v2_eg_gene	"Mizuhopecten yessoensis (Yesso scallop, PY_sf001) genes (ASM211388v2)"	ASM211388v2	"Mizuhopecten yessoensis (Yesso scallop, PY_sf001)"
namericanus_eg_gene	"Necator americanus (New World hookworm, N. amaericanus Hunan isolate) genes (N_americanus_v1)"	N_americanus_v1	"Necator americanus (New World hookworm, N. amaericanus Hunan isolate)"
nlgca014356525v1rs_eg_gene	"Nilaparvata lugens (Brown planthopper, BPH) genes (ASM1435652v1)"	ASM1435652v1	"Nilaparvata lugens (Brown planthopper, BPH)"
nlgca021901455v1rs_eg_gene	"Neodiprion lecontei (Redheaded pine sawfly, iyNeoLeco1) genes (iyNeoLeco1.1)"	iyNeoLeco1.1	"Neodiprion lecontei (Redheaded pine sawfly, iyNeoLeco1)"
npgca021155775v1rs_eg_gene	"Neodiprion pinetum (White pine sawfly, iyNeoPine1) genes (iyNeoPine1.1)"	iyNeoPine1.1	"Neodiprion pinetum (White pine sawfly, iyNeoPine1)"
nvectensis_eg_gene	"Nematostella vectensis (Starlet sea anemone, CH2 x CH6) genes (ASM20922v1)"	ASM20922v1	"Nematostella vectensis (Starlet sea anemone, CH2 x CH6)"
nvitripennis_eg_gene	"Nasonia vitripennis (Jewel wasp, AsymCx) genes (Nvit_psr_1.1)"	Nvit_psr_1.1	"Nasonia vitripennis (Jewel wasp, AsymCx)"
oagca000612105v2_eg_gene	"Orussus abietinus (Parasitic wood wasp, OABI.00-Male) genes (Oabi_2.0)"	Oabi_2.0	"Orussus abietinus (Parasitic wood wasp, OABI.00-Male)"
obgca001194135v1_eg_gene	"Octopus bimaculoides (Octopus, UCB-OBI-ISO-001) genes (Octopus_bimaculoides_v2_0)"	Octopus_bimaculoides_v2_0	"Octopus bimaculoides (Octopus, UCB-OBI-ISO-001)"
obgca003672135v1_eg_gene	"Ooceraea biroi (Clonal raider ant, clonal line C1) genes (Obir_v5.4)"	Obir_v5.4	"Ooceraea biroi (Clonal raider ant, clonal line C1)"
obimaculoides_eg_gene	Octopus bimaculoides (California two-spot octopus) genes (PRJNA270931)	PRJNA270931	Octopus bimaculoides (California two-spot octopus)
ocincta_eg_gene	Orchesella cincta (Springtail) genes (ASM171814v1)	ASM171814v1	Orchesella cincta (Springtail)
ofgca002042975v1_eg_gene	"Orbicella faveolata (Mountainous star coral, FL) genes (ofav_dov_v1)"	ofav_dov_v1	"Orbicella faveolata (Mountainous star coral, FL)"
ofgca903813345v1_eg_gene	Owenia fusiformis (Segmented worms) genes (Owenia_assembly_annotated)	Owenia_assembly_annotated	Owenia fusiformis (Segmented worms)
osgca006345805v1_eg_gene	Octopus sinensis (East Asian common octopus) genes (ASM634580v1)	ASM634580v1	Octopus sinensis (East Asian common octopus)
otgca000648695v2_eg_gene	Onthophagus taurus (Dung beetle) genes (Otau_2.0)	Otau_2.0	Onthophagus taurus (Dung beetle)
ovolvulus_eg_gene	"Onchocerca volvulus (Nematode, O. volvulus Cameroon isolate) genes (ASM49940v2)"	ASM49940v2	"Onchocerca volvulus (Nematode, O. volvulus Cameroon isolate)"
pbgca000187915v1rs_eg_gene	Pogonomyrmex barbatus (Red harvester ant) genes (Pbar_UMD_V03)	Pbar_UMD_V03	Pogonomyrmex barbatus (Red harvester ant)
pcgca000485595v2_eg_gene	Priapulus caudatus (Penis worm) genes (Priapulus_caudatus-5.0.1)	Priapulus_caudatus-5.0.1	Priapulus caudatus (Penis worm)
pcgca001313835v1rs_eg_gene	"Polistes canadensis (Red paper wasp, GaletaPanama2010) genes (ASM131383v1)"	ASM131383v1	"Polistes canadensis (Red paper wasp, GaletaPanama2010)"
pcgca003073045v1_eg_gene	"Pomacea canaliculata (Apple snail, SZHN2017) genes (ASM307304v1)"	ASM307304v1	"Pomacea canaliculata (Apple snail, SZHN2017)"
pcgca019202785v2rs_eg_gene	Penaeus chinensis (Fleshy prawn) genes (ASM1920278v2)	ASM1920278v2	Penaeus chinensis (Fleshy prawn)
pcgca020424385v2_eg_gene	"Procambarus clarkii (Red swamp crayfish, Jiangsu) genes (ASM2042438v2)"	ASM2042438v2	"Procambarus clarkii (Red swamp crayfish, Jiangsu)"
pdgca001465965v1rs_eg_gene	"Polistes dominula (European paper wasp, PdomPennStateAug2009) genes (Pdom_r1.2)"	Pdom_r1.2	"Polistes dominula (European paper wasp, PdomPennStateAug2009)"
pdgca003704095v1_eg_gene	"Pocillopora damicornis (Cauliflower coral, RSMAS) genes (ASM370409v1)"	ASM370409v1	"Pocillopora damicornis (Cauliflower coral, RSMAS)"
pfgca010416935v1rs_eg_gene	"Polistes fuscatus (Common paper wasp, 324) genes (CU_Pfus_HIC)"	CU_Pfus_HIC	"Polistes fuscatus (Common paper wasp, 324)"
pggca024362695v1rs_eg_gene	Pectinophora gossypiella (Pink bollworm) genes (ilPecGoss1.1)	ilPecGoss1.1	Pectinophora gossypiella (Pink bollworm)
phumanus_eg_gene	"Pediculus humanus corporis (Human body louse, USDA) genes (PhumU2)"	PhumU2	"Pediculus humanus corporis (Human body louse, USDA)"
pjgca017312705v1_eg_gene	"Penaeus japonicus (Kuruma shrimp, Ginoza2017) genes (Mj_TUMSAT_v1.0)"	Mj_TUMSAT_v1.0	"Penaeus japonicus (Kuruma shrimp, Ginoza2017)"
plgca012934845v2gb_eg_gene	"Pomphorhynchus laevis (Thorny-headed worm, GPI110) genes (ASM1293484v2)"	ASM1293484v2	"Pomphorhynchus laevis (Thorny-headed worm, GPI110)"
pmgca015228065v1_eg_gene	"Penaeus monodon (Black tiger shrimp, SGIC_2016) genes (NSTDA_Pmon_1)"	NSTDA_Pmon_1	"Penaeus monodon (Black tiger shrimp, SGIC_2016)"
pmgca015706575v1_eg_gene	"Patiria miniata (Bat star starfish, m_02_andy) genes (Pmin_3.0)"	Pmin_3.0	"Patiria miniata (Bat star starfish, m_02_andy)"
ppacificus_eg_gene	"Pristionchus pacificus (Nematode, PS312) genes (El_Paco)"	El_Paco	"Pristionchus pacificus (Nematode, PS312)"
ppapatasi_eg_gene	"Phlebotomus papatasi (Sand fly, Israel) genes (PpapI1)"	PpapI1	"Phlebotomus papatasi (Sand fly, Israel)"
ppgca011947565v2_eg_gene	"Pollicipes pollicipes (Goose neck barnacle, AB1234) genes (Ppol_2)"	Ppol_2	"Pollicipes pollicipes (Goose neck barnacle, AB1234)"
ppgca918844115_eg_gene	"Phlebotomus perniciosus (Sand fly, Murcia) genes (pperniciosus_illum_n82538_165Mb)"	pperniciosus_illum_n82538_165Mb	"Phlebotomus perniciosus (Sand fly, Murcia)"
ppgca918844115v2_eg_gene	Phlebotomus perniciosus (Murcia) genes (pperniciosus_asm_v2.0)	pperniciosus_asm_v2.0	Phlebotomus perniciosus (Murcia)
ptgca000365465v3_eg_gene	"Parasteatoda tepidariorum (Common house spider, Goettingen) genes (Ptep_3.0)"	Ptep_3.0	"Parasteatoda tepidariorum (Common house spider, Goettingen)"
ptgca017591435v1_eg_gene	"Portunus trituberculatus (Swimming crab, SZX2019) genes (ASM1759143v1)"	ASM1759143v1	"Portunus trituberculatus (Swimming crab, SZX2019)"
pvgca003789085v1_eg_gene	Penaeus vannamei (Pacific white shrimp) genes (ASM378908v1)	ASM378908v1	Penaeus vannamei (Pacific white shrimp)
rmgca003676215v3_eg_gene	"Rhopalosiphum maidis (Corn leaf aphid, BTI-1) genes (ASM367621v3)"	ASM367621v3	"Rhopalosiphum maidis (Corn leaf aphid, BTI-1)"
rmgca013339725v1_eg_gene	"Rhipicephalus microplus (Southern cattle tick, Rmic-2018) genes (ASM1333972v1)"	ASM1333972v1	"Rhipicephalus microplus (Southern cattle tick, Rmic-2018)"
rpgca013731165v1_eg_gene	"Rhagoletis pomonella (Apple magot fly, Grant_MI) genes (Rhpom_1.0)"	Rhpom_1.0	"Rhagoletis pomonella (Apple magot fly, Grant_MI)"
rprolixus_eg_gene	"Rhodnius prolixus (Kissing bug, CDC) genes (RproC3)"	RproC3	"Rhodnius prolixus (Kissing bug, CDC)"
rsgca013339695v1_eg_gene	"Rhipicephalus sanguineus (Brown dog tick, Rsan-2018) genes (ASM1333969v1)"	ASM1333969v1	"Rhipicephalus sanguineus (Brown dog tick, Rsan-2018)"
sagca021461395v2rs_eg_gene	"Schistocerca americana (American grasshopper, TAMUIC-IGC-003095) genes (iqSchAmer2.1)"	iqSchAmer2.1	"Schistocerca americana (American grasshopper, TAMUIC-IGC-003095)"
scalcitrans_eg_gene	"Stomoxys calcitrans (Stable fly, USDA) genes (ScalU1)"	ScalU1	"Stomoxys calcitrans (Stable fly, USDA)"
sdgca010614865v2rs_eg_gene	"Stegodyphus dumicola (Social spider, AA2019) genes (ASM1061486v2)"	ASM1061486v2	"Stegodyphus dumicola (Social spider, AA2019)"
sfgca003268045v1_eg_gene	"Sipha flava (Yellow sugarcane aphid, LNK) genes (YSA_version1)"	YSA_version1	"Sipha flava (Yellow sugarcane aphid, LNK)"
shgca000699445v2rs_eg_gene	Schistosoma haematobium (Urinary blood fluke) genes (SchHae_2.0)	SchHae_2.0	Schistosoma haematobium (Urinary blood fluke)
sinvicta_eg_gene	"Solenopsis invicta (Red fire ant, M01_SB) genes (UNIL_Sinv_3.0)"	UNIL_Sinv_3.0	"Solenopsis invicta (Red fire ant, M01_SB)"
skgca000003605v1_eg_gene	Saccoglossus kowalevskii (Acorn worm) genes (Skow_1.1)	Skow_1.1	Saccoglossus kowalevskii (Acorn worm)
smansoni_eg_gene	Schistosoma mansoni (Flatworm) genes (Smansoni_v7)	Smansoni_v7	Schistosoma mansoni (Flatworm)
smaritima_eg_gene	Strigamia maritima (Soil centipede) genes (Smar1)	Smar1	Strigamia maritima (Soil centipede)
smimosarum_eg_gene	Stegodyphus mimosarum (African social velvet spider) genes (Stegodyphus_mimosarum_v1)	Stegodyphus_mimosarum_v1	Stegodyphus mimosarum (African social velvet spider)
sogca002938485v2rs_eg_gene	Sitophilus oryzae (Rice weevil) genes (Soryzae_2.0)	Soryzae_2.0	Sitophilus oryzae (Rice weevil)
spgca002571385v1_eg_gene	"Stylophora pistillata (Hood coral, CSM Monaco) genes (Stylophora_pistillata_v1)"	Stylophora_pistillata_v1	"Stylophora pistillata (Hood coral, CSM Monaco)"
spurpuratus_eg_gene	"Strongylocentrotus purpuratus (Purple sea urchin, Spur 01) genes (Spur_5.0)"	Spur_5.0	"Strongylocentrotus purpuratus (Purple sea urchin, Spur 01)"
sratti_eg_gene	Strongyloides ratti (Threadworm) genes (S_ratti_ED321_v5_0_4)	S_ratti_ED321_v5_0_4	Strongyloides ratti (Threadworm)
sscabiei_eg_gene	"Sarcoptes scabiei (Itch mite, SSS_KF_BRIS2020) genes (ASM1459567v1)"	ASM1459567v1	"Sarcoptes scabiei (Itch mite, SSS_KF_BRIS2020)"
tadhaerens_eg_gene	"Trichoplax adhaerens (Placozoa, Grell-BS-1999) genes (ASM15027v1)"	ASM15027v1	"Trichoplax adhaerens (Placozoa, Grell-BS-1999)"
tcastaneum_eg_gene	"Tribolium castaneum (Red flour beetle, Georgia GA2) genes (Tcas5.2)"	Tcas5.2	"Tribolium castaneum (Red flour beetle, Georgia GA2)"
tcgca007210705_eg_gene	"Tigriopus californicus (Copepod, San Diego) genes (Tcal_SD_v2.1)"	Tcal_SD_v2.1	"Tigriopus californicus (Copepod, San Diego)"
tdalmanni_eg_gene	"Teleopsis dalmanni (Malaysian stalk-eyed fly, 2A) genes (ASM223713v2)"	ASM223713v2	"Teleopsis dalmanni (Malaysian stalk-eyed fly, 2A)"
tkitauei_eg_gene	Thelohanellus kitauei (Myxozoan endoparasite) genes (ASM82789v1)	ASM82789v1	Thelohanellus kitauei (Myxozoan endoparasite)
tmuris_eg_gene	Trichuris muris (Nematode) genes (TMUE3.0)	TMUE3.0	Trichuris muris (Nematode)
tpgca000599845v3_eg_gene	"Trichogramma pretiosum (Parasitoid wasp, Unisexual culture from Peru) genes (Tpre_2.0)"	Tpre_2.0	"Trichogramma pretiosum (Parasitoid wasp, Unisexual culture from Peru)"
tpgca012932325v1rs_eg_gene	"Thrips palmi (Melon Thrips, BJ-2018) genes (TpBJ_2018v1)"	TpBJ_2018v1	"Thrips palmi (Melon Thrips, BJ-2018)"
tspiralis_eg_gene	"Trichinella spiralis (Pork worm, ISS_195) genes (Tspiralis1)"	Tspiralis1	"Trichinella spiralis (Pork worm, ISS_195)"
turticae_eg_gene	Tetranychus urticae (Two-spotted spider mite) genes (ASM23943v1)	ASM23943v1	Tetranychus urticae (Two-spotted spider mite)
tvgca011764245_eg_gene	"Trialeurodes vaporariorum (Greenhouse whitefly, IVF) genes (ASM1176424v1)"	ASM1176424v1	"Trialeurodes vaporariorum (Greenhouse whitefly, IVF)"
vcgca019457755v1rs_eg_gene	"Venturia canescens (Endoparasitoid wasp, UGA) genes (ASM1945775v1)"	ASM1945775v1	"Venturia canescens (Endoparasitoid wasp, UGA)"
vdgca002443255_eg_gene	Varroa destructor (Honeybee mite) genes (Vdes_3.0)	Vdes_3.0	Varroa destructor (Honeybee mite)
zcgca012273895v2rs_eg_gene	Zerene cesonia (Southern Dogface) genes (Zerene_cesonia_1.1)	Zerene_cesonia_1.1	Zerene cesonia (Southern Dogface)
znevadensis_eg_gene	Zootermopsis nevadensis (Nevada dampwood termite) genes (ZooNev1.0)	ZooNev1.0	Zootermopsis nevadensis (Nevada dampwood termite)
