	Pro_1	Pro_2	Pro_3	Sen_1	Sen_2	Sen_3
NM_019116	1797	1959	1411	1880	1619	1474
NM_013319	200	229	176	351	285	247
NM_007106	1231	1306	859	1129	1046	983
NM_014235	687	678	504	931	801	765
NM_203412	0	0	0	0	0	0
NM_001048241	1265.96	1136.28	893.29	1726.94	1505.61	1359.2
NM_024292	125.04	144.72	110.71	288.06	168.39	212.8
NM_001286739	0	0	0	0	0	0
NM_001286740	165.52	0	64.6	68.53	0	29.23
NM_001286741	6.71	10.64	13.95	20.34	26.85	21.24
NM_001286742	7.78	0	0	17.82	3.55	0
NM_032907	88.75	171.25	74.75	195.47	230.5	204.02
NM_201265	129.23	246.11	160.69	222.84	245.11	223.51
NR_038448	2.51	7.65	3.23	0	4.41	0
NR_038449	0	0	0	0	0	0
NR_120377	13.49	9.35	18.77	13	7.59	13
NM_145049	782	843	570	948	762	721
NM_001079514	976.48	1125.11	815.31	1040.03	976.41	1004.91
NM_001288656	301.52	241.89	135.69	404.97	323.59	151.09
NM_173569	174	185	106	193	174	157
NM_001267584	0	0	30.11	86.99	0	43.15
NM_014948	127.85	134.15	58.23	82.86	141.58	42.13
NM_199415	0	0	36.31	0	0	64.57
NR_038395	2.16	1.17	0	0	0	0
NM_001128160	1154.45	1118.36	772.39	983.38	996.99	794.88
NM_001128161	328.78	601.64	444.61	432.01	384.01	367.12
NM_014517	139.77	0	0	69.62	0	0
NM_013438	1938.59	2172.28	1610.4	2359.89	1977.18	1933.04
NM_053067	322.41	457.72	131.6	448.11	505.82	319.96
NM_013444	985	1053	762	1078	949	813
NM_017481	0	0	0	0	0	0
NM_001304342	0	0	20.22	59.19	0	0
NM_020131	542	585	353.78	825.81	821	711
NM_145053	2	2	0	0	0	0
NM_174916	912	1016	641	1206	1108	951
NM_001184801	12.79	17.65	25.97	16.16	18.5	4.4
NM_015255	908.21	1044.35	669.03	738.84	749.5	627.6
NM_172070	1069	1246	879	1243	1087	1015
NM_020765	3944	4878	2712	4232	4292	3566
NM_001282873	521.3	486.11	73.87	104	351.68	642.22
NM_015902	1621.7	1763.89	1448.13	1921	1476.32	935.78
NR_125415	1	1	2	3	1	2
NM_175748	497.73	538	374.13	216.13	263	273
NR_038150	27.27	0	0.87	97.87	0	0
NM_024954	508	538	372	1492	1279	1199
NM_152277	824	854	590	608	658	557
NM_001076683	975.38	1160.69	615.94	679.09	579.23	569.16
NM_001076684	1.24	45.11	134.34	0	0	0.44
NM_014233	449.86	289.87	362.69	286.39	336.83	191.28
NR_045058	94.52	58.33	51.02	94.52	26.95	46.12
NM_001143975	0	0	0	0	0	0
NM_001286077	1301.72	1226.41	951.06	1142.08	1146.54	1022.06
NM_001286078	0	0	0	0	0	0
NM_015853	40.28	11.59	22.94	11.92	19.46	5.94
NM_152376	1	0	0	1	0	0
NR_110078	0	0	0	0	0	0
NM_001077262	13.25	54.37	33.81	5.71	32.84	7.95
NM_145345	59.93	20.76	39.98	83.54	13.57	0
NM_183008	67.82	63.87	11.21	30.75	71.58	77.05
NM_181713	388	394	328	277	296	278
NM_001077619	281	343	251	243	238	198
NM_014607	2324	2455	1671	2367	1962	1928
NM_001171091	804.53	322.96	320.28	781.02	345.14	330.26
NM_025241	1314.47	1903.04	1336.72	1161.98	1306.86	1226.74
NM_015562	469	561	382	636	560	586
NM_001282189	0	0	0	0	0	0
NM_001282199	4.7	0	0	0	0	0
NM_005671	95.3	137	79	98	90	70
NR_015379	0	0	0	0	0	0
NM_004181	14159	14413	9894	12610	11725	10096
NR_102709	1	1	0	0	2	0
NM_001270952	31.9	18.66	13.95	35.34	42.65	24.55
NM_006002	435.1	506.34	320.05	890.66	821.35	758.45
NM_001199261	0	0	0	0	0	0
NM_001199262	17.83	36.59	0	17.53	0	48.01
NM_001199263	163.15	216.38	130.79	280.69	241.28	210.91
NM_015984	249.57	268.86	159.56	347.11	316.16	301.08
NR_037607	19.25	7.31	8.85	26.77	20.68	10.09
NM_001135954	0	0	0	0	0	0
NM_001261450	15.7	44.1	40.46	24.92	0	0
NM_001261451	39.42	0	14.65	18.47	24.95	0
NM_031432	445.88	520.9	275.89	379.62	326.05	316
NM_012474	878	946	679	1385	1239	1108
NM_001193379	0	6.43	6.42	21.46	6.29	0
NM_017859	274.78	267.46	183.51	357.22	361.59	331.91
NR_126526	0	0	0	0	0	0
NR_027287	17.15	6.43	3.21	12.7	6.42	9.53
NM_001303118	0	0	0	0	0	0
NM_001303119	0	0	0	0	0	0
NM_145314	0	0	0	0	0	0
NM_003353	4	4	1	4	1	0
NM_033199	128	101	62	414	219	269
NM_053049	0	0	0	0	0	0
NM_021833	0	0	0	0	0	0
NM_003355	161	208	156	55	59	54
NM_003356	5.16	6	5.82	0	3	3
NM_022803	1.84	1	1.18	0	2	1
NM_001040697	165.05	194.88	238.57	271.2	273.92	219.2
NM_001261382	41.64	39.23	0	20.18	0	41.53
NM_001261383	13.21	15.35	0	1.59	0	2.03
NM_001261384	9.78	8	0	7.86	13.61	0
NM_001261385	0	0	0	0	0	0
NM_001261386	14.7	0	0	0	5.66	0
NM_001297771	2.66	13.6	2.97	17.65	3.23	0
NM_018314	61.96	89.94	30.46	29.53	69.57	14.25
NM_016406	921	936	644	914	797	806
NM_001035247	0	0	0	0	0	0
NM_005659	940	959	662	1304	1229	1129
NM_015323	733	769	530	587	484	480
NM_001286703	28.68	0	0	0	0	0
NM_001286704	114.82	43.01	36.12	133.74	52.56	140.39
NM_001286705	0	25.18	0.76	0.18	0	58.99
NM_001286706	92.53	124.51	82.11	171.36	157.38	133.91
NM_016617	1302.71	1495.3	1070.01	2080.74	1908.41	1656.96
NR_104584	0	0	0	0	0	16.66
NR_104585	24.26	0	0	22.98	72.64	81.08
NM_001015072	11	12	11	13	5	9
NM_018359	438.34	453.44	333.62	400.46	373.7	276.28
NR_028085	0	27.89	0	0	0	21.02
NR_027378	0	0	0	0	0	0
NM_003358	2302	2755	1829	956	1101	936
NM_001184700	0	0	0	8.74	0	0
NM_001184701	0	16.66	18.37	0	0	0
NM_003359	1601	1758.34	1230.63	1221.26	1091	1032
NR_047679	31	42	37	25	13	16
NM_020120	2300.26	2859.6	1947.35	1985.24	1901.36	1920.29
NR_027671	835.74	737.4	482.65	694.76	570.64	329.71
NM_020121	726	830	579	970	875	851
NM_001001521	852.2	1031.18	667.76	617.75	547.17	510.53
NM_006759	1081.8	989.82	702.24	1377.25	1251.83	1188.47
NM_000463	0	0	0	0	0	0
NM_019075	0	0	0	0	0	0
NM_019093	0	0	0	0	0	0
NM_007120	0	0	0	0	0	0
NM_019078	0	0	0	0	0	0
NM_001072	0	0	0	0	0	0
NM_205862	0	0	0	1	1	4
NM_019077	0	0	0	0	0	0
NM_019076	0	0	0	0	0	0
NM_021027	0	0	0	0	0	0
NM_001252274	0	0	0	0	0	0
NM_001252275	0	0	0	0	0	0
NM_001301239	0	0	0	0	0	0
NM_006798	0	0	0	0	0	0
NM_001105677	0	0	0	0	0	0
NM_001301233	0	0	0	0	0	0
NM_024743	0	0	0	0	0	1
NR_024010	0	0	0	0	0	0
NM_001075_1	0	0	0	0	0	0
NM_001075_2	0	0	0	0	0	0
NM_001144767_2	0	0	0	0	0	0
NM_001144767_3	0	0	0	0	0	0
NM_001290091	0	0	0	0	0	0
NM_001290091_1	0	0	0	0	0	0
NM_001073	0	0	0	0	0	0
NM_001076_1	0	0	0	0	0	0
NM_001077_1	0	0	0	0	0	0
NM_001207004	0	0	0	0	0	0
NM_053039	0	0	0	0	0	0
NM_001297615	0	0	0	0	0	0
NM_001297616	0	0	0	0	0	0
NM_021139	0	0	0	0	0	0
NM_001074	0	0	0	0	2	1
NM_001171873	0	0	0	0	0	0
NM_152404	0	0	0	0	0	0
NM_001168316	0	0	0	0	0	0
NM_174914	0	0	0	0	0	0
NR_031764	0	0	0	0	0	0
NM_001128174	0	0	0	0	0	0
NM_003360	1	0	0	0	0	0
NM_001184763	0	0	0	0	0	0
NM_144624	0	71.89	0	169.8	0	0
NM_175866	3345	4077.11	2709	3854.2	4143	3364
NM_001048201	330.49	309.46	299.88	56.79	79.21	39.73
NM_001290050	0	0	9.54	0	0	0
NM_001290051	336.82	370.62	239.74	293.33	145.13	0
NM_001290052	0	199.11	0.04	0	7.76	186.38
NM_013282	53.68	54.82	10.8	19.88	21.91	32.89
NM_017754	547	528	369	167	335	242
NM_001006947	0	20.16	0	4.78	13.44	19.15
NM_015054	561	630.84	468	837.22	806.56	729.85
NM_152896	610.01	556	395.36	897.82	685.94	720.05
NR_046386	18.99	0	17.64	53.18	20.06	19.95
NM_001199297	44.76	21.41	33.32	58.1	55.08	20.34
NM_001199298	299.24	281.59	212.68	306.9	173.7	173.47
NM_016290	0	0	0	0	75.22	89.19
NM_025218	103.74	111.56	88.78	129.56	268.61	188.32
NM_025217	58.8	69.73	58.83	197.9	200.3	178.69
NM_024518	30	46	30	78	93	73
NM_003565	873	813	599	916	808	833
NM_001142610	143.98	146.77	111.06	101.05	80.06	77.84
NM_014683	211.02	207.23	153.94	82.95	89.94	50.16
NM_001099436	115.76	94.85	54.8	176.81	107.46	182.51
NM_001284364	69.89	80.07	95.2	203.31	248.78	150.9
NM_001284365	0	0	0	20.29	16.77	0
NR_104307	49.36	42.08	0	87.59	68.78	56.59
NR_104308	0	0	0	0	24.21	0
NR_104309	0	0	0	0	0	0
NM_017886	54	63	34	40	48	36
NR_026858	0	0.01	0	0	0	0.15
NR_026858_1	0	0.01	0	0	0	0.15
NR_027470	0	0.01	0	0	0	0.15
NR_027470_1	0	0.01	0	0	0	0.15
NR_026859	0	0	1.33	0	0	0
NR_026859_1	4.58	3.97	1.33	0	0	0
NM_001302348	168.71	211.02	135.39	155	109.94	129.01
NM_001302349	0	0	0	0	0	0
NM_001302350	22.15	0	8.66	0	25.08	0
NM_001008389	0	0	0	0	0	0
NM_001278614	0	0	0	0	0	0
NM_003361	0	0	0	0	0	0
NM_001004416	0	6	3	0	0	2
NM_001199527	5	0	0	0	0	0
NM_001199528	0	0	0	10	5	0
NM_173568	0	0	0	0	0	0
NR_027243	0	0	0	0	0	1
NM_000373	255.05	350	208.83	499	416	358
NR_033434	0	0	0	0	0	0
NR_033437	21.95	0	16.17	0	0	0
NM_005148	103.47	118.4	101.92	188.55	167.59	205.28
NM_054035	45.53	45.6	32.08	68.45	29.41	36.72
NM_001080533	974	933	699	1061	1020	856
NM_001080421	1	0	0	23	13	13
NM_006377	783	860	571	981	963	835
NM_001080534	0	0	0	0	0	1
NM_199242	4	7	2	10	4	7
NM_001039675	116.17	99.48	67.66	82.95	71.67	90.18
NM_018671	1337.83	1460.52	963.34	1918.05	1610.33	1430.82
NM_001033576	0	0	0	0	0	0
NM_001267052	0	0	0	0	0	0
NM_001308281	0	0	0	0	0	0
NM_173167	0	0	0	0	0	0
NM_014044	441	496	342	357	354	323
NM_133369	0	0	0	0	0	0
NM_001244889	0	0	0	0.02	0	0
NM_170744	724	709	614	301.98	347	250
NR_038453	3	2	1	1	1	2
NM_003728	1	0	0	0	0	0
NM_173561	0	1	2	0	0	0
NM_080872	0	0	0	0	0	0
NM_020818	9	8	8	3	7	14
NM_032504	0	0	0	0	0	0
NM_182587	0	0	0	0	0	0
NM_001143947	0	0	0	0	0	0
NM_018974	0	0	0	0	0	0
NM_030930	389	422	296	280	226	234
NM_001080461	0	0	0	0	0	0
NM_003362	111.69	240	99.14	324	259	238
NM_080911	132.31	29	110.86	0	0	0
NM_001080419	225.72	242.4	189.27	205.81	169.6	157.7
NR_038131	114.28	136.6	103.73	130.19	122.4	92.3
NM_001037125	3.25	8.79	0	4.58	12.55	11.75
NM_001193388	264.66	240.15	181.16	212.22	235.91	171.59
NM_001193389	31.82	53.55	5.33	0	0	0
NM_001276414	289.89	331.43	270.52	179.17	126.82	137.58
NR_024280	0	0	0	0	0	0
NR_003927	0	0	1	0	1	2
NM_016327	0	0	0	0	0	0
NM_001297549	217.96	130.27	100.58	243.62	157.96	89.29
NM_002911	1521.04	1701.73	1121.42	1820.38	1683.04	1508.71
NM_015542	886.51	826.38	576	957.71	765.91	729
NM_080599	24.49	20.62	0	20.29	78.09	0
NM_023011	296.93	235.97	357.65	302.81	220.72	348.36
NM_080687	585.07	738.03	320.35	577.19	609.28	383.64
NM_023010	100	102	89	113	90.88	87
NM_080632	0	0	0	0	14.12	0
NM_001281443	0	0	0	0	0	0
NM_007000	1	1	0	0	0	0
NR_046420	1	3	0	0	0	0
NM_006952	0	0	0	0	0	0
NM_006760	0	1	3	0	2	1
NM_001167574	0	0	0	0	0	0
NM_006953	0	0	0	0	0	0
NM_030570	0	0	0	0	0	3.11
NM_182683	1.02	7.06	2.05	2.12	1.09	0
NM_182684	0	0	0	0	0	0
NM_001114403	288.98	214.73	173.12	218	159.5	147.78
NM_001287426	0	0	0	0	0	19.77
NM_001287428	28.52	15.42	6.08	0	13.83	19.88
NM_001287429	214.66	221.34	111.71	342.21	283.44	241.14
NM_001287430	0	0	0	20.23	0	44.29
NM_003364	239.13	253.43	200.75	500.45	834.14	616.02
NR_109837	16.68	29.81	19.46	27.1	34.59	22.9
NM_001135098	0	0	0	0	0	0
NM_173355	0	0	0	0	0	0
NM_001307944	0	25.57	0	0	0	0
NM_145052	199	119.7	94.11	255.57	172.61	179.24
NR_030774	0	35.73	30.89	27.43	58.39	35.76
NM_001184977	0	0	0	0	26.92	0
NM_018244	455	468	327	427	417.08	305
NM_199487	0	0	0	0	0	0
NM_032340	319	419	276	336	339	317
NM_001085372	232.68	210.15	161.21	232.09	221.68	193.11
NM_001003684	154.92	135.76	110.86	285.85	185.86	262.88
NM_013387	342.08	435.24	281.14	567.15	631.14	510.12
NM_006830	1506	1510	1026	2122	1823	1654
NM_001199975	0	7.13	0	8.38	0	0
NM_001254752	16.15	15.55	23.44	107.96	69.55	0
NM_006294	2374.07	2324.91	1708.68	2502.34	2164.71	2016.19
NR_045639	12.79	20.41	0	10.32	46.74	49.92
NR_002308	0	0	1.88	0	0	1.89
NM_003365	2630	2769	1984	4063	3421	3486
NM_003366	1312	1470	1049	1827	1656	1564
NM_006003	1087	1111	770	1509	1325	1183
NM_001297565	196.65	155.23	160.15	343.74	274.88	298.57
NM_001297566	22.9	34.54	10.57	40.75	75.21	14.58
NM_006004	1181.67	1294.58	955.37	3177.91	2660.28	2501.34
NM_001089591	52.78	53.66	59.91	142.6	129.63	99.5
NM_014402	1083	1137	822	1640	1365	1269
NM_001105577	0	0	0	0	0	0
NR_027335	13.74	4.59	4.04	5.34	3.65	5.29
NR_027336	4.19	4.1	1.8	10.36	7.8	3.27
NM_014825	641	840	528	1515	1219	1019
NR_026845	19	8	10	34	18	17
NM_014777	132	189	119	218	167	170
NM_001077663	98.92	212.59	49.21	96.37	123.27	40.93
NM_001077664	346.36	205.23	247.49	553.92	416.43	467.55
NM_001290075	13.94	33.35	0	0	27.84	0
NM_001290076	0	31.83	28.3	0	0	0
NM_017920	0	0	0	0	0	0
NM_001204871	16.89	0	0	13.77	24.26	5.61
NM_001252641	32.02	19.41	43.78	14.63	12.32	21.39
NM_003796	586.89	314.2	278.23	732.63	421.42	407.04
NR_045557	221.09	440.39	240.99	203.74	475.26	356.57
NM_001135947	21.1	0	8.17	32.05	0	0.01
NM_001265582	21.22	19.68	8.59	25.41	17.84	14.01
NM_030914	925.67	1014.83	689.58	751.75	687.81	609.98
NR_049743	88.01	58.49	52.67	42.79	43.35	0
NM_001165974	0	0	0	0	0	0
NM_144639	0	0	0	1	0	0
NM_000374	822.13	756.66	562.39	1058.58	981.45	873.07
NR_036510	48.87	119.34	90.61	66.42	42.55	103.93
NM_000375	690	742	590	796	657	598
NM_001195302	0	0	0	90.81	34.66	0
NM_001204911	38.91	25.82	22.55	261.76	190.16	202.04
NM_024598	689.09	761.18	552.45	1547.43	1446.18	1348.96
NM_018467	229	249	152	146	155	121
NM_001276373	0	0	0	0	0	0
NM_007122	306.88	236.51	162.16	484.42	402.33	200.5
NM_207005	97.12	185.49	124.84	164.58	113.67	327.5
NM_003367	1067.34	1064.45	775.39	902.9	884.9	881.76
NM_207291	60.66	141.55	147.61	128.1	175.1	140.24
NM_001297764	0	0	0	0	0	0
NM_005709	0	0	0	0	0	0
NM_153676	0	0	0	0	0	0
NR_123738	0	0	0	0	0	0
NM_001282489	0	0	0	0	0	0
NM_173477	0	0	0	0	0	0
NM_007123	0.5	0	0	0	0	0
NM_206933	1.5	2	1	0	1	0
NM_001297703	0	0	0	0	0	0
NM_031941	0	0	0	0	0	0
NM_001206426	1379.01	1495.82	1021.95	1883.86	1731.01	1603.39
NM_001206427	113.79	106.01	81.92	334.99	305.64	213.53
NM_032747	18.21	7.17	4.82	27.15	19	25.08
NM_001290049	0	53.18	0	0	45.55	0
NM_003715	3042	3278.82	2282	4273	3784.45	3673
NM_001017415	65.24	91.62	29.54	23.86	12.43	36.16
NM_001017416	0	0	0	0	0	24.7
NM_003368	548.76	648.38	417.46	148.14	180.57	113.14
NM_001272075	0	0	18.33	35.26	0	0
NM_005153	1178.61	1292.32	903.67	1902.98	1781.56	1528.18
NR_073577	0	74.51	0	54.76	87.44	112.22
NR_073578	16.39	20.17	0	0	0	80.6
NM_004651	1251	1243	844	859	822	745
NM_182488	614	714	481	1457	1445	1318
NR_046547	0	0	0	0	0	0
NR_046548	0	2	0	1	0	1
NM_003940	386	442	287	239	234	211
NM_001037334	80.93	50.52	30.75	25.29	22.03	90.16
NM_005151	1423.07	1586.48	1045.25	1556.71	1500.97	1186.84
NM_001252078	529.77	616.16	421.66	718.85	615.68	727.29
NM_001252079	113.31	127.63	111.09	151.76	168.01	144.4
NM_006313	294.92	225.21	216.25	475.39	368.31	215.3
NM_001001992	440.88	489.13	260.84	352.02	458.65	193.84
NM_001032410	0	0	0	0	0	0
NM_006447	313.12	297.87	359.16	339.98	108.35	277.16
NM_001256873	0	0	0	0	0	0
NM_001256852	0	0	0	0	0	0
NM_001256854	0	0	0	0	0	0
NM_001256854_1	0	0	0	0	0	0
NM_001256854_2	0	0	0	0	0	0
NM_001256853	0	0	0	0	0	0
NM_001256853_1	0	0	0	0	0	0
NM_001256855	0	0	0	0	0	0
NM_001256894	0	0	0	0	0	0
NM_001256857	0	0	0	0	0	0
NM_001256859	0	0	0	0	0	0
NM_001256859_1	0	0	0	0	0	0
NM_001256860	0	0	0	0	0	0
NM_201402	0	0	0	0	0	0
NM_001256861	0	0	0	0	0	0
NM_001256861_1	0	0	0	0	0	0
NM_001256861_2	0	0	0	0	0	0
NM_001256862	0	0	0	0	0	0
NM_001256862_1	0	0	0	0	0	0
NM_001256863	0	0	0	0	0	0
NM_001256863_1	0	0	0	0	0	0
NM_001242327	0	0	0	0	0	0
NM_001242327_1	0	0	0	0	0	0
NM_001242327_2	0	0	0	0	0	0
NM_001242327_3	0	0	0	0	0	0
NM_001242327_4	0	0	0	0	0	0
NM_001242327_5	0	0	0	0	0	0
NM_001242327_6	0	0	0	0	0	0
NM_001242327_7	0	0	0	0	0	0
NM_001242326	0	0	0	0	0	0
NM_001242326_1	0	0	0	0	0	0
NM_001242326_2	0	0	0	0	0	0
NM_001242326_3	0	0	0	0	0	0
NM_001242326_4	0	0	0	0	0	0
NM_001242326_5	0	0	0	0	0	0
NM_001242326_6	0	0	0	0	0	0
NM_001242326_7	0	0	0	0	0	0
NM_001242328	0	0	0	0	0	0
NM_001242328_1	0	0	0	0	0	0
NM_001242328_2	0	0	0	0	0	0
NM_001242328_3	0	0	0	0	0	0
NM_001242328_4	0	0	0	0	0	0
NM_001242328_5	0	0	0	0	0	0
NM_001242328_6	0	0	0	0	0	0
NM_001242328_7	0	0	0	0	0	0
NM_001242330	0	0	0	0	0	0
NM_001242330_1	0	0	0	0	0	0
NM_001242330_2	0	0	0	0	0	0
NM_001242330_3	0	0	0	0	0	0
NM_001242330_4	0	0	0	0	0	0
NM_001242330_5	0	0	0	0	0	0
NM_001242330_6	0	0	0	0	0	0
NM_001242330_7	0	0	0	0	0	0
NM_001242331	0	0	0	0	0	0
NM_001242331_1	0	0	0	0	0	0
NM_001242331_2	0	0	0	0	0	0
NM_001242331_3	0	0	0	0	0	0
NM_001242331_4	0	0	0	0	0	0
NM_001242331_5	0	0	0	0	0	0
NM_001242331_6	0	0	0	0	0	0
NM_001242331_7	0	0	0	0	0	0
NM_001242332	0	0	0	0	0	0
NM_001242332_1	0	0	0	0	0	0
NM_001242332_2	0	0	0	0	0	0
NM_001242332_3	0	0	0	0	0	0
NM_001242332_4	0	0	0	0	0	0
NM_001242332_5	0	0	0	0	0	0
NM_001242332_6	0	0	0	0	0	0
NM_001242332_7	0	0	0	0	0	0
NM_001256871	0	0	0	0	0	0
NM_001256867	0	0	0	0	0	0
NM_001256867_1	0	0	0	0	0	0
NM_001256867_2	0	0	0	0	0	0
NM_001256867_3	0	0	0	0	0	0
NM_001256867_4	0	0	0	0	0	0
NM_001256867_5	0	0	0	0	0	0
NM_001256867_6	0	0	0	0	0	0
NM_001256867_7	0	0	0	0	0	0
NM_001256874	0	0	0	0	0	0
NM_001242329	0	0	0	0	0	0
NM_001242329_1	0	0	0	0	0	0
NM_001242329_2	0	0	0	0	0	0
NM_001242329_3	0	0	0	0	0	0
NM_001242329_4	0	0	0	0	0	0
NM_001242329_5	0	0	0	0	0	0
NM_001242329_6	0	0	0	0	0	0
NM_001242329_7	0	0	0	0	0	0
NR_027279	0	0	0	1	0	0
NM_001256869	0	0	0	0	0	0
NM_001256872	0	0	0	0	0	0
NR_046416	0	0	0	0	0	0
NM_017414	390	429	297	183	127	131
NM_001199160	69.32	0	73.6	11.88	80.08	121.34
NM_001199161	593.79	758.01	477.32	454.54	439.34	387.66
NM_001199162	0	0	0	0	0	0
NM_006677	90.88	122.99	31.08	186.58	41.58	0
NM_001243759	4.51	0	1.51	2	0	1
NM_004205	4.49	8	4.49	0	0	0
NM_171997	0	0	0	0	2	0
NR_034160	0	0	0	0	1	2
NM_001008563	0	34.9	0	0	0	0
NM_001110303	356.22	196.09	220.64	344.45	434.16	454.42
NM_006676	172.78	287.01	122.36	580.55	311.84	267.58
NM_001014443	38.91	79.12	67.93	120.41	85.28	58
NM_012475	206.09	140.88	91.07	49.59	92.72	77
NM_015276	4025	4314	3126	4215	3780	3258
NM_015306	1475	1582	1031	1041	929	838
NM_001283041	46.22	0	0	0	0	41.51
NM_001283042	21.49	60.8	38.87	71.36	0	0
NM_013396	973.29	1086.2	807.13	586.64	747	592.49
NM_031907	0	0	0	0	0	0
NM_001145073	50	48	37	58	35	36
NR_026742	10	9	4	3	4	3
NM_001301029	134.14	187.46	138.37	105.5	101.54	41.18
NM_020886	123.86	98.54	74.63	35.5	39.46	74.82
NM_020903	0	0	0	0	0	0
NM_001256702	0	0	0	20.28	0	0
NM_006537	101.13	311.53	141.73	314.72	363.17	269.05
NR_046341	328.46	58.52	156.59	194.47	200.27	203.9
NR_046342	0	66.03	37.16	62.83	23	23.54
NR_034080	4.41	7.93	3.52	5.69	4.57	4.51
NM_001301175	0	0	0	0	0	0
NM_032663	173.63	177.81	143.8	101.66	80	65.94
NR_038996	4.37	2.19	1.2	2.34	0	1.06
NM_020718	215	267	166	237	229	245
NM_032582	1362.46	1549.12	1087.3	1527.2	1522.34	1312.24
NR_003190	18.98	16.01	9.39	15.21	14.24	11.44
NR_003554	11.61	7.6	2.8	12.09	0	2.89
NM_015017	265.19	332.11	243.47	308.45	273.99	188.75
NM_201624	593.08	692.87	409.97	359.18	329.94	308.24
NM_201626	84.73	67.02	61.56	76.37	47.07	62.02
NM_014709	1903.22	2115.72	1461	2196	2047	1863.28
NM_020798	213	173	130	361	264	225
NM_025090	581	608	403	664	693	540
NM_020935	181	188	138	140	147	127
NM_001290325	167.96	169.34	152.49	303.13	229.17	211.37
NM_001290326	34.25	0	0	38.24	0	0
NM_032557	394.79	469.66	267.51	571.63	548.83	498.63
NM_001256725	48.79	14.59	58.01	64.02	52.89	0
NM_001256726	0	0	0	0	0	0
NM_001256727	0	0	11.39	23.93	0	13.19
NM_001256728	0	0	0	0	0	0
NM_006590	541.68	591.89	358.41	422.08	397.56	403.1
NR_046347	163.53	163.52	105.18	126.97	156.55	130.71
NM_001251877	2.07	2.39	0	4.21	2.17	0
NM_003363	617.03	698.89	436.83	722.64	743.48	481.72
NM_199443	274.91	197.72	240.17	284.15	59.36	322.28
NM_018218	389	416	256	317	369	303
NM_032172	266	275	213	246	263	204
NM_001267576	1	2	0	0	3	0
NM_153210	0	0	0	0	0	0
NM_001042403	376.57	364.35	314.45	21.13	14.08	53
NM_001278393	74.43	0	30.4	37.22	0	0
NM_032147	0	0	0	0	0	0
NR_125360	0	158.65	45.15	13.65	35.92	0
NM_001080481	156	151	104	264	250	204
NM_001134223	0	0	0	0	0	0
NM_001286767	0	0	0	0	0	0
NM_001286768	78.82	135.14	183.84	116.19	46.21	20.83
NM_022832	1435.18	1399.86	988.16	693.81	664.79	646.17
NR_125363	31	45	15	8	7	5
NM_001282659	1734.85	1866.07	1367.94	1360.95	1160.04	1151.65
NM_017944	218.15	296.93	193.06	89.05	146.96	96.35
NM_001032730	138.54	163.17	86.16	123.77	65.04	67.42
NM_032236	1277.46	1359.83	951.84	1168.23	1070.96	997.58
NM_001286554	119.81	139	74.56	65	38	54.26
NM_018561	6.19	0	4.44	0	6	2.74
NM_001098536	110.04	133.84	56.53	209.65	143.7	204.16
NM_003481	1232.96	1363.16	1009.47	1569.35	1267.3	1145.84
NM_203494	0	0	0	0	0	0
NM_201286	21	24	11	4	13	7
NM_019050	841	1026	570	1478	1575	1754
NM_152586	90.79	112.65	69.71	83.81	107.14	70.98
NM_001304284	0	0	0	0	0	0
NM_004505	5.95	3.27	5.51	2.5	3.42	4.43
NM_001080491	60.69	120.07	0	29.57	88.18	2.27
NM_014688	216.31	191.18	235.09	188.5	140.57	199.57
NR_125732	51	34.75	33.91	23.93	31.25	25.16
NM_001286457	566.75	261.28	354.35	811.55	194.26	491.68
NM_001286458	0	0	43.64	20.71	41.92	44.09
NM_003470	1263.25	1833.72	978.01	1996.74	1955.82	1426.22
NM_001128610	617.77	397.15	447.53	615.1	529.18	265.12
NM_001283049	227.04	190.37	115.54	270.42	240.5	277.8
NM_005154	132.19	496.48	236.93	225.49	274.32	356.08
NM_001039590	221.09	149.26	307.29	427.29	293.25	224.34
NM_001039591	2819.91	3626.74	2109.71	2216.71	2224.75	2003.66
NM_004654	0	0	0	0	0	0
NM_005800	206	191	140	380	285	268
NM_005715	255	277	207	630	615	561
NR_110227	1.3	0	1.3	0	0	0
NM_003577	0	0	0	0	0	0
NM_016037	487	567	360	645	594	542
NM_001166221	0	0	0	0	0	0
NM_006649	342.08	416.38	266.59	422.19	398.38	329.39
NM_021645	819.53	842.54	591.91	673.42	594.75	514.45
NM_001284430	0	0	0	0	0	0
NM_001284431	0	0	0	0	0	0
NM_032175	195	234	156	358	325	217
NM_016001	436	508	342	629	526	456
NM_014503	430	523	346	400	304	224
NM_032334	276	337.57	246.23	380	306	316
NM_020368	624	675	456	1310	1138	993
NM_018428	555	670	464	1030	909	774
NM_007124	1900	2564	1518	383	387	388
NM_006786	0	0	0	0	0	0
NM_021995	0	0	0	0	0	0
NM_198152	16	24	16	7	5	4
NM_018949	0	0	0	1	0	0
NM_001258249	0	0	0	0	0	0
NM_001258250	0	0	0	0	0	0
NM_001258251	0	0	0	0	0	0
NM_001258252	0	0	0	0	0	0
NM_001258253	0	0	0	0	0	0
NM_001258254	0	0	0	0	0	0
NM_001258255	0	0	0	0	0	0
NM_001258256	0	0	0	0	0	0
NM_001258257	0	0	0	0	0	0
NM_001258258	0	0	0	0	0	0
NM_001258259	0	0	0	0	0	0
NM_001258260	0	0	0	0	0	0
NM_001258261	0	0	0	0	0	0
