Ctrl_1	Ctrl_2	SFN_1	SFN_2
KLHL13	29.67	29.36	15.28	16.43
FILIP1L	7.26	8.57	4.21	4.22
ACACB	3.76	3.74	1.85	2.15
ABAT	4.5	5.03	2.45	2.64
GPR161	22.69	23.27	11.41	13.16
TRAM1	266.61	265.02	133.7	151.82
MEGF6	7.78	8.28	3.96	4.6
SLC7A1	111.2	110	59.97	58.22
SRGAP3	2.92	3.06	1.49	1.71
FOXD2	1.17	1.15	0.55	0.69
SYBU	49.73	47.44	25.72	26.96
HCAR3	5.57	5.95	3.12	3.11
PECR	12.72	10.12	6.88	5.53
SHISA5	105.03	103.74	55.44	58.32
SLC27A5	3.78	3.16	1.87	1.89
C15orf41	61.54	51.15	29.67	32.99
PTPRU	56.11	57.87	30.64	30.58
GAS2L2	4.35	5.18	2.4	2.73
MOSPD3	26.6	23.55	12.54	14.98
HOXA2	8.85	9.85	4.49	5.66
P2RY1	4.5	4.97	2.22	2.89
S1PR5	27.29	28.07	15.44	14.9
GGT6	4.61	3.01	1.54	2.55
TMEM133	3.79	4.86	2.14	2.55
PCDHGB4	5.77	6.16	3.64	3.56
FBXL2	3.37	4.06	1.88	2.13
MYB	3.73	4.4	1.93	2.47
H1FX	486.88	446.54	261.83	250.19
RMDN2	7.32	6.21	3.5	3.85
HIST1H4C	45.87	53.41	36.77	24.12
TRIM34	12.85	10.75	6.22	6.23
CLIC3	20.51	11.01	6.7	11.17
DPH6-AS1	4.37	4.94	2.61	2.49
MBNL1-AS1	1.18	1.12	0.54	0.71
NDN	4.11	3.77	1.83	2.49
BAG1	46.21	42.75	23.35	25.11
FGD3	18.36	17.39	8.76	10.71
FAM101B	7.5	10.03	4.4	5.12
P2RY2	13.42	14.8	7.86	7.45
DBP	17.98	13.4	8.8	8.54
DRAM1	21.49	22.49	12.08	11.91
GALM	18.93	17.44	8.91	11.04
SH3GL2	14.1	13.39	7.59	7.5
TCP11L2	5.58	5.84	2.59	3.68
RAB40B	12.28	11.8	5.78	7.51
FAM127C	15.26	13.85	7.92	8.14
FOXQ1	69.71	62.43	36.32	36.46
FAM63A	7.89	6.54	3.81	4.14
ROBO1	12.98	14.09	7.19	7.5
NAT14	25.34	24.77	13.71	14.17
RAPGEF5	15.48	15.99	8.34	8.86
NAB2	61.74	59.59	34.18	32.62
MMP28	119.43	121.21	67.76	66.18
ACTR3C	11.12	11.87	6.29	6.51
NAB1	23.88	25.06	13.12	13.71
FAM168A	13.6	14.48	6.87	8.46
TSC22D3	62.81	47.79	29.46	33.04
ADIRF	1493.01	1307.64	795.94	822.16
TMEM117	9.22	9.01	4.59	5.46
NRM	37.78	38.82	22.54	19.96
LOC440300	0.75	0.94	0.44	0.49
ARHGAP33	2.53	3.05	1.49	1.58
LINC01560	3.46	3.74	1.87	2.11
C11orf80	25.46	23.88	13.15	14
PNPLA3	3.7	3.2	2.03	1.79
TMEM180	4.49	4.43	2.31	2.62
HTRA1	29.72	32.82	17.41	17.24
CXXC5	75.12	69.47	40.24	40.74
ZNF287	3.24	3.94	1.72	2.23
CD1D	7.54	7.83	4.04	4.45
ANKRD50	6.11	6.99	3.55	3.65
SEMA6B	14.46	14.77	8.22	7.93
SLC25A35	3.25	3.45	1.7	2.02
SMPDL3A	11.26	8.78	5.4	5.9
HOXD11	13.45	13.03	6.99	7.88
EMB	94.41	90.42	49.77	52.67
MFI2	27.68	39.02	15.88	22.64
SLC8A1	5	6.64	3.25	3.17
HLA-F	20.95	20.18	10.67	12.11
SLC24A1	5.03	4.85	2.63	2.9
SUOX	21.66	20.48	11.55	11.96
CARF	1.93	2.07	0.84	1.42
BMPER	3.9	6.72	2.43	3.45
SH3BGRL	56.17	55.95	29.47	33.59
SLITRK6	2.98	3.56	1.5	2.14
DYNC2H1	2.63	2.83	1.47	1.56
IER2	219.08	166.23	111.06	106.83
SYNGAP1	3.61	2.91	1.93	1.72
IRAK1BP1	1.87	1.87	0.97	1.13
RXRA	118.24	124.06	62.55	72.93
NEK8	3.44	2.83	1.88	1.66
ALKBH7	42.77	35.51	21.71	23.06
TP63	45.29	44.17	25.69	25.02
ATP2A3	1.88	1.56	1	0.97
AGPAT4	1.28	1.27	0.68	0.75
DNAL1	1.62	2.1	0.99	1.08
NGFRAP1	190.62	175.7	104.14	106.61
SYT12	2.65	3.48	1.52	1.94
ATG10	4.58	4.93	2.98	2.45
DUSP9	28.33	30.04	16.82	16.22
DAAM1	35.01	34.41	18.72	20.35
FAM213A	224.25	186.39	114.75	118.48
CPT1C	9.76	9.49	4.92	5.96
ECHDC2	12.94	11.43	6.72	7.37
FAM195B	19.62	18.09	10.42	10.6
NDST1	49.81	59.87	31.51	30.09
CAV1	938.91	1054.33	584.84	541.34
ATP2B4	28.13	28.49	15.13	16.86
LINC00894	2.23	2.84	1.36	1.52
RBL2	40.95	38.12	21.47	23.36
RASSF6	4.12	3.92	2.15	2.41
CELSR2	19.59	21.8	11.51	11.83
FRAS1	2.2	2.78	1.31	1.45
DHRS1	45.86	42.41	24.92	25.93
ASB9	11.51	12.5	7	6.8
HDAC6	16.21	16.14	8.83	9.56
MYH10	16.18	20.78	9.33	11.56
GSDMD	31.62	30.72	18.08	18.1
TMEM191A	7.61	6.89	3.83	4.51
SPON2	12.26	8.05	5.32	6.39
FAT2	35.25	39.67	21.09	21.28
SEMA3F	23.44	24.55	12.82	14.54
RRAGB	13.14	9.46	6.23	6.82
ACY1	37.71	35.3	22.23	19.81
PLXNB1	18.7	19.2	10.38	11.14
IFT172	9.84	9.92	5.59	5.69
FHOD3	22.82	24.07	12.3	14.46
LIG1	71.19	72.77	42.44	39.62
IFI27L1	23.94	19.68	11.7	14.61
SDC3	20.81	19.85	11.38	11.89
GGT7	4.09	3.52	1.71	2.67
DUOX1	22.88	22.07	12.12	13.59
TMEM191B	15.08	11.32	7.66	7.73
WDR19	5.19	4.9	2.96	2.83
MED11	56.2	49.76	34.36	28.42
GAMT	25.19	23.96	13.52	15.02
IGSF9B	4.22	4.82	2.72	2.46
SSH3	90.08	79.13	46.73	50.94
TYMP	23.52	23.73	13.8	13.75
GATA3	26.18	30.38	16.59	15.97
MEIS1	2.66	3.21	1.38	2
LRRC45	40.94	43.71	25.43	23.45
NUP62CL	10.94	11.08	6.91	5.84
C22orf23	10.21	10.52	5.43	6.63
LINC00963	8.6	9.47	5.33	5.15
DDX26B	10.81	9.99	5.81	6.22
CNTN1	83.35	77.35	50.38	43.13
DKK1	619.01	642.93	370.59	365.4
PANK1	6.55	6.54	3.86	3.69
CBX7	6.93	6.4	3.4	4.32
KLF10	42.94	42.27	22.12	27.44
CCDC61	7.59	7.39	4.23	4.52
NEFL	237.02	267.1	154.3	137.06
SARS2	14.27	14.78	8.64	8.3
TRPV6	13.35	13.16	6.54	8.87
NOXA1	6.69	6.19	3.6	3.94
THBS3	10.82	9.46	5.74	6.07
PRKCD	20.19	18.6	10.76	11.73
TEN1-CDK3	2.25	2.66	1.39	1.46
SLC25A29	18.31	20.59	10.03	12.71
TNS3	76.48	81.94	44.46	47.2
SLC27A3	89.05	80.16	50.2	48.7
CERCAM	61.42	59.57	32.94	39.23
SAMD1	57.74	61.66	36.86	33.74
ZSCAN2	4.78	5.24	3.14	3.68
STARD4	25.4	21.02	14.22	12.24
SSBP3	39.67	35.49	21.35	22.65
COL4A6	8.94	10.39	5.65	5.6
ADM	190.77	149.03	106.6	94.73
LOC100630923	5.05	5.58	2.65	3.56
LINC00294	6.4	8.53	4.1	4.61
KIAA1841	8.82	8.09	4.64	5.35
SCEL	24.73	23.07	14.21	13.84
ZBED5-AS1	21.86	20.49	10.74	14.58
SHROOM2	3.14	2.94	1.86	1.7
RYR1	2.38	1.74	1.38	1.03
TRPM4	18.18	17.99	9.6	11.58
ARHGAP22	22.02	21.09	12.53	12.42
ZBTB3	3.06	3.51	1.77	2.08
LACTB2	65.16	58.67	35.05	38.61
PXYLP1	2.16	2.39	1.23	1.41
SESN1	8.91	8.9	4.34	5.87
DENND6B	4.64	3.9	2.65	2.41
C1R	12.27	10.97	6.91	6.86
MEX3A	1.31	1.46	0.87	0.75
TSTD1	171.97	149.35	105.85	111.58
KBTBD4	20.94	20.6	12.87	11.69
DNAAF3	26.56	24.94	15.26	15.31
EMP2	77.37	80.51	43.28	49.77
PRDX5	1029.11	881.27	588.27	588.61
SIPA1	3.25	3.66	2.15	1.92
TMEM219	70.08	59.27	36.61	42.03
TMEM237	12.07	12.93	7.04	7.7
CDK20	11.17	10.51	6.71	6.14
FASN	258.58	247.41	157.45	141.04
ACOT11	29.76	27.83	17.09	16.81
RASA4	9.48	8.63	4.96	5.78
TCTN1	20.65	21.13	12.13	12.84
CASK	20.35	23.08	12.38	13.24
TSNARE1	5.33	4.67	2.45	3.6
FAM212B	3.67	3.28	1.71	2.4
AHNAK2	17.39	17.56	9.36	11.29
TMEM143	8.16	7.69	4.46	4.99
CETN2	153.33	139.38	87.5	90.31
MRC2	19.36	19.8	11.1	12.08
SLC1A3	131.62	152.11	79.49	88.06
SNN	43.29	40.42	23.88	25.99
PAQR7	53.74	52.44	28.55	34.78
TMEM25	9.98	7.91	5.43	5.59
C9orf3	38.23	33.68	19.84	23.28
ANAPC15	237.46	234.09	148.93	141.52
ANKMY1	7.32	6.68	3.7	4.8
BSCL2	64.47	61.78	38.97	38.45
C22orf29	28.48	31.62	17.3	18.36
CTXN1	50.37	51.13	29.94	31.59
ARL15	12.57	12.92	7.52	7.74
SERTAD3	25.21	20.86	12.97	15.01
CBR4	6.09	5	3.12	3.52
EDARADD	19.33	17.63	10.11	12.04
TMTC2	5.4	6.53	3.33	3.76
CTSF	10.34	9.47	4.55	7.39
NAV2	3.82	4.22	1.64	2.51
WDFY2	10.73	9.72	6.5	5.74
ACADS	13.13	11.92	6.75	8.35
AP1S3	24.76	28.54	15.03	16.79
KANK2	31.1	31.25	17.35	19.83
ADAMTS15	2.55	3.41	1.76	1.79
MIR31HG	10.29	9.48	5.93	5.99
VWDE	3.02	3.42	1.6	2.25
TNNT1	335.73	292.26	189.84	194.5
CDK18	55.31	51.82	31.29	32.71
ATG16L2	5.46	5.21	2.95	3.49
JUN	93.45	74.07	52.85	48.05
MIR4697HG	4.56	6.11	2.99	3.38
ANK3	13.29	14.21	7.86	8.51
DUSP10	67.43	63.04	37.29	42.86
FXYD3	505.91	403.16	266.48	286.37
PPP1R12B	5.7	6.26	3.32	3.38
PLEKHH2	3.36	4	1.9	2.51
PROM2	85.74	82.9	50.01	50.91
IGFBP6	937.41	835.56	567.13	531.5
PPP3CB	22.92	23.83	14.37	14.44
MT1L	56.57	39.98	29.23	36.01
SKIL	19.26	23.3	11.7	13.86
PRDM11	2.47	3.23	1.69	1.59
UCA1	252.31	188.04	138.83	129.18
LRRC56	4.15	4.61	2.56	2.73
PTGES	240.37	215.94	132.73	145.91
LINC00339	14.31	13.93	7.92	9.41
FAM43A	10	7.98	5.47	5.44
TEAD2	40.35	35.26	22.5	23.59
WWOX	29.38	26.13	17.05	16.77
MTMR11	10.17	8.88	5.85	5.62
PAN2	12.2	12.38	7	7.83
ST5	22.28	23.61	13.77	13.68
DHRS11	20.11	22.04	12.98	12.8
DEPDC7	26.45	27.68	16.35	16.74
NUDT8	40.39	36.68	23.68	24.73
ARMC9	20.6	18.77	12.68	12.18
HOTAIR	8.24	8.14	4.38	5.61
LMNTD2	7.02	5.79	3.88	3.96
WBP5	159.33	151.43	98.38	95.87
MYCL	3.66	3.23	2.17	1.93
MYL6B	37.56	36.45	21.26	24.71
CTDSP1	70.58	71.24	43.13	42.46
C5orf45	9.99	8.42	4.89	6.43
EXOC6B	43.73	46.96	28.02	27.26
TXNDC17	117.93	112.44	71.29	69.79
HDAC11	8.7	7.39	4.6	5.23
SRRM3	3.22	2.48	1.61	1.87
PGAP3	14.23	13.15	8.78	8.13
ISYNA1	69.5	66.15	38.43	45.74
DTX4	22.33	23.9	13.3	14.85
FOXO4	4.95	4.13	2.72	2.86
MAGEE1	7.04	6.18	3.38	4.7
PFKFB3	73.53	83.01	48.06	47.96
LOC90246	5.87	5.57	3.19	3.81
TBC1D8B	3.99	4.41	2.42	3.03
FAM175A	4.04	4.06	2.55	2.4
TRIM6	8.61	10.01	5.01	6.39
DNMT3B	2.4	2.76	1.65	1.48
LOC284023	7.66	7.6	4.52	4.84
SYDE2	8.57	8.9	5.21	5.44
AKR7A2	65.41	57.88	36.92	38.85
NIPSNAP3A	53.15	57.4	30.47	37.81
BCL11A	4.93	4.23	2.77	2.73
RALGDS	44.44	39.64	24.59	26.98
PAX9	18.39	16.22	9.85	11.41
FAM210B	56.55	52.5	31.42	35.63
PVRL1	96.28	107.52	67.02	67.12
TCAF1	39.27	43.23	23.51	26.92
CROT	53.2	46.63	29.19	34.47
NPNT	9.43	11.57	5.08	7.75
FBLN1	73.6	76.48	41.98	50.16
CAPG	544.79	454.58	312.06	305.41
LINC00842	22.65	25.04	15.39	13.92
GALNT11	21.19	19.62	11.96	13.22
TBC1D9	6.2	5.89	3.31	4.11
RARG	132.72	137.14	83.19	82.31
CDKN2C	32.66	38.37	21.21	22.65
SYNGR3	7.52	6.15	4.46	4.03
ARHGDIB	414.02	389.29	241.24	262.35
CNTNAP3B	2.65	2.4	1.68	1.41
HES1	63.19	55	37.72	36.12
PHLDB2	87.57	104.79	58.17	59.81
RTKN2	39.55	44.92	27.11	28.6
CACNB3	35.64	32.36	21.14	20.96
LTBP2	7.5	6.85	4.5	4.32
CCDC107	8.21	8.36	5.15	5.2
ACPP	6.48	5.22	3.49	4.31
KATNAL1	3.43	3.84	2.17	2.29
MITF	14.6	15.49	8.17	10.4
DLX1	18.67	16.93	11.42	10.68
MFAP2	15.15	12.82	8.24	9.43
PPM1J	5.53	5.28	3.08	3.67
CRNDE	20.82	25.66	14.37	15.01
MVK	83.74	73.7	50.19	48.44
MARCH2	20.46	17.42	12.14	11.27
IAH1	107.27	102.75	66.93	66.85
SFT2D2	57.66	54.07	35.85	35.56
LMF1	8.5	8	4.93	5.54
JOSD2	72.54	68.26	46.09	45.44
PXMP2	86.08	90.98	54.87	57.58
SEMA4F	4.94	5.48	3.24	3.17
FIS1	188.93	176.67	111.59	124.46
SLC16A7	2.51	3.73	1.73	2.1
ZNF362	19.27	18.24	11.54	11.77
MTRNR2L9	41.59	29.45	19.28	28.44
VKORC1	105.49	103.1	69.85	63.85
TIA1	27.6	27.73	15.68	18.63
ANP32E	71.1	82.35	48.32	46.71
CUX1	51.22	48.49	26.05	30.03
SPOCK1	7.97	8.63	4.9	5.38
SLC7A7	11.45	12.2	6.78	7.99
AP3B2	8.88	9.21	5.14	6.09
KITLG	53.87	61.84	34.39	37.26
ATP1B3	457.67	414.65	260.21	288.07
CASP1	17.94	16.25	9.29	12.64
WDR54	68.96	70.72	49.45	39.22
PCLO	0.82	0.76	0.42	0.56
SRI	255.67	229.57	159.02	148.81
PXMP4	4.5	4.67	2.87	2.85
CARHSP1	59.74	53.71	33.89	36.95
TUBA3FP	10.45	11.41	6.59	7.16
MEGF8	5.68	6.48	3.61	3.94
POF1B	26.48	26.84	15.48	18.54
PRICKLE1	6.45	8.84	4.21	5.31
MOB3B	7.51	8.69	5.41	4.67
STMN1	288.85	294.78	179.97	189.23
COL17A1	400.38	345.26	248.07	217.9
SUCLG2	28.7	28	18.05	17.77
BMP4	139.13	156.51	97.54	88.27
PYROXD2	7.49	6.19	3.83	4.81
C2CD4C	4.28	3.75	2.63	2.43
ANK1	5.34	6.18	3.62	3.54
HMGCS1	99.58	84.1	61.44	53.89
ALDH16A1	35.47	35.89	22.15	22.66
GDPD5	6.11	5.72	3.55	3.91
AP5S1	12.53	13.05	8.16	8.07
SIK1	26.39	24.81	16.5	15.69
HMGN3	54.96	58.82	32.94	40.97
HOXA3	5.86	6.07	3.39	4.1
KLC4	15.27	12.34	8.74	8.4
MCC	14.5	15.1	9.03	9.6
CALM3	313.93	310.99	192.35	203.9
NLRX1	24.9	24.27	15.12	15.63
COQ7	16.85	18.7	11.48	10.99
SPACA6P	5.57	6.94	3.84	4.08
PTRHD1	128.3	118.15	82.82	82.93
HGSNAT	20.69	22.18	12.32	14.68
STK11IP	17.38	16.66	11	10.51
PET100	279.39	257.24	181.84	205.23
NCS1	27.78	28.55	17.13	18.39
NID1	20.02	20.01	13.55	11.67
COL12A1	35.15	43.12	22.94	23.03
GPX4	514.03	488.61	317.03	334.53
HOXA5	15.57	15.65	9.65	10.32
CERS6	27.65	29.89	17.51	18.78
FSTL3	70.94	76.6	45.34	48.4
HMGN5	8.47	8.66	5.24	5.68
MXI1	10.22	7.04	5.52	5.62
PLEKHA7	27.37	31.35	18.32	18.79
SCRN2	25.68	25.21	15.96	17.06
ALAD	49.52	48.18	29.09	33.1
KIAA0101	184.23	194.88	119.88	123.82
BBS9	6.48	6.06	3.98	4.03
FBXW9	17.74	19.77	12.55	11.49
ARL2	144.61	130.17	91.9	88.16
C19orf60	72.12	65.33	46.46	44.19
FAM117A	8.36	8.41	4.63	6.09
ORAI2	5.46	6.24	3.47	3.94
BMP1	91.42	90.06	55.08	60.72
ALPPL2	4.89	3.93	2.91	2.76
GATA2-AS1	19.88	19.48	11.38	13.85
ANO8	9.02	8.7	5.75	5.55
CAMKK1	30.08	29.86	19.6	18.64
ECH1	126.93	107.02	77.06	75.09
VEPH1	3.98	5.62	3.78	3.23
ADGRB2	2.94	3.3	1.83	2.15
HIBADH	145.31	143.63	91.04	94.82
KIAA1161	11.85	11.88	7.16	7.95
FGFBP1	551.84	443.8	354.38	292.43
IKZF2	1.41	1.91	1.01	1.09
C10orf54	56.94	56.85	35.23	37.5
SBF2-AS1	9.25	8.1	5.5	5.67
HOXD10	11.44	12.12	7.04	8.16
GADD45B	70.77	59.39	41.82	43
RTEL1	6.62	7.56	4.32	4.75
RNASET2	67.31	66.89	42.25	45.26
TAF9B	19.29	20.53	12.85	12.73
C21orf58	11.26	12.65	7.55	8.02
CNTNAP3	2.42	2.37	1.63	1.43
KAT5	40.05	38.42	26.76	23.69
CCNG2	8.87	8.19	5.23	5.72
CDKN2D	21.35	19.61	14.44	12.69
CREB3L4	30.52	23.05	17.82	17.25
INPPL1	79.13	86.44	51.61	54.57
TCTEX1D2	115.69	111.92	72.49	80.89
LYSMD4	10.28	9.49	6.03	6.97
LARGE	3.07	3.14	1.63	2.35
KCNJ15	25.15	21.59	14.53	15.64
SYNE2	11.4	11.06	7.09	7.88
FUK	7.35	7.23	4.55	4.84
FLJ37453	4.67	4.45	2.55	3.35
KDM1A	235.91	218.02	157.49	135.94
PRRG4	38.25	42.58	23.7	28.27
TRIQK	12.06	11.39	7.81	7.33
C17orf59	23.74	20.84	14.93	14.1
RTN4R	43.57	38.02	26.04	27.16
ACBD4	10.3	9.86	6.59	6.6
KIAA1328	2.12	2.33	1.43	1.45
SPARC	22.78	21.88	14.24	14.68
ABCA5	4	3.81	2.43	2.63
STK38	39.78	41.87	23.93	28.97
SIPA1L2	3.6	4.09	2.31	2.65
MMRN2	7.26	6.71	4.59	4.48
AKR1A1	129.36	111.56	76.68	82.85
SIRPA	9.58	11.92	6.01	7.79
PAPSS2	38.37	43.31	25.08	27.87
OGFOD3	10.47	10.53	7	6.63
GALNT2	168.7	178.95	114.02	111.31
PCIF1	20.22	17.8	13.34	11.48
CAMK2N2	12.5	14.72	8.33	9.57
NR2F1	12.68	18.05	9.89	10.02
DTWD2	6.93	8.32	5.01	4.89
KIF24	3.43	4.18	2.5	2.43
PODXL	25.45	29.75	16.72	19.07
TBCK	5.08	5.55	3.53	3.38
ARAP3	13.99	14.99	9.11	9.73
PTPN13	33.12	36.66	21.51	23.85
FAM131A	11.84	12.42	7.66	8.18
MAPKBP1	12.95	10.99	7.75	7.86
DDB2	108.73	99.37	68.17	70.46
ARFRP1	23.63	26.96	16.41	16.89
ITGB4	336.46	322.44	224.99	204.74
HAP1	7.07	5.75	3.63	4.77
SCMH1	10.11	11.02	6.86	7.07
ANO9	19.94	21.59	13.29	13.95
TRIM5	38.46	39.82	24.31	24.76
LRTOMT	6.5	7.3	4.44	4.98
PQLC3	19.89	16.28	11.36	12.55
ETHE1	57.5	48.85	35.86	35.96
MRPL54	101.59	96.59	68.44	68.9
EFHC1	5.02	5.14	3.3	3.24
ING4	34.59	29.17	20.63	21.9
C4orf33	10.34	9.8	6.44	6.55
CDK5	45.73	38.14	26.38	29.8
RRAS	80.7	76.86	51.14	55.05
PIDD1	19.35	20	12.58	13.31
KLK10	109.05	101.33	71.48	66.96
TMSB4X	4865.36	4668.96	3247.6	3361.93
TMEM254	19.82	18.29	12.33	12.77
CHD3	60.69	62.89	40.05	40.92
PAPSS1	74.9	72.96	47.15	50.45
YIF1B	13.75	13.06	9.24	8.43
PCSK9	199.24	176.28	122.68	124.68
USP32P1	10.01	12.43	6.85	7.87
LAMB2	55.8	50.76	34.01	36
MLLT3	2.02	2.38	1.32	1.56
PAK1	26.68	30.49	17.61	20.01
COL6A1	7.98	7.4	4.5	5.63
MSI2	15.55	17.53	11.1	10.83
LOC100505666	15.07	13.27	10.13	8.74
SSBP4	42.22	44.8	28.88	28.99
SEC14L2	13.96	14.63	10.11	10.14
RGS12	10.62	10.08	7.22	6.93
REL	6.33	6.79	3.89	4.74
MAPK10	2.98	3.01	1.99	1.95
CACNG6	14.9	17.64	11.4	11.85
TMEM231	14.82	13.67	9.93	8.92
ZDHHC12	159.26	146.77	104.67	101.73
CRYL1	13.06	10.73	8.27	7.7
SCCPDH	77.13	75.03	47.65	53.52
TKFC	29.16	25.1	18.11	17.83
FAM127A	98.98	92.56	63.71	65.38
ZNF32	25.91	28.57	18.69	17.89
IFT122	13.3	13.63	8.23	9.59
TBC1D17	30.11	26.75	19.02	18.86
ASCC3	41.88	48.52	28.85	31.02
MPP1	13.12	12.65	8.29	8.93
FOXN3	3.86	3.67	2.3	2.68
MID1IP1	87.13	80.49	58.14	54.77
MYH14	70.2	73.2	44.95	49.98
TBCB	103.19	92.52	65.16	62.41
MGMT	51.49	54.33	33.45	37.97
IQCE	33.82	35.84	23.54	21.7
SLX1A	105.16	108.48	74.17	70.62
SLX1B	105.16	108.48	74.17	70.62
GTF2IP1	32.41	28.19	21	19.34
LIPA	293.73	334.13	197.65	220.06
NFASC	9.83	10.16	6.79	6.94
C16orf62	9.16	9.55	6.26	6.14
HYAL3	13.31	13.86	9.09	8.45
TTC30B	7.41	6.94	4.8	4.78
NDRG2	25.23	20.04	15.65	14.84
PHPT1	142.8	135.5	97.56	91.47
MICALL1	50.67	54.74	34.23	35.84
BCAS4	48.34	42.51	31.81	30.18
C14orf159	19.22	18.4	12.39	12.54
SHMT1	119.51	117.97	80.89	78.3
PSIP1	29.76	32.41	20.27	21.63
PARD6G	18.17	19.82	12.69	12.63
SFMBT2	3.53	5.51	2.49	3.51
PITPNM3	14.52	15.26	9.41	10.41
H2AFJ	45.11	40.35	28.47	28.61
BPGM	28.24	24.79	17.02	18.87
COBLL1	13.82	14.33	9.3	9.44
MRPL27	235.12	238.09	178.64	152.18
AGPS	37.43	43.61	26.12	27.86
SH3PXD2B	5.24	5.68	4	4.12
KIAA0895L	12.73	12.97	9.19	8.05
PLEKHH3	34.96	33.03	22.88	23.03
CRAT	9.36	9.47	6.2	6.44
KRT16	14.24	9.75	7.53	8.78
C1RL	13.32	10.84	7.93	8.29
PIK3R2	56.73	58.45	36.68	40.62
RBPMS	24.15	22.72	16.42	15.58
CHCHD5	56.6	48.13	37.12	38.03
SUMF2	202.88	194.77	130.26	139.95
TENM4	0.89	1.15	0.65	0.71
ENDOD1	33.04	35.61	23.18	22.83
TMEM102	25.79	25.22	16.67	17.87
EFNB1	33.95	33.28	23.99	21.24
STX2	5.57	6.07	4.02	3.82
CD151	435.77	424.53	295.46	291.98
HSD3B7	15.01	14.32	9.66	10.18
PNMA1	32.11	32.74	21.15	22.61
RRM2	133.1	153.19	92.16	100.22
HAGHL	16.26	16.96	11.43	11.31
LOC100294145	8.05	7.83	4.99	5.73
FHDC1	2.31	2.71	1.48	1.88
RBM4B	38.03	33.52	24.52	24.47
FDXR	62.34	55.63	41.63	38.62
P4HTM	15.68	15.48	9.68	11.5
GSTZ1	36	32.36	23.64	23.34
FBXL16	19.66	17.9	12.38	13.07
MX1	40.76	54.77	28.32	36.29
FZD6	77.53	73.18	48.87	53.26
TMTC4	5.44	4.73	3.53	3.37
C22orf39	40.14	41.55	27.67	26.8
ADAM23	24.45	23.39	15.3	17.02
ARHGEF10L	7.78	7.33	4.85	5.38
SFXN2	9.93	10.39	7.52	6.29
DSG3	52.76	45.71	33.46	33.27
TCEAL3	49.61	44.41	31.62	33.5
DUOXA1	47.51	44.2	29.99	32.09
SVBP	22.85	21.56	14.78	16.45
SERPINB13	114.23	93.71	73.39	68.26
GPR137B	18.82	16.46	11.32	12.82
TUBB	744.84	797.71	541.74	506.58
MOB3A	7.75	8.28	5.1	5.78
CD24	450.03	453.33	294.97	321.72
BLMH	11.34	11.81	7.29	8.47
CTDSPL	40.36	41.06	27.16	28.06
KCTD7	3.32	3.43	2.06	2.44
MAP3K6	15.75	17.15	10.85	11.46
MIPEP	38.94	38.42	27.62	25.22
LRSAM1	26.2	27.2	17.95	18.33
TJP3	9.51	7.23	4.88	6.59
AFAP1L2	92.32	101.52	62.51	69.46
ASAP3	14.24	12.51	8.57	9.69
ARHGAP23	146.54	169.56	106.12	108.44
DGCR5	5.4	5.51	3.27	4.19
