	Cont_1	Cont_2	SFN_1	SFN_2	NRF2KO-SFN_1	NRF2KO-SFN_2
HECTD2-AS1	0	0	1	1	3	4
HECTD3	1144	1155	1231	912	862	875
HECTD4	1633	1518	2301	2121	1705	1710
HECW1	2	0	0	1	0	0
HECW2	356	275	280	259	143	147
HEG1	2436	2498	3946	3305	2168	2110
HEIH	166.37	171	246.85	187.54	192.72	169.33
HELB	41	35	33	35	31	46
HELLS	1145	1043	672	585	499	469
HELQ	259	277	417	328	275	305
HELT	0	0	0	0	0	0
HELZ	2531	2539	3182	2813	2811	2718
HELZ2	1489	1384	1411	1036	1010	996
HEMGN	3	0	0	0	0	0
HEMK1	142	188	149	154	118	113
HENMT1	231	284	299	210	170	180
HEPACAM	0	0	0	0	0	1
HEPACAM2	0	1	1	3	5	1
HEPH	0	0	1	0	0	0
HEPHL1	9	10	1	1	2	4
HEPN1	1	0	0	1	0	0
HERC1	1722	1650	1728	1468	1483	1528
HERC2	4004.01	4022.75	4149.59	3571.67	3415.91	3486.82
HERC2P10	0	0	0	2	0	0
HERC2P2	1736.47	1470.72	1476.69	1191.35	942.49	1015.79
HERC2P3	205.01	209.24	217.55	172.77	149.76	127.27
HERC2P4	0	0	0	0	0	0
HERC2P7	55	45	29	19	18	34
HERC2P9	219.51	250.29	322.17	260.2	228.83	196.12
HERC3	225	240	321	264	159	131
HERC4	3694	3572	4810	4268	3270	3161
HERC5	83	72	80	35	23	23
HERC6	161	187	170	95	51	65
HERPUD1	1277	1134	2136	1640	1504	1389
HERPUD2	350	335	506	416	381	331
HES1	59	70	108	108	102	67
HES2	23	21	12	13	7	13
HES3	0	0	0	0	0	0
HES4	257	235	165	160	218	175
HES5	21	28	2	4	12	5
HES6	59	60	67	33	73	46
HES7	47	32	20	21	16	15
HESX1	3	7	5	0	0	4
HEXA	1735	1616	2337	1673	1406	1479
HEXA-AS1	0	4	2	4	2	3
HEXB	2175.43	1911.56	2919	2436.06	1793.71	1763.69
HEXDC	124.76	115.58	87	82.28	113.18	112
HEXIM1	2859	2755	3464	2708	3010	3037
HEXIM2	125	106	105	62	101	86
HEY1	2	0	15	3	9	3
HEY2	0	0	0	0	0	0
HEYL	70	73	47	29	27	50
HFE	184	178	251	181	167	193
HFE2	0	0	0	0	0	0
HFM1	0	0	1	0	0	0
HGC6.3	0	0	0	0	0	0
HGD	0	2	2	2	2	1
HGF	3	0	0	0	0	0
HGFAC	9	3	6	4	6	6
HGH1	957	940	891	691	917	903
HGS	3986	3865	5277	4089	4085	4084
HGSNAT	1132	1085	1070	1017	911	891
HHAT	449	409	464	368	264	303
HHATL	0	0	0	0	0	1
HHEX	345	366	680	563	356	379
HHIP	345	294	172	147	149	122
HHIP-AS1	138	110	39	47	31	47
HHIPL1	0	0	0	1	2	0
HHIPL2	1	4	14	1	0	5
HHLA1	0	0	0	0	0	0
HHLA2	3	0	0	0	0	0
HHLA3	24	22	67	40	40	40
HIAT1	1095	995	1243	1013	958	994
HIATL1	2158.49	1987.17	2242.7	1823.11	1797.27	1720.35
HIATL2	69.51	106.83	78.3	62.89	61.73	65.65
HIBADH	794	642	961	736	678	673
HIBCH	449	361	434	426	286	299
HIC1	238	221	353	269	272	241
HIC2	189.4	262.22	309.07	269.73	261.36	231.48
HID1	149	181	176	149	101	99
HID1-AS1	0	0	0	0	0	0
HIF1A	9228.71	9366.44	12214.91	9678.94	8111.22	7955.74
HIF1A-AS1	1	1	5	3	5	4
HIF1A-AS2	65.29	106.56	34.09	21.06	18.78	14.26
HIF1AN	1718	1700	2567	2107	1904	1961
HIF3A	0	0	0	0	0	1
HIGD1A	1343	1336	1680	1483	1081	1021
HIGD1B	0	0	0	0	2	0
HIGD1C	0	0	0	0	0	0
HIGD2A	600	581	797	638	555	529
HIGD2B	0	0	0	1	0	0
HILPDA	216	206	163	123	140	119
HILS1	0	0	0	0	0	0
HINFP	334	364	476	357	315	353
HINT1	4753	4580	5823	4464	3863	3740
HINT2	561	556	734	549	631	580
HINT3	703	544	729	567	450	477
HIP1	818	751	705	609	561	607
HIP1R	437	392	492	403	458	416
HIPK1	1970	1943	2792	2347	2262	2137
HIPK1-AS1	1	0	0	2	2	1
HIPK2	2332	2287	3347	3228	1850	1833
HIPK3	1556	1677	2795	2293	1960	1773
HIPK4	0	1	4	9	3	6
HIRA	951	874	1339	1086	1067	1139
HIRIP3	516	446	554	420	437	491
HIST1H1A	0	0	0	0	0	0
HIST1H1B	0	0	1	2	5	1
HIST1H1C	66	67	77	33	72	62
HIST1H1D	0	0	0	0	1	0
HIST1H1E	0	1	1	2	2	0
HIST1H1T	0	0	1	0	0	0
HIST1H2AA	0	0	0	0	0	0
HIST1H2AB	0	0	0	3	2	1
HIST1H2AC	39	46	37	14	32	33
HIST1H2AD	0.22	0	1	2	1.8	0
HIST1H2AE	1	9	0	5	8	10
HIST1H2AG	4	3	5	8	4	2
HIST1H2AH	0	0	1	0	0	0
HIST1H2AI	0	0	1	3.53	0	3
HIST1H2AJ	0	3	2	2.47	0	0
HIST1H2AK	0	0	4	0	5	1
HIST1H2AL	4	2	3	0	3	1
HIST1H2AM	3	3	5	2	3	5
HIST1H2APS1	0	0	0	0	0	0
HIST1H2BA	0	0	0	0	0	0
HIST1H2BB	0	0	0	0	0	0
HIST1H2BC	2	14	3	3	3	3
HIST1H2BD	37	35	20	12	9	16
HIST1H2BE	0	0	0	0	0	0
HIST1H2BF	0	0	0	0	0	1
HIST1H2BG	7	1	1	0	0	0
HIST1H2BH	0	3	2	0	2	2
HIST1H2BI	0	0	0	0	1	0
HIST1H2BJ	0	6	3	9	5	3
HIST1H2BK	139	157	175	129	154	106
HIST1H2BL	0	0	3	1	0	2
HIST1H2BM	0	0	0	0	0	0
HIST1H2BN	0	7	2	0	2	1
HIST1H2BO	0	4	0	0	0	2
HIST1H3A	0	5	0	1	2	0
HIST1H3B	2	1	0	1	0	5
HIST1H3C	2	0	3	2	0	0
HIST1H3D	1.78	0	0	0	1.2	3
HIST1H3E	0	0	0	2	1	0
HIST1H3F	0	0	0	0	0	0
HIST1H3G	0	2	2	0	0	2
HIST1H3H	2	6	9	0	1	3
HIST1H3I	4	0	1	0	0	1
HIST1H3J	0	0	1	1	0	0
HIST1H4A	0	0	0	0	0	0
HIST1H4B	1	0	0	0	0	3
HIST1H4C	8	0	0	3	0	1
HIST1H4D	0	0	0	0	0	0
HIST1H4E	0	0	0	1	1	1
HIST1H4F	0	0	0	0	0	0
HIST1H4G	0	0	0	0	0	0
HIST1H4H	2	3	0	0	2	0
HIST1H4I	0	2	0	0	0	0
HIST1H4J	0	0	0	0	0	4
HIST1H4K	0	0	10	1	5	0
HIST1H4L	0	0	0	0	0	0
HIST2H2AA3	19.5	24.5	34	31	30	18.5
HIST2H2AA4	19.5	24.5	34	31	30	18.5
HIST2H2AB	0	0	1	0	0	0
HIST2H2AC	4	0	1	4	2	16
HIST2H2BA	5	7	2	2	2	2
HIST2H2BC	13	19	20	24	13	26
HIST2H2BE	13	29	25	18	21	13
HIST2H2BF	0	0	1	2	2	0
HIST2H3A	0	9	3	1.5	4.5	0.5
HIST2H3C	0	9	3	1.5	4.5	0.5
HIST2H3D	0	0	0	9	2	2
HIST2H4A	8.5	8	13	12.5	8.5	3.5
HIST2H4B	8.5	8	13	12.5	8.5	3.5
HIST3H2A	37	39	65	48	61	45
HIST3H2BB	0	0	0	2	0	0
HIST3H3	0	0	0	0	0	1
HIST4H4	0	3	0	0	1	1
HIVEP1	441	395	294	301	397	339
HIVEP2	830	708	782	696	549	485
HIVEP3	231	307	208	146	164	173
HJURP	2406	2290	3784	2838	2447	2340
HK1	4186	3778	5501	4650	2938	2889
HK2	2924	3001	5988	5305	3920	3535
HK3	0	0	0	0	0	0
HKDC1	39	24	49	43	17	15
HKR1	402	375	412	348	255	259
HLA-A	2190.62	2093.7	2728.88	2255.87	1550.9	1526.77
HLA-B	883.93	870	1148.85	759	415.16	392.11
HLA-C	1138.07	1255	1520.15	1203	815.84	899.89
HLA-DMA	1	10	19	13	9	8
HLA-DMB	0	0	0	1	0	0
HLA-DOA	2	1	0	1	0	1
HLA-DOB	3	0	1	0	0	0
HLA-DPA1	0	0	0	0	0	0
HLA-DPB1	0	1	3	1	1	1
HLA-DPB2	0	0	0	0	0	0
HLA-DQA1	0	0	0	0	0	0
HLA-DQA2	0	0	0	0	0	0
HLA-DQB1	0	0	0	0	0	0
HLA-DQB2	0	0	0	0	0	0
HLA-DRA	0	0	1	0	0	0
HLA-DRB1	0	0	0	0	0	0
HLA-DRB5	0	0	0	0	0	0
HLA-DRB6	0	0	0	0	0	0
HLA-E	3525	3315	4370	3302	2637	2564
HLA-F	0	0	0	0	0	0
HLA-F-AS1	0	0	0	0	0	0
HLA-G	0	0	0	0	0	0
HLA-H	20.38	20.3	20.12	29.13	13.1	18.23
HLA-J	0	0	0	0	1	1
HLA-L	85	72	29	53	44	57
HLCS	395	374	499	408	479	429
HLF	0	0	3	1	0	0
HLTF	1684	1553	1039	848	885	861
HLTF-AS1	0	0	0	0	0	0
HLX	67	83	193	101	59	68
HLX-AS1	0	2	2	0	0	0
HM13	3915	3984	5309	4246	3120	3046
HM13-AS1	0	0	0	0	2	0
HMBOX1	240	241	242	260	269	267
HMBS	435	479	375	307	386	396
HMCES	1100	1167	1308	1074	1000	967
HMCN1	152	152	122	107	123	104
HMCN2	6	9	5	4	1	1
HMG20A	878	753	1142	871	808	806
HMG20B	3886	3474	4342	3201	3646	3702
HMGA1	19908	19626	28680	21781	21968	20514
HMGA1P7	0	0	0	0	0	0
HMGA2	8698	8440	10742	8580	6220	5676
HMGB1	11912	11006	12784	10101	11487	11387
HMGB2	4069	4047	4760	3326	4135	4351
HMGB3	1136	1102	1071	798	1062	1059
HMGB3P1	0	0	0	0	0	0
HMGB4	0	0	0	0	0	0
HMGCL	370	288	508	417	350	337
HMGCLL1	9	2	3	0	0	1
HMGCR	1222	1145	1591	1249	1071	1010
HMGCS1	630	584	699	596	423	417
HMGCS2	0	0	0	0	0	0
HMGN1	5215	4706	5012	4095	3872	3795
HMGN2	6253	5892	6909	5526	6243	6366
HMGN2P46	0	0	0	0	0	0
HMGN3	666.94	589	621	463	421	369
HMGN3-AS1	24.06	21	23	5	19	19
HMGN4	1652	1743	1776	1366	1184	1197
HMGN5	198	138	127	102	86	84
HMGXB3	1821.71	1839.49	2667.16	2137.77	1585.43	1561.76
HMGXB4	1111	1148	1106	995	867	821
HMHA1	170.59	112	267.7	172.75	169.62	206.89
HMHB1	0	0	0	0	0	0
HMMR	1218	1138	1922	1615	1587	1573
HMMR-AS1	2	1	2	1	0	2
HMOX1	257	222	1364	1171	159	240
HMOX2	1505	1320	1513	1212	797	899
HMP19	4	2	2	0	2	0
HMSD	20	7	12	7	9	9
HMX1	0	0	0	0	0	0
HMX2	0	0	0	0	0	0
HMX3	0	0	0	0	0	0
HN1	4293	4045	4562	3744	3499	3473
HN1L	5095	4617	5606	4526	4254	4121
HNCAT21	0	0	0	0	0	0
HNF1A	33	23	53	43	22	33
HNF1A-AS1	0	0	0	0	0	0
HNF1B	362	339	339	269	278	312
HNF4A	1	0	0	0	0	0
HNF4A-AS1	0	0	0	0	0	0
HNF4G	0	0	0	0	0	0
HNMT	0	1	1	3	0	1
HNRNPA0	7059	6361	7636	6162	6453	6363
HNRNPA1	34189.99	31623.65	32060.46	25887.66	26233.13	26273.06
HNRNPA1L2	314.47	289.81	305.54	250.97	246.18	256.47
HNRNPA1P10	250.54	126.54	0	65.37	35.7	22.48
HNRNPA1P33	0	0	0	2	1	1
HNRNPA2B1	28123	25661	27608	22553	20505	20220
HNRNPA3	12367	11385	11230	9060	8635	8646
HNRNPA3P1	1	0	0	0	0	0
HNRNPAB	8005	7644	8559	6329	6378	5931
HNRNPC	14405	13649	14925	11846	11952	11964
HNRNPCL1	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0
HNRNPCL4	0	2	0	0	0	0
HNRNPD	10551	9492	10342	8627	9489	9290
HNRNPDL	5265	4873	4846	3835	3793	3653
HNRNPF	7697	7602	8894	6793	6468	6329
HNRNPH1	8329	7479	5365	4411	5046	5016
HNRNPH2	1956	2036	2279.85	1861.28	1619.85	1598.61
HNRNPH3	4812	4393	3711	3012	2882	2824
HNRNPK	17653	16685	19574	15927	15106	14889
HNRNPKP3	0	0	0	0	0	0
HNRNPL	6380	6360	9778	7923	8109	8007
HNRNPLL	695	679	1249	1010	904	900
HNRNPM	9617	9454	10751	8174	8962	8816
HNRNPR	5385	5344	3963	3267	3791	3744
HNRNPU	15190	14491	13875	11039	11645	11210
HNRNPU-AS1	672.91	562.78	744.18	511.94	437.96	510.26
HNRNPUL1	7817	7561	9101	7502	8753	8379
HNRNPUL2	5154.35	4302.21	4655.7	4042.54	4216.69	4222.16
HNRNPUL2-BSCL2	1776.96	2060.65	2568.51	1986.74	1886.49	1873.69
HOGA1	32	22	17	16	15	13
HOMER1	226	287	227	194	180	201
HOMER2	85	95	108	81	57	46
HOMER3	3671	3166	4945	3999	3916	3844
HOMEZ	173	225.79	267.85	210	218.57	228.82
HOOK1	61	38	18	18	22	20
HOOK2	365	325	419	314	254	313
HOOK3	3284	3259	3443	3224	3013	2849
HOPX	58	38	30	21	28	43
HORMAD1	0	0	1	0	0	0
HORMAD2	0	0	0	0	0	1
HORMAD2-AS1	0	3	0	0	0	0
HOTAIR	32	15	17	17	10	15
HOTAIRM1	90	115	68	67	76	62
HOTS	0	4	0	0	0	1.07
HOTTIP	0	0	0	0	0	0
HOXA-AS2	0	3	1	0	0	4
HOXA-AS3	25.32	19.11	22.78	14.68	13.56	17.37
HOXA1	121	108	120	81	46	63
HOXA10	449.76	473.73	268.74	187.68	189.54	188.36
HOXA10-AS	52.24	57.88	35.26	31.93	34.13	55.64
HOXA10-HOXA9	0	32.93	0	5.68	5.21	0
HOXA11	169	183	128	116	78	94
HOXA11-AS	9	21	15	3	6	6
HOXA13	3	0	0	0	1	1
HOXA2	13	19	25	9	8	11
HOXA3	50	87	44	43	74	91
HOXA4	71	67	46	31	41	46
HOXA5	376	385	348	283	382	374
HOXA6	105	113	95	98	101	104
HOXA7	498.68	575.89	438.22	357.32	453.44	458.63
HOXA9	879	919.45	755	565.72	611.13	664
HOXB-AS1	0	9	3	0	5	2
HOXB-AS3	110	83	123	90	106	104
HOXB1	0	0	0	0	0	0
HOXB13	234	241	141	125	132	123
HOXB2	644	647	773	687	552	565
HOXB3	925	867	1005	755	792	893
HOXB4	197	244	171	145	171	176
HOXB5	364	378	462	383	447	439
HOXB6	1022	1018	979	811	818	858
HOXB7	645	627	691	459	472	476
HOXB8	351	438	274	228	345	313
HOXB9	2650	2414	2280	1829	1853	1817
HOXC-AS1	1	4	2	4	6	3
HOXC-AS2	0	2	0	0	1	0
HOXC-AS3	0	0	0	0	0	0
HOXC10	308	315	375	339	287	264
HOXC11	23	16	23	15	16	18
HOXC12	0	0	0	0	0	0
HOXC13	6	8	3	4	1	2
HOXC13-AS	1	1	0	1	0	1
HOXC4	142.38	131.52	147	128.54	125.48	147
HOXC5	56.16	59.75	68.1	40	45	47
HOXC6	514.46	544.73	588.9	427.46	509.52	455
HOXC8	196	162	234	205	175	147
HOXC9	256	240	298	221	202	198
HOXD-AS2	24	28	26	37	16	21
HOXD1	108	118	112	63	60	70
HOXD10	311	305	240	142	269	235
HOXD11	265	237	136	94	214	219
HOXD12	0	0	0	0	0	0
HOXD13	0	0	0	0	0	0
HOXD3	171	183	156	120	137	113
HOXD4	428	401	262	226	281	320
HOXD8	446	433	413	325	289	340
HOXD9	512	499	407	305	437	467
HP	0	0	0	0	0	1
HP09025	0	0	0	0	0	0
HP09053	13.01	3.01	6	4.01	4.01	5.01
HP1BP3	4458	3936	4941	3855	3811	3797
HPCA	5	0	2	2	1	4
HPCAL1	2041	1949	2786	2184	2103	2086
HPCAL4	0	0	5	1	2	1
HPD	2	2	2	1	0	0
HPDL	99	103	55	34	68	72
HPGD	4	7	1	0	0	2
HPGDS	0	0	0	0	1	1
HPN	0	0	0	0	0	0
HPN-AS1	0	0	0	0	0	0
HPR	0	0	3	0	0	0
HPRT1	1138	1085	1261	975	840	827
HPS1	746	725	982	751	717	733
HPS3	489	471	403	327	307	304
HPS4	954	901	1184	928	963	890
HPS5	1017	1152	1035	901	759	727
HPS6	665	697	1037	706	764	689
HPSE	98	115	103	62	95	66
HPSE2	0	0	0	0	0	0
HPVC1	0	0	0	0	0	0
HPX	2	10	12	6	14	7
HPYR1	0	0	0	0	0	0
HR	0	0	0	0	1	3
HRAS	1020	990	1352	1082	1054	1027
HRASLS	2	0	4	2	1	1
HRASLS2	0	0	0	1	0	0
HRASLS5	0	0	0	4	1	0
HRAT13	0	0	0	0	0	0
HRAT17	9	10	12	4	4	3
HRAT5	0	0	0	0	2	0
HRAT56	0	0	0	0	0	0
HRAT92	7	5	10	4	5	5
HRC	0	1	0	0	0	2
HRCT1	75	52	41	16	17	21
HRG	0	0	0	0	0	0
HRH1	460	503	990	790	547	489
HRH2	0	0	0	0	0	0
HRH3	0	0	0	0	0	0
HRH4	0	2	3	4	2	4
HRK	0	0	0	0	0	0
HRNR	11	9	8	11	5	3
HRSP12	120	102	113	99	66	60
HS1BP3	321	327	379	329	272	292
HS1BP3-IT1	7	3	2	0	1	0
HS2ST1	1381	1420	1570	1339	1257	1208
HS3ST1	0	0	0	0	0	0
HS3ST2	0	0	0	0	0	0
HS3ST3A1	1589.42	1578.33	2257.75	1807.14	1866.87	1684.26
HS3ST3B1	578.58	590.67	948.25	766.86	670.13	620.74
HS3ST4	0	0	0	0	0	0
HS3ST5	40	32	22	11	17	24
HS3ST6	0	0	1	0	0	0
HS6ST1	738	711	564	448	560	539
HS6ST2	0	0	0	0	0	0
HS6ST2-AS1	0	0	0	0	0	0
HS6ST3	22	44	37	23	13	21
HSBP1	4506	4554	5525	4336	3182	3204
HSBP1L1	20	33	33	39	27	24
HSCB	159	194	238	193	130	162
HSD11B1	0	0	0	0	0	0
HSD11B1L	54	51	81	66	73	67
HSD11B2	0	1	2	2	0	0
HSD17B1	68	62	60	49	56	83
HSD17B10	1347	1300	1838	1489	1243	1163
HSD17B11	328	290	411	244	271	294
HSD17B12	2489	2456	3079	2562	1778	1849
HSD17B13	0	2	0	0	0	0
HSD17B14	170	152	165	185	77	73
HSD17B2	0	0	0	0	0	0
HSD17B3	5	0	0	1	0	0
HSD17B4	2149	2041	2382	1811	1476	1450
HSD17B6	19	13	17	9	12	15
HSD17B7	229.12	190	275.85	270	198	231
HSD17B7P2	28.88	32	45.15	26	19	18
HSD17B8	55	28	36	27	22	38
HSD3B1	0	0	0	0	0	0
HSD3B2	0	0	0	0	0	0
HSD3B7	236	253	213	232	191	178
HSD3BP4	4	0	3	1	2	0
HSD52	1	2	0	0	0	1
HSDL1	962	1008	1231	1011	842	856
HSDL2	1240	1266	1271	1038	743	823
HSF1	1962	2003	2860	2182	2176	2018
HSF2	435	432	502	442	317	292
HSF2BP	158	92	118	94	64	72
HSF4	48.85	35.35	41.45	24.33	24.06	21.57
HSF5	0	0	0	0	0	0
HSFX1	7	1	1	2	1	4
HSFX2	0	0	0	0	0	0
HSFY1	0	0	0	0	0	0
HSFY1P1	0	0	0	0	0	0
HSFY2	0	0	0	0	0	0
HSH2D	0	0	0	0	0	0
HSP90AA1	13020	12567	35520	29582	22306	21723
HSP90AB1	36540	34694	66860	55271	40083	40063
HSP90AB4P	0	0	0	1	2	1
HSP90B1	14322	13480	21743	17557	14156	13849
HSP90B2P	6	3	2	4	2	0
HSPA12A	14	15	23	8	9	7
HSPA12B	19	29	22	8	25	16
HSPA13	2355	2216	3048	2562	2091	2104
HSPA14	1437	1505	1973	1611	1269	1296
HSPA1A	3410.85	3280.25	64032.36	55011.18	24669.71	23496.19
HSPA1B	3247.15	3335.75	52128.64	45150.82	23881.29	22618.81
HSPA1L	57	53	185	93	88	114
HSPA2	753	792	580	537	595	563
HSPA4	5054	5244	8819	7234	5019	4984
HSPA4L	860	875	1095	911	627	629
HSPA5	18621	18209	34793	28294	24691	24025
HSPA6	7	8	102.74	119.92	59	22
HSPA7	0	0	3.26	1.08	0	0
HSPA8	38727	39594	98086	75774	58723	56273
HSPA9	10719	9964	13936	10765	7672	7593
HSPB1	3439	3314	7129	6064	4717	4770
HSPB11	522	505	480	396	342	393
HSPB2	0	0	0	1	1	0
HSPB2-C11orf52	0	0	0	0	0	0
HSPB3	0	0	0	2	0	0
HSPB6	11	8	11	7	17	14
HSPB7	0	0	0	0	0	0
HSPB8	0	0	2	0	0	1
HSPB9	0	3	8	2	0	0
HSPBAP1	159	146	157	117	106	117
HSPBP1	1052	952	1485	1131	1317	1164
HSPD1	12965	12413	22194	17981	13410	12951
HSPE1	2836.93	2488.79	3826.22	3364.46	2375.68	2446.12
HSPE1-MOB4	3.91	16.38	84.93	55.36	19.5	43.79
HSPG2	10603.98	10632.08	11509.9	9799.68	11188.66	10888.06
HSPH1	4383	4306	16796	14183	8780	8156
HTATIP2	445	448	602	571	223	249
HTATSF1	1925	1715	1850	1432	1424	1373
HTATSF1P2	202	225	269	185	180	165
HTN1	0	0	0	0	0	0
HTN3	0	0	0	0	0	0
HTR1A	0	0	0	0	0	0
HTR1B	3	3	4	3	7	4
HTR1D	179	197	219	164	192	180
HTR1E	0	0	0	0	0	0
HTR1F	5	3	0	0	0	0
HTR2A	0	0	0	0	0	0
HTR2A-AS1	0	0	0	0	0	0
HTR2B	0	10	5	5	4	6
HTR2C	0	0	0	0	0	0
HTR3A	0	0	0	0	0	0
HTR3B	0	0	0	0	0	0
HTR3C	0	0	0	0	0	0
HTR3D	0	0	2	0	0	0
HTR3E	0	0	0	0	0	0
HTR4	0	0	0	0	0	0
HTR5A	0	0	0	0	0	1
HTR5A-AS1	0	0	0	0	0	0
HTR6	0	0	0	1	0	1
HTR7	142	139	247	175	156	187
HTR7P1	213	145	196	149	147	127
HTRA1	49	60	70	72	67	64
HTRA2	476.62	452.89	688.17	517.09	365.68	410.22
HTRA3	2	0	5	0	0	0
HTRA4	9	2	1	1	0	0
HTT	3294	3276	3800	3310	3201	3238
HTT-AS	0	0	0	0	0	0
HULC	0	0	0	0	0	1
HUNK	0	0	1	0	0	1
HUS1	219	247	473	397	301	300
HUS1B	2	3	10	10	7	11
HUWE1	9901	9862	10685	9404	9327	9136
HVCN1	1	3	1	1	6	7
HYAL1	8	1	5	7	9	2
HYAL2	283	297	255	160	230	235
HYAL3	127	92.39	134	89	70	92
HYAL4	0	0	0	0	0	0
HYALP1	0	0	0	0	0	0
HYDIN	7	14	22	17	4	4
HYI	240.85	234.92	279.89	177.85	248.91	245.14
HYKK	10	24	15	18	21	13
HYLS1	430	399	481	278	324	363
HYMAI	5	0	5	3	8	10
HYOU1	4491	4375	6263	4919	5103	5124
HYPK	1125.51	897.32	1322.63	1067.17	1147.12	1069.76
HYPM	0	0	0	0	0	0
IAH1	369	455	443	299	384	364
IAPP	0	0	0	3	0	0
IARS	4793	4725	6597	5190	4320	3915
IARS2	3471	3439	4135	3420	3055	2992
IBA57	315	294	413	293	313	345
IBA57-AS1	0	0	0	0	0	0
IBSP	2	0	0	0	0	0
IBTK	1748	1837	1647	1250	1171	1116
ICA1	3	3	1	6	2	2
ICA1L	89	114	82	70	80	72
ICAM1	3272	3392	4430	3446	1484	1346
ICAM2	0	4.87	0	1	0	0
ICAM3	274	238	320	206	222	188
ICAM4	10	12	8	9	4	9
ICAM5	193	232	225	150	172	150
ICE1	1863	1790	2466	1983	1972	2061
ICE2	1214	1233	1372	1135	1161	1061
ICK	514	559	599	533	567	501
ICMT	4652	4433	4468	3485	3131	3130
ICOS	0	0	0	0	0	0
ICOSLG	101	50	187	105	83	78
ICT1	752	687	949	691	619	635
ID1	871	995	705	509	886	805
ID2	456	420	391	278	462	410
ID2-AS1	4	2	14	8	14	10
ID3	2055	1916	1196	775	1384	1480
ID4	68	29	27	17	39	34
IDE	795	767	747	580	635	569
IDH1	449	445	395	293	301	314
IDH1-AS1	0	0	6	1	1	2
IDH2	1053	1311	1522	1134	1109	1123
IDH3A	1072	977	1114	882	794	784
IDH3B	3182	3004	3899	3103	2991	2971
IDH3G	686	632	837	639	552	495
IDI1	837.94	741.9	854	693.95	530.95	518
IDI2	51	70	56	33	28	43
IDI2-AS1	10.06	15.1	16	15.05	5.05	10
IDNK	51	25	38	40	18	35
IDO1	0	0	0	0	0	0
IDO2	0	0	0	0	0	0
IDS	1938	1810	2418	1890	1532	1364
IDUA	199	154	197	140	139	162
IER2	2827	2548	8700	6839	5944	4736
IER3	1632	1637	2068	1634	1160	1076
IER3IP1	590	665	646	581	481	448
IER5	1190	1305	2404	1664	1139	992
IER5L	148	153	356	243	435	397
IFFO1	529	539	544	408	392	395
IFFO2	535	473	492	386	388	372
IFI16	929	917	881	698	504	505
IFI27	11	7	16	12	4	4
IFI27L1	21	18	15	10	7	5
IFI27L2	312	351	427	344	290	302
IFI30	191	203	234	151	79	75
IFI35	323	335	391	210	191	220
IFI44	65	41	37	23	4	19
IFI44L	3	2	8	2	0	4
IFI6	719	572	1150	652	269	379
IFIH1	150	166	99	59	35	37
IFIT1	217	183	81	73	47	64
IFIT1B	0	0	0	0	0	0
IFIT2	117	155	90	65	62	73
IFIT3	315	215	110	80	62	58
IFIT5	395	368	328	277	253	223
IFITM1	101	59	102	77	33	60
IFITM10	16	16	21	23	23	12
IFITM2	1004.17	1016.77	1527.6	1008.32	939.11	936.31
IFITM3	1811.83	1518.23	2292.4	1662.68	1240.89	1247.69
IFITM4P	0	0	0	0	0	0
IFITM5	0	0	0	0	0	0
IFNA1	0	0	0	0	0	0
IFNA10	0	0	0	0	0	0
IFNA13	0	0	1	0	0	0
IFNA14	0	0	0	0	0	0
IFNA16	0	0	0	0	0	0
IFNA17	0	0	0	0	0	0
IFNA2	0	0	0	0	0	0
IFNA21	0	0	0	0	0	0
IFNA22P	0	0	0	0	0	0
IFNA4	0	0	0	0	0	0
IFNA5	0	0	0	0	0	0
IFNA6	0	0	0	0	0	0
IFNA7	0	0	0	0	0	0
IFNA8	0	0	0	0	0	0
IFNAR1	1458	1385	1858	1505	1242	1164
IFNAR2	490	497	495	341	338	323
IFNB1	0	0	0	0	0	0
IFNE	56	43	83	85	31	24
IFNG	0	0	0	0	0	0
IFNG-AS1	0	0	0	0	0	0
IFNGR1	703	779	980	757	630	621
IFNGR2	590	618	686	571	539	558
IFNK	0	0	0	0	0	0
IFNL1	0	0	0	0	0	0
IFNL2	0	0	0	0	0	0
IFNL3	0	0	0	0	0	0
IFNL4	0	0	0	0	0	0
IFNLR1	23	10	11	7	3	9
IFNW1	0	0	0	0	0	0
IFRD1	1639	1681	1476	1212	1032	997
IFRD2	1011.86	1034.79	1018.72	787.77	829.51	850.67
IFT122	410	404	439.94	404	420	350
IFT140	347	310	280	263	308	295
IFT172	652	651	570	407	497	470
IFT20	248.18	224.62	271.13	238.37	185.93	190.07
IFT22	584	599	712	541	456	487
IFT27	234	174	307	229	252	205
IFT43	241	248	398	294	272	243
IFT46	629	636	664	509	413	383
IFT52	828	877	889	628	686	594
IFT57	730	765	932	706	695	712
IFT74	604	693	633	501	566	558
IFT74-AS1	0	0	0	0	0	0
IFT80	1020.41	1016.41	929.14	723	709	668
IFT81	530	646	488	315	433	348
IFT88	149	170	190	138	162	139
IGBP1	816	746	993	819	604	616
IGBP1P1	0	1	0	0	0	1
IGDCC3	0	0	0	0	0	0
IGDCC4	2	4	9	3	4	1
IGF1	0	0	0	0	0	0
IGF1R	1363.64	1331.89	1487.35	1258.97	1474.04	1445.74
IGF2	1944	1884	2276	1691	2196	1907
IGF2-AS	16	0	2	4	4	4
