"Cont_1"	"Cont_2"	"SFN_1"	"SFN_2"
"BSDC1"	33.66	33.02	37.76	36.3
"BSG"	1185.18	1321.71	1378.4	1379.17
"BSN"	0.13	0.14	0.14	0.16
"BSN-AS2"	0	0	0.03	0.04
"BSND"	0	0	0	0
"BSPH1"	0	0	0	0
"BSPRY"	0	0	0	0
"BST1"	0.69	1.03	2.68	3.27
"BST2"	175.77	139.44	215.1	189.99
"BSX"	0	0	0	0
"BTAF1"	24.23	26.19	18.78	21.87
"BTBD1"	67.98	74.07	62.01	65.2
"BTBD10"	41.97	41.55	47.47	48.6
"BTBD11"	1.35	0.87	0.4	0.43
"BTBD16"	0	0	0	0
"BTBD17"	0	0	0	0
"BTBD18"	0.15	0.13	0.21	0.3
"BTBD19"	9.59	6.7	4.66	4.32
"BTBD2"	54.76	59.61	54.96	53.73
"BTBD3"	40.2	44.43	34.74	36.7
"BTBD6"	21.81	23.39	22.56	19.6
"BTBD7"	12.14	11.43	9.75	9.53
"BTBD8"	0.07	0.68	0.62	0.36
"BTBD9"	3.15	3.16	1.96	1.92
"BTC"	0.32	0.08	0.19	0.24
"BTD"	18.68	20.15	20.71	24.91
"BTF3"	1024.19	1002.02	929.85	934.35
"BTF3L4"	24.08	25.06	22.37	22.16
"BTF3P11"	0	0	0	0
"BTG1"	15.96	18.18	17.51	17.7
"BTG2"	12.67	13.61	9.1	9.01
"BTG3"	51.16	59.88	36.88	32.73
"BTG4"	0	0	0.18	0.12
"BTK"	0	0	0	0
"BTLA"	0.18	0.03	0.07	0.21
"BTN1A1"	0	0.03	0.03	0.06
"BTN2A1"	26.76	28.02	39.58	41.39
"BTN2A2"	14.25	13.72	7.88	8.61
"BTN2A3P"	2.9	3.28	1.73	2.88
"BTN3A1"	5.46	5.46	2.35	2.15
"BTN3A2"	5.66	4.49	2.4	2.87
"BTN3A3"	5.9	5.75	2.78	2.44
"BTNL10"	0	0	0	0
"BTNL2"	0	0	0	0
"BTNL3"	0	0	0	0
"BTNL8"	0	0.07	0	0
"BTNL9"	0	0	0	0
"BTRC"	11.09	10.26	9.86	9.13
"BUB1"	65.79	64.53	59.94	61.36
"BUB1B"	66.79	68.51	57.24	58.53
"BUB3"	291.21	288.18	217.92	236.08
"BUD13"	12.34	14.13	12.34	12.31
"BUD31"	138.67	158.69	163.79	151.43
"BVES"	5.77	6.18	5.58	5.13
"BVES-AS1"	0.46	0.31	0.27	0.12
"BYSL"	51.37	50.55	50.58	47.41
"BZRAP1"	0	0	0	0
"BZRAP1-AS1"	0.04	0	0.2	0.04
"BZW1"	279.07	284.63	343.49	326.06
"BZW2"	104.7	107.29	111.59	105.8
"C10orf10"	3.69	4.55	3.39	3.25
"C10orf105"	0	0	0	0
"C10orf107"	0.09	0	0.07	0
"C10orf11"	0	0	0	0
"C10orf111"	0.87	0.49	0.55	0.75
"C10orf113"	0	0	0	0
"C10orf12"	5.19	5.66	5.36	6.28
"C10orf120"	0	0	0	0
"C10orf126"	0	0	0	0
"C10orf128"	0	0	0	0
"C10orf131"	0.37	0.1	0.07	0
"C10orf142"	0	0.11	0	0
"C10orf2"	26.49	26.72	24.97	28.76
"C10orf25"	3.36	3.8	3.81	2.91
"C10orf32"	9.17	11.85	10.12	9.01
"C10orf32-ASMT"	0.03	1.1	0	0
"C10orf35"	7.86	8.91	5.11	5.11
"C10orf53"	0	0	0	0
"C10orf54"	2.92	3.26	1.8	1.09
"C10orf55"	0.62	0.99	0.78	0.33
"C10orf62"	0	0	0	0
"C10orf67"	0.72	0.83	0.46	0.49
"C10orf71"	0	0	0.01	0
"C10orf71-AS1"	0	0	0	0
"C10orf76"	16.24	16.19	13.56	13.64
"C10orf82"	0	0	0	0
"C10orf88"	14.01	13.85	16	14.73
"C10orf90"	0	0.09	0.05	0.03
"C10orf91"	1.1	0	0	0.19
"C10orf95"	0.42	0.67	0.83	1.05
"C10orf99"	0	0	0	0
"C11orf1"	15.48	19.33	16.4	18.42
"C11orf16"	0.2	0	0	0
"C11orf21"	0	0	0	0
"C11orf24"	52.33	58.77	69.65	69.23
"C11orf30"	9.09	10.04	6.93	7.9
"C11orf31"	69.09	76.67	77.04	73.01
"C11orf39"	0	0	0	0
"C11orf40"	0	0	0	0
"C11orf42"	0.1	0.1	0.38	0.1
"C11orf44"	0.03	0.08	0	0
"C11orf45"	0.3	0.39	0.2	0.27
"C11orf49"	21.96	26.46	20.7	17.99
"C11orf52"	0	0	0	0
"C11orf53"	0	0	0	0
"C11orf54"	11.95	9.5	7.14	7.77
"C11orf57"	22.32	24.36	20.85	21.21
"C11orf58"	94.5	94.32	82.8	87.39
"C11orf63"	1.62	2.22	2.12	1.56
"C11orf65"	0.33	0.94	0.44	0.34
"C11orf68"	93.15	95.93	82.77	77.99
"C11orf70"	1.78	0.96	0.37	0.78
"C11orf71"	7.88	5.21	3.97	5.89
"C11orf72"	0.12	0	0.21	0.19
"C11orf73"	54.16	58.71	64.3	61.62
"C11orf74"	34.33	26.76	32.46	33.7
"C11orf80"	8.37	9.97	9.23	8.91
"C11orf84"	33.7	35.48	52.2	55.27
"C11orf85"	0	0	0	0
"C11orf86"	0	0	0	0
"C11orf87"	0	0	0	0
"C11orf88"	0	0	0	0.2
"C11orf91"	0.4	0.86	0.65	0.83
"C11orf94"	0	0	0	0
"C11orf95"	11.62	9.87	10.17	10.08
"C11orf96"	0	0	0	0
"C11orf97"	0	0	0	0
"C11orf98"	228.88	229.82	176.54	173.3
"C12orf10"	71.04	78.2	71.01	69.59
"C12orf29"	21	26.38	15.82	15.11
"C12orf4"	20.44	20.02	21.02	20.99
"C12orf40"	0	0	0	0
"C12orf42"	0	0	0	0
"C12orf43"	19	19.98	17.53	17.78
"C12orf45"	64.29	60.05	41.39	45.7
"C12orf49"	23.06	22.19	24.11	24.31
"C12orf50"	0	0	0	0.06
"C12orf54"	0	0	0	0
"C12orf56"	0	0	0	0
"C12orf57"	125.42	157.08	145.66	141.51
"C12orf60"	7.89	5.13	4.95	4.19
"C12orf65"	27.07	21.37	23.88	23.33
"C12orf66"	3.07	3.66	2.91	2.68
"C12orf71"	0	0	0	0
"C12orf73"	5.47	5.12	4.11	3.3
"C12orf74"	0	0	0	0
"C12orf75"	345.72	365.31	325.75	329.98
"C12orf76"	5.19	3.54	1.64	1.89
"C12orf77"	0	0	0	0
"C12orf79"	0.09	0.1	0.14	0
"C12orf80"	0.25	0	0	0
"C14orf1"	50.52	48.56	50.92	49.57
"C14orf105"	2.53	2.63	1.67	1.2
"C14orf119"	61.73	62.21	52.56	52.42
"C14orf132"	7.64	7.14	3.45	3.67
"C14orf142"	12	16.51	9.7	10.44
"C14orf159"	2.51	1.42	1.25	0.85
"C14orf166"	424.62	424.9	389.92	381.23
"C14orf169"	18.76	20.4	18.58	18.44
"C14orf177"	0	0	0	0
"C14orf178"	0	0.26	0	0
"C14orf180"	0	0	0	0
"C14orf2"	122.78	107.31	102.65	103.93
"C14orf28"	3.26	3.08	3.8	3.48
"C14orf37"	0.21	0.16	0.16	0.32
"C14orf39"	0	0	0	0
"C14orf79"	5.89	6.3	4.85	6.49
"C14orf80"	22.86	19.51	19.29	16.38
"C14orf93"	6.32	5.47	4.52	4.83
"C15orf26"	0	0	0	0
"C15orf27"	0.24	0.21	0.12	0.04
"C15orf32"	0	0	0.05	0
"C15orf38-AP3S2"	0.85	1.29	1.6	1.4
"C15orf39"	9.12	8.37	6.26	6.14
"C15orf40"	15.69	15.57	10.79	11.24
"C15orf41"	14.79	14.01	13.41	9.93
"C15orf43"	0	0	0	0
"C15orf48"	1.5	1.12	0.73	1.17
"C15orf52"	66.01	62.58	40.99	45.95
"C15orf53"	0	0	0	0
"C15orf54"	0.71	1	0.31	0.2
"C15orf56"	0	0	0	0
"C15orf57"	25.57	24.13	21.29	20
"C15orf59"	0	0	0	0.08
"C15orf59-AS1"	0	0	0	0
"C15orf61"	7.7	5.57	4.86	3.55
"C15orf62"	2.1	1.47	2.19	2.54
"C15orf65"	4.8	2.84	4.54	2.77
"C16orf13"	175.29	134.65	166.93	149.63
"C16orf45"	12.94	11.74	9.76	10.29
"C16orf46"	2.65	3.04	2.11	3.38
"C16orf47"	0	0	0	0
"C16orf52"	10.16	9.12	8.81	10.11
"C16orf54"	0	0	0	0
"C16orf58"	17.89	17.75	19.31	19.82
"C16orf59"	12.4	13.94	7.32	5.56
"C16orf62"	18.5	22.5	19.41	19.29
"C16orf70"	17.18	20.25	16.9	16.71
"C16orf71"	0.68	0.58	1.01	0.64
"C16orf72"	37.41	39.69	66.8	64.07
"C16orf74"	14.91	15.72	9.22	10.15
"C16orf78"	0	0	0	0
"C16orf82"	0	0	0	0
"C16orf86"	0.25	0.98	0.13	0.17
"C16orf87"	19.63	21.07	18.54	20.11
"C16orf89"	0	0.05	0	0
"C16orf90"	0.94	0	0	0
"C16orf91"	33.14	28.76	25.31	16.85
"C16orf92"	0	0	0	0
"C16orf93"	1.52	0.78	1.73	2.1
"C16orf95"	4.17	4.53	3.99	3.41
"C16orf96"	0	0	0.02	0.03
"C16orf97"	0	0	0	0
"C17orf100"	3.32	1.52	1.43	1.17
"C17orf102"	0	0	0.02	0
"C17orf104"	3.11	4.29	2.05	2.08
"C17orf105"	0.31	0	0	0
"C17orf107"	1.33	0.88	0.55	0.73
"C17orf112"	0	0	0	0
"C17orf47"	0	0	0	0.04
"C17orf49"	29.19	39.94	42.63	38.12
"C17orf50"	0	0	0	0
"C17orf51"	10.24	11	9.27	8.76
"C17orf53"	9.99	10.2	8.16	8.06
"C17orf58"	8.1	9.88	5.1	6.96
"C17orf59"	7.53	9.01	9.31	7
"C17orf62"	62.08	69.01	57.16	53.47
"C17orf64"	0	0	0	0
"C17orf67"	1.68	0.71	0.86	0.86
"C17orf74"	0.24	0	0.29	0.36
"C17orf75"	7.32	9.23	5.89	6.11
"C17orf77"	0	0	0	0
"C17orf78"	0.11	0.06	0.08	0
"C17orf80"	35.84	41.56	35.59	35.81
"C17orf82"	1.4	0.57	0.63	0.6
"C17orf85"	18.52	18.12	17.29	20.47
"C17orf89"	316.75	326.54	388.96	346.11
"C17orf96"	3.4	2.27	2.25	2.62
"C17orf97"	4.11	3.62	2.8	2.87
"C17orf98"	0	0	0	0
"C17orf99"	0	0	0	0
"C18orf21"	34.95	38.19	37.7	33.87
"C18orf25"	11.31	11	11.25	11.25
"C18orf32"	17.2	14.35	14.75	12.7
"C18orf42"	0	0	0	0.04
"C18orf54"	7.42	7.23	6.2	6.24
"C18orf61"	0	0	0	0
"C18orf63"	0	0	0	0
"C18orf65"	0.23	0	0	0.18
"C18orf8"	24.26	26.02	26.22	25.17
"C19orf12"	7.97	9.4	8.06	8.84
"C19orf18"	0	0	0.32	0.13
"C19orf24"	128.2	134.12	144.11	149.97
"C19orf25"	41.6	44.54	41	38.43
"C19orf26"	6.65	5.66	6.42	6.35
"C19orf33"	579.49	486.55	489.21	497.92
"C19orf35"	0.22	0.12	0.11	0.18
"C19orf38"	0.62	0.22	0.66	0.94
"C19orf43"	657.86	638.6	635.64	672.52
"C19orf44"	11.28	9.21	6.79	7.42
"C19orf45"	0.06	0	0.14	0
"C19orf47"	26.91	29.75	30.16	28.13
"C19orf48"	127.7	134.37	141.72	133.73
"C19orf52"	32.08	40.39	33.69	33.44
"C19orf53"	320.02	287.79	325.45	328.72
"C19orf54"	5.94	6.3	6.6	5.59
"C19orf57"	2.56	3.66	1.66	1.93
"C19orf60"	41.35	48.18	36.98	39.56
"C19orf66"	23.55	22.21	13.25	12.39
"C19orf67"	0	0	0.06	0
"C19orf68"	11.26	10.2	10.81	10.91
"C19orf70"	153.29	148.99	155.65	172.37
"C19orf71"	4.3	1.15	0.54	0.45
"C19orf73"	1.45	2.51	0.45	1.13
"C19orf80"	0	0	0	0
"C19orf81"	0	0.18	0	0
"C19orf84"	0	0	0	0
"C1D"	48.38	52.85	46.63	42.68
"C1GALT1"	17.52	18.94	17.41	18.77
"C1GALT1C1"	33.9	33.41	27.89	30.33
"C1GALT1C1L"	2.06	1.69	1.86	1.99
"C1QA"	0	0	0	0
"C1QB"	0	0	0	0
"C1QBP"	472.74	501.29	423.63	408.48
"C1QC"	0	0	0	0
"C1QL1"	3	3.11	1.18	1.57
"C1QL2"	0.05	0	0	0
"C1QL3"	0.71	0.52	0.12	0.15
"C1QL4"	4.42	4.2	2.43	1.95
"C1QTNF1"	0.65	0.55	0.5	0.34
"C1QTNF1-AS1"	0	0	0.21	0
"C1QTNF2"	0.35	0.04	0.03	0.04
"C1QTNF3"	0.3	0.69	0.1	0.44
"C1QTNF3-AMACR"	0	0	0	0
"C1QTNF4"	0.22	0	0	0.07
"C1QTNF5"	1.77	0.57	0.24	0.6
"C1QTNF6"	5.82	3.87	1.84	2.42
"C1QTNF7"	0	0	0	0
"C1QTNF8"	0.05	0	0.02	0.05
"C1QTNF9"	0	0	0	0
"C1QTNF9B"	0	0	0.09	0
"C1QTNF9B-AS1"	3.52	1.7	1.54	2.65
"C1R"	0.17	0.67	0.91	0.46
"C1RL"	8.54	7.16	3.72	6.18
"C1RL-AS1"	4.43	4.33	2.13	3.18
"C1S"	0.37	0.47	0.75	0.68
"C1orf100"	0	0	0	0
"C1orf101"	0.12	0.16	0.3	0.27
"C1orf105"	0	0	0	0
"C1orf106"	0.64	0.96	0.1	0.13
"C1orf109"	25.78	27.94	25.01	29.19
"C1orf110"	0.85	2.98	0.72	0.59
"C1orf111"	0	0	0	0
"C1orf112"	14.02	13.34	11.55	11.32
"C1orf115"	2.1	1.67	0.89	0.76
"C1orf116"	0.1	0.05	0.15	0.16
"C1orf122"	84.01	72.7	88.06	89.42
"C1orf123"	64.25	71.29	60.89	59.49
"C1orf127"	0	0	0	0
"C1orf131"	11.24	10.4	10.44	9.91
"C1orf137"	0	0	0	0
"C1orf140"	0.04	0.02	0	0
"C1orf141"	0	0	0	0
"C1orf145"	0.19	0.2	0.1	0.03
"C1orf146"	0	0	0	0
"C1orf158"	0	0	0.09	0
"C1orf159"	15.9	14.39	13.69	11.74
"C1orf162"	0.51	0.66	0.6	1.9
"C1orf167"	0	0	0.01	0
"C1orf168"	0.03	0	0	0
"C1orf174"	28.2	26.36	25.2	27.67
"C1orf177"	0	0	0	0
"C1orf185"	0	0	0	0
"C1orf186"	0	0	0	0
"C1orf189"	0	0	0	0.41
"C1orf194"	0	0	0	0
"C1orf195"	0	0	0	0
"C1orf198"	20.47	22.23	26.78	29.37
"C1orf204"	0.62	0.73	0.67	0.25
"C1orf21"	3.16	3.18	1.59	1.31
"C1orf210"	0	0	0	0
"C1orf216"	25.11	24.29	18.42	16.14
"C1orf220"	0.69	1	0.34	0.14
"C1orf226"	1.1	0.99	0.71	0.34
"C1orf228"	0.24	0.06	0.28	0.12
"C1orf229"	0.13	0	0.1	0.08
"C1orf233"	0.14	0.05	0.14	0
"C1orf234"	0	0	0	0
"C1orf27"	20.3	20.72	15.69	16.69
"C1orf35"	31.56	40.3	38.54	35.93
"C1orf43"	122.5	114.69	149.26	150.15
"C1orf50"	13.12	13.65	10.62	9.65
"C1orf52"	12.35	13.4	13.61	14.44
"C1orf53"	10.43	16.69	10.45	8.34
"C1orf54"	0	1.22	0.77	1.25
"C1orf56"	2.34	2.73	2.41	2.02
"C1orf61"	0	0	0	0
"C1orf64"	0	0	0	0
"C1orf68"	0	0	0	0
"C1orf74"	6.43	5.64	3.69	4.74
"C1orf87"	0	0.1	0	0
"C1orf94"	0	0	0	0
"C1orf95"	0	0	0	0
"C2"	0.51	0.59	0.68	0.63
"C2-AS1"	0	0	0	0
"C20orf141"	0	0.4	0	0.27
"C20orf144"	0	0	0	1.26
"C20orf166-AS1"	0	0	0	0
"C20orf173"	0	0	0	0
"C20orf194"	10.14	9.32	9.82	10.31
"C20orf195"	1.41	1.6	1.04	0.92
"C20orf196"	4.41	9.67	5.65	5.07
"C20orf197"	0.94	0.26	0.7	0.29
"C20orf202"	0	0	0	0
"C20orf203"	0.02	0.06	0	0
"C20orf24"	257.87	265.42	259.66	252.77
"C20orf27"	192.41	206.96	178.85	168.88
"C20orf62"	0	0	0	0
"C20orf78"	0	0	0	0
"C20orf85"	0	0	0	0
"C20orf96"	9.17	9	6.47	6.73
"C21orf140"	0.98	0.65	0.4	0.25
"C21orf2"	9.26	8.2	11.87	12.1
"C21orf33"	62.06	65.52	57.3	55.93
"C21orf58"	4.46	4.41	2.79	3.04
"C21orf59"	116.56	123.33	92.15	99.94
"C21orf62"	0.02	0.07	0.02	0
"C21orf62-AS1"	0	0.48	0	0.28
"C21orf91"	3.18	3.78	2.51	2.29
"C21orf91-OT1"	0	0	0	0
"C22orf15"	0	0.61	0	0
"C22orf23"	8.27	7.66	10.7	11.09
"C22orf24"	0	0.29	0.15	0
"C22orf29"	11.07	11.33	6.99	7.75
"C22orf31"	0	0	0	0
"C22orf34"	0	0	0	0
"C22orf39"	21.38	19.1	11.37	10.38
"C22orf42"	0	0	0	0
"C22orf46"	13.58	13.64	11.87	11.5
"C2CD2"	11.14	10.04	13.07	13.33
"C2CD2L"	11.5	11.37	11.69	11.75
"C2CD3"	9.72	10.12	7.84	8.31
"C2CD4A"	0	0.03	0.02	0
"C2CD4B"	0	0	0	0
"C2CD4C"	0.96	0.8	0.43	0.4
"C2CD4D"	0	0	0	0
"C2CD5"	24.32	24.39	16.49	17.76
"C2orf15"	0.96	0.63	0.12	0.59
"C2orf16"	1.47	1.17	1.2	1.08
"C2orf27A"	0.8	0.19	0.35	1.17
"C2orf27B"	0	0	0	0
"C2orf40"	0	0	0	0
"C2orf42"	4.51	5.1	6.88	6.54
"C2orf44"	11.11	12.59	12.65	12.54
"C2orf47"	27.51	25.39	22.73	24.13
"C2orf48"	0.15	0.22	0.08	0.15
"C2orf49"	15.17	15.47	9.66	10.96
"C2orf50"	0	0	0.17	0
"C2orf54"	0	0	0	0.07
"C2orf57"	0.37	0	0	0
"C2orf61"	0.4	0.57	0.07	0.22
"C2orf66"	0.29	0.27	0.52	0.79
"C2orf68"	7.47	8	3.47	3.53
"C2orf69"	17.76	16.13	11.28	11.87
"C2orf70"	0	0	0	0.42
"C2orf71"	0.01	0	0.03	0.02
"C2orf72"	0	0	0	0
"C2orf73"	0	0.11	0	0
"C2orf74"	34.4	29.79	29.51	29.66
"C2orf76"	3.87	3.71	4.52	3.82
"C2orf78"	0	0	0	0
"C2orf80"	0	0	0	0
"C2orf81"	2.39	2.67	2.46	1.7
"C2orf82"	3.69	0	2.58	2.12
"C2orf83"	0	0	0.04	0
"C2orf88"	0.63	0.77	0.27	0.48
"C2orf91"	0	0	0	0
"C3"	9.25	9.09	9.84	9.99
"C3AR1"	0.69	0.58	0.19	0.4
"C3P1"	0	0	0	0
"C3orf14"	18.3	11.22	6.98	7.61
"C3orf17"	15.59	15.51	13.83	12.95
"C3orf18"	3.05	3.56	2.91	2.47
"C3orf20"	0.03	0.07	0.02	0
"C3orf22"	0	0	0	0
"C3orf30"	0	0	0	0
"C3orf33"	2.8	3.25	3.93	2.71
"C3orf35"	0.3	0.32	0.47	0.16
"C3orf36"	0	0	0	0
"C3orf38"	14.59	13.07	11.26	11.99
"C3orf49"	0	0	0	0
"C3orf52"	13.93	13.55	15.38	17.03
"C3orf56"	0	0	0	0
"C3orf58"	2.48	2.42	1.37	1.35
"C3orf62"	0.85	1.25	1.94	1.66
"C3orf67"	1.35	1.12	1.39	0.94
"C3orf67-AS1"	0	0	0	0
"C3orf70"	0	0	0	0.04
"C3orf79"	0	0	0	0
"C3orf80"	0.07	0.34	0.03	0.04
"C3orf84"	0	0	0	0
"C4A"	0.38	0.28	0.66	0.54
"C4B"	0.43	0.27	0.26	0.28
"C4BPA"	0	0	0	0
"C4BPB"	2.28	2.04	1.06	1.59
"C4B_2"	0.43	0.27	0.26	0.28
"C4orf17"	0	0	0	0
"C4orf19"	0.52	0.58	0.08	0.3
"C4orf22"	1.09	1.01	0.33	1.12
"C4orf26"	1.92	1.27	0.53	1.18
"C4orf27"	48.61	53.72	33.24	37.41
"C4orf29"	3.88	4.11	2.85	3.08
"C4orf3"	45.97	47.81	40.24	43.82
"C4orf32"	5.43	6.98	3.98	5.05
"C4orf33"	7.7	7.79	5.57	7.46
"C4orf36"	0.27	1.27	0.32	0.27
"C4orf45"	0	0	0	0
"C4orf46"	38.09	43.15	26.13	26.05
"C4orf47"	0.12	0.38	0.58	0.25
"C4orf48"	446.09	446.43	600.39	440.26
"C4orf51"	0	0	0	0
"C5"	0.77	0.85	1.09	1.02
"C5AR1"	0.04	0.04	0.22	0.2
"C5AR2"	0	0	0	0
"C5orf15"	87.13	87.26	74.26	75.35
"C5orf17"	0	0	0	0
"C5orf22"	16.78	20.92	17.48	16.47
"C5orf24"	48.68	52.57	27.19	28.59
"C5orf28"	12.95	12.98	11.43	13.7
"C5orf30"	32.26	35.21	50.16	50.29
"C5orf34"	10.1	11.99	7.97	8.08
"C5orf38"	0	0	0	0
"C5orf42"	7.39	8.41	4.28	4.83
"C5orf45"	10.37	5.2	3.98	4.17
"C5orf46"	1.29	1.39	1.42	1.77
"C5orf47"	0	0.04	0	0
"C5orf49"	0	0	0	0
"C5orf51"	19.71	22.35	24.27	26.19
"C5orf52"	0	0	0	0
"C5orf56"	1.12	3.23	0.65	1.32
"C5orf58"	0	0	0	0
"C5orf60"	0	0	0	0
"C5orf63"	0	0	0	0
"C5orf64"	0	0	0	0
"C5orf66"	4.55	4.13	4.65	4.32
"C5orf66-AS1"	0	0	0	0
"C5orf66-AS2"	0	0	0	0
"C5orf67"	0	0	0	0
"C6"	0	0	0	0.02
"C6orf1"	28.26	34.16	28.78	28.47
"C6orf10"	0	0.1	0	0
"C6orf106"	46.92	52.52	52.75	54.01
"C6orf118"	0.32	0.79	0.17	0.27
"C6orf120"	17.96	18.41	16.42	16.03
"C6orf132"	6.4	6.22	7.32	7.57
"C6orf136"	14.59	15.49	14.7	14.18
"C6orf141"	5.11	4.42	3.09	3.46
"C6orf15"	0	0	0	0
"C6orf163"	1.22	1.81	0.45	1.07
"C6orf165"	1.89	1.18	0.84	0.77
"C6orf201"	3.5	3.55	3.66	3.75
"C6orf203"	14.97	16.92	11.23	13.86
"C6orf222"	0.07	0.1	0.02	0
"C6orf223"	0	0	0.02	0
"C6orf226"	12.75	11	13.58	5.09
"C6orf229"	0	0	0.25	0
"C6orf25"	0	0.09	0.03	0
"C6orf47"	21.19	17.64	17.25	16.94
"C6orf48"	1405.88	1320.92	1300.39	1417.94
"C6orf52"	4.3	2.52	3.88	2.95
"C6orf58"	0	0	0.07	0.27
"C6orf62"	116.26	117.53	120.14	116.41
"C6orf7"	0	0	0	0
"C6orf89"	22.25	20.53	23.01	24.71
"C6orf99"	13.48	18.22	16.39	19.82
"C7"	0.02	0	0.07	0
"C7orf13"	13.93	15.08	12.18	13.19
"C7orf25"	17.76	19.06	16.77	15.79
"C7orf26"	16.46	19.72	16.42	17.42
"C7orf31"	0.85	1.45	0.56	0.86
"C7orf33"	0	0	0	0
"C7orf34"	0	0	0	0
"C7orf43"	11.24	9.86	10.72	9.56
"C7orf49"	46.71	46.72	44.05	40.22
"C7orf50"	100.14	96.2	104.97	102.91
"C7orf55"	12.19	11.55	11.21	11.74
"C7orf55-LUC7L2"	0	0	0	0
"C7orf57"	1.27	0.76	0.55	0.27
"C7orf60"	7.34	7.13	7.76	7.36
"C7orf61"	0.69	0	0.09	0.47
"C7orf62"	0	0	0	0
"C7orf65"	0	0.07	0.1	0
"C7orf66"	0	0	0	0
"C7orf69"	2.25	2.34	0.55	0
"C7orf71"	0	0	0	0
"C7orf72"	0	0	0	0
"C7orf73"	36.8	36.78	34.42	35.9
"C7orf76"	0	0	0	0
"C7orf77"	0	0	0	0
"C8A"	0	0	0	0
"C8B"	0	0	0.03	0
"C8G"	0	0	0	0
"C8orf22"	0	0	0	0
"C8orf31"	0.25	0.43	0.2	0.05
"C8orf33"	56.31	54.37	61	61.47
"C8orf34"	0.07	0	0.03	0
"C8orf34-AS1"	0	0	0	0
"C8orf37"	1.53	1.34	0.83	0.61
"C8orf37-AS1"	0	0	0	0
"C8orf4"	4.95	3.9	1.17	1.12
"C8orf44"	1.5	1.65	0.69	1.06
"C8orf44-SGK3"	0.17	0	0.51	0.65
"C8orf46"	0.94	0.88	0.18	0.23
"C8orf48"	12.78	13.41	7.99	6.88
"C8orf49"	0	0	0	0
"C8orf58"	22.9	23.32	22.96	20.86
"C8orf59"	14.75	15.52	7.22	6.27
"C8orf74"	0	0	0	0
"C8orf76"	35.55	39.04	38.18	44.49
"C8orf82"	35.77	29.66	39.14	37.47
"C8orf86"	0	0	0	0
"C8orf87"	0	0	0	0
"C8orf88"	3.9	7.91	4.36	5.31
"C8orf89"	0	0	0	0
"C9"	0	0	0.08	0.07
"C9orf106"	0	0	0.12	0
"C9orf114"	18.59	18.34	19.17	20.67
"C9orf116"	16.91	15.19	13.76	16.78
"C9orf117"	0	0.12	0.18	0
"C9orf129"	0	0.31	0	0
"C9orf131"	0.26	0.24	0.33	0.34
"C9orf135"	0	0	0	0
"C9orf135-AS1"	0	0	0	0
"C9orf139"	0	0.1	0	0
"C9orf142"	47.22	52.14	45.01	45.88
"C9orf152"	0.52	0.74	0.19	0.38
"C9orf153"	0	0.06	0.08	0
"C9orf156"	13.63	11.04	9.84	7.85
"C9orf16"	74.06	68.46	88.96	88.68
"C9orf163"	1.48	1.39	1.13	0.97
"C9orf170"	0.05	0.11	0.02	0
"C9orf171"	0	0.12	0	0
"C9orf172"	2.54	2.16	2.58	2.23
"C9orf173"	0.22	0.23	0	0
"C9orf173-AS1"	0	0.31	0.09	0
"C9orf24"	0.19	0	0	0
"C9orf3"	7.45	8.88	5.28	5.13
"C9orf40"	29.45	31.6	28.38	28.13
"C9orf41"	7.6	7.6	4.81	5.62
"C9orf41-AS1"	0.16	0	0.04	0
"C9orf43"	0.55	0.58	0.43	0.37
"C9orf47"	1.02	0.99	0.69	0.99
"C9orf50"	0	0	0	0.06
"C9orf57"	0	0	0	0
"C9orf62"	0	0	0	0
"C9orf64"	20.41	19.18	14.2	15.04
"C9orf66"	0	0	0	0
"C9orf69"	30.86	30.9	21.08	19.15
"C9orf72"	5.88	6.93	6.23	5.93
"C9orf78"	64.05	58.76	56.51	57.74
"C9orf84"	0	0	0	0
"C9orf85"	14.73	16.75	11.15	11.83
"C9orf89"	27.91	24.44	31.44	36.42
"C9orf9"	3.25	1.02	1.74	1.4
"C9orf91"	4.27	3.36	4.12	4.24
"C9orf92"	0	0	0	0
"CA1"	0	0	0	0
"CA10"	0	0	0	0
"CA11"	2.73	4.05	2.85	4.24
"CA12"	5.07	4.66	3.13	2.75
"CA13"	0.19	0.1	0.04	0
"CA14"	0.05	0	0	0.05
"CA2"	0	0	0	0
"CA3"	0	0	0	0
"CA3-AS1"	0	0	0	0
"CA4"	0	0	0	0
"CA5A"	0	0	0	0
"CA5B"	1.28	1.53	0.94	0.75
"CA5BP1"	9.94	9.45	7.33	9.51
"CA6"	0	0	0	0
"CA7"	0	0	0	0
"CA8"	0	0	0	0
"CA9"	0.13	0.07	0.05	0.13
"CAAP1"	42.55	44.21	31.9	32.2
"CAB39"	49.58	52.1	51.02	52.51
"CAB39L"	4.35	4.63	7.3	7.37
"CABIN1"	16.31	15.44	13.19	13.8
"CABLES1"	3.28	2.81	1.79	2.2
"CABLES2"	7.83	7.4	6.72	6.95
"CABP1"	0	0	0	0
"CABP2"	0	0	0	0
"CABP4"	0.09	0.02	0.07	0.02
"CABP5"	0	0	0	0
"CABP7"	0.03	0.1	0.25	0.06
"CABS1"	0	0	0	0
"CABYR"	9.14	10.17	6.57	5.87
"CACFD1"	3.99	3.96	3.84	4.6
"CACHD1"	1.96	2.26	1.15	1.29
