	Ctrl_1	Ctrl_2	SFN_1	SFN_2	NRF2KO-Cont_1	NRF2KO-Cont_2	NRF2KO-SFN_1	NRF2KO-SFN_2
ELOVL4	0	0	0	0	0	0	0	0
ELOVL5	90.51	95.6	77.9	84.06	85.05	85.8	86.52	83.4
ELOVL6	12.76	12.83	11.51	11.07	10.11	8.54	7.93	7.32
ELOVL7	1.15	1.16	1.12	0.65	1.06	0.61	0.71	0.91
ELP2	45.26	48.93	38.44	40.87	45.38	47.22	43.43	41.25
ELP3	27.65	26.63	23.06	23.93	25.34	25.85	24.18	25.77
ELP4	10.58	11.64	10.78	9.02	10.96	9.51	10.3	11.17
ELP5	58.02	49.98	40.86	46.5	58.37	59.53	52.47	57.14
ELP6	25.4	20.92	16.45	17.71	24.65	21.1	18.76	16.75
ELSPBP1	0	0	0.09	0	0	0	0	0
EMB	1.62	2.74	2.21	2.28	1.77	2.39	1.81	1.65
EMBP1	0.13	0.27	0.23	0.33	0.27	0.18	0.34	0.24
EMC1	45.65	47.99	43.85	49.61	47.26	46.55	48.56	50.06
EMC10	49.56	55.22	52.15	50.27	49.71	49.05	50.21	54.21
EMC2	73.5	67.9	57.57	62.94	63.04	52.91	52.82	49.22
EMC3	107.52	105.41	118.85	114.02	89.04	93.58	96.75	89.04
EMC3-AS1	12.45	13.13	7.86	7.2	11.14	11.25	7.6	8.03
EMC4	172.7	159.92	168.34	169.6	149.31	139.75	156.59	159.07
EMC6	161.45	168.3	146.99	158.05	152.93	140.88	143.5	143.31
EMC7	168.09	169.26	172.39	182.69	118.86	126.06	129.6	139.45
EMC8	48.03	48.33	45.43	43.69	50.18	51.47	49.1	48.34
EMC9	44.79	48.82	42.27	43.39	51.95	50.94	41	40.45
EMCN	0	0	0	0	0	0	0	0
EMD	100.66	102.28	84.09	87.06	101.7	104.43	89.54	88.82
EME1	14.33	16.81	12.84	12.86	16.65	15.81	14.85	14.72
EME2	5.14	5.25	4.09	6.58	6.93	5.55	2.63	5.41
EMG1	76.15	76.45	76.35	80.13	68.5	69.6	70.74	67.97
EMID1	0.18	0	0	0	0	0	0.05	0
EMILIN1	0.43	0.79	0.63	0.76	1.32	1.55	1.21	1.08
EMILIN2	2.29	2.54	1.79	1.58	2.78	2.23	2.51	2.59
EMILIN3	0.05	0.11	0.04	0	0	0.03	0.03	0
EML1	3.57	4.26	2.13	2.47	3.53	3.53	2.48	3.07
EML2	19.04	19.45	17.31	17.32	15.98	19.98	14.53	15.52
EML2-AS1	0.83	2.52	1.08	1.14	1.37	2.98	1.64	3.28
EML3	22.57	23.68	19.72	18.78	30.97	29.54	22.08	22.7
EML4	26.88	28.93	24.08	26.34	28.7	29.23	28.77	28.33
EML5	0.28	0.43	0.17	0.14	0.3	0.46	0.29	0.21
EML6	0.91	1.15	0.3	0.45	0.88	1.06	0.28	0.42
EMP1	117.02	113.44	145.08	152.58	93.26	84.97	128.08	120.06
EMP2	3.66	3.88	2.61	2.65	4.79	5.01	3.81	3.71
EMP3	287.26	285.62	249.89	236.32	269.51	274.89	286.53	260.41
EMX1	0	0	0	0	0	0.05	0	0
EMX2	0	0	0	0	0	0	0	0
EMX2OS	0	0	0	0	0	0	0	0
EN1	0	0	0	0	0	0	0	0
EN2	0	0	0	0	0	0	0.03	0
ENAH	25.68	26.14	20.46	21.49	28.22	27.91	26.14	27.27
ENAM	0.02	0	0.01	0	0	0	0.02	0
ENC1	42.15	40.21	43.53	47	37.37	34.69	47.12	45.48
ENDOD1	0	0	0	0.02	0	0	0.02	0
ENDOG	19.68	25.98	18.32	16.4	30.92	31.76	28.5	26.74
ENDOU	0.29	0	0	0	0	0	0.05	0
ENDOV	14.99	15.67	16.61	13.89	20.92	16.47	16.87	20.62
ENG	34.57	37.42	29.43	29.86	32.35	35.86	31.24	28.87
ENGASE	11.69	9.63	7.25	7.05	13.12	14.41	7.69	9.13
ENHO	4.81	5.11	2.84	3.71	9.48	7.6	3.43	2.19
ENKD1	13.96	9.12	6.97	7.76	15.98	18.48	8.82	8.84
ENKUR	0	0.16	0.05	0.1	0.04	0.16	0.06	0.16
ENO1	2252.63	2304.1	2362.56	2472.97	2681.4	2763.71	2591.75	2679.91
ENO1-AS1	1.54	0	0	0	0	0	0	0
ENO2	23.52	20.33	14.24	14.05	28.55	27	14.93	14.51
ENO3	3.25	5.24	5.09	4.37	5.33	5.52	4.12	4.02
ENO4	0.22	0.24	0.27	0.22	0.29	0.46	0.33	0.26
ENOPH1	79.77	83.37	64.91	59.83	66.41	70.23	63.43	63.95
ENOSF1	5.05	4.6	2.76	3.03	4.61	4.85	3.03	3.6
ENOX1	0.8	2.07	0.76	0.94	1.03	0.8	0.45	0.32
ENOX1-AS2	0	0	0	0	0	0	0	0
ENOX2	3.62	4.44	5.07	4.95	4.12	5.18	5.03	5.1
ENPEP	0.88	0.76	0.68	0.54	0.5	0.84	0.66	0.55
ENPP1	3.81	3.82	2.96	3.27	3.86	3.34	2.98	3.18
ENPP2	0.2	0.34	0.29	0.19	0.49	0.17	0.21	0.17
ENPP3	0	0.03	0	0.03	0.1	0	0	0
ENPP4	8.39	9.76	5.09	5.45	6.31	6.18	4.96	4.19
ENPP5	0	0	0	0	0	0	0	0
ENPP6	0	0	0	0.02	0	0	0	0
ENPP7	0	0	0	0	0	0	0	0
ENPP7P13	0	0	0	0	0	0	0	0
ENSA	274.57	264.22	230.1	228.4	263.75	258.14	252.88	263.31
ENTHD1	0	0	0	0	0	0	0	0
ENTHD2	15.52	14.39	12.06	13.29	18.51	19.59	16.32	15.68
ENTPD1	4.77	4.35	2.49	2.69	4.42	4.57	3.1	3.55
ENTPD1-AS1	0.1	0	0	0.12	0.17	0	0.07	0.07
ENTPD2	1.04	0.7	0.71	0.32	1.72	1.15	0.77	0.69
ENTPD3	0	0	0	0	0	0	0	0
ENTPD3-AS1	0	0.1	0	0	0	0	0	0
ENTPD4	40.83	41.08	39.31	42.65	37.54	40.83	39.18	42.42
ENTPD5	9.96	8.97	4.84	5.38	10.35	8.03	7.06	5.85
ENTPD6	55.68	58.7	60.16	56.25	66.99	62.89	61.42	60.96
ENTPD7	21.69	23.26	20.24	21.32	19.37	21.64	18.58	18.7
ENTPD8	0	0.1	0	0	0.1	0	0	0.05
ENY2	83.64	80.33	68.5	79.32	77.16	80.07	77.91	82.45
EOGT	6.88	8.11	5.83	6.03	5.75	6.27	6.77	6.53
EOMES	0	0	0	0	0	0	0.04	0.04
EP300	26.47	24.78	25.98	30.41	31.56	30.5	33.75	33.32
EP300-AS1	3.11	1.05	0.72	1.14	2.93	2.99	1.37	1.68
EP400	18.32	20.15	16.2	17.46	23.48	23.98	20.95	21.93
EP400NL	4.16	4.21	2.6	3.31	5.25	6.23	3.44	3.46
EPAS1	28.65	31.41	25.81	30.32	32.12	29.95	31.65	30.59
EPB41	7.41	6.97	5.22	5.71	7.49	8.02	5.63	5.58
EPB41L1	2.05	2	1.32	1.35	1.66	1.87	0.94	1.26
EPB41L2	93.94	98.1	81.78	84.69	89.47	92.05	85.43	88.74
EPB41L3	0	0	0	0	0	0	0	0
EPB41L4A	3.05	3.47	1.68	1.31	2.49	2.38	1.84	1.68
EPB41L4A-AS1	37.3	39.04	28.06	30.69	36.1	35.99	30.74	32.53
EPB41L4A-AS2	0	0	0	0	0	0	0	0
EPB41L4B	1.58	2.17	0.64	0.8	0.65	0.72	0.78	0.49
EPB41L5	9.36	9.22	8.7	8.19	9.43	8.48	7.82	8.77
EPB42	0	0	0	0	0	0	0	0
EPC1	9.59	13.19	10.1	9.07	10.89	9.85	11.23	11.59
EPC2	12.39	10.8	11.06	12.18	12.39	11.66	10.73	12.08
EPCAM	2.43	3.62	3.49	2.2	2.17	2.28	2.61	2.08
EPDR1	0	0	0	0	0	0	0	0
EPG5	15.75	18.12	18.27	19.92	15.94	15.96	18.7	18.16
EPGN	2.18	1.33	3.38	2.75	0.57	0.3	0.27	0.28
EPHA1	0	0.03	0.1	0	0	0	0.03	0.03
EPHA1-AS1	0	0	0	0	0	0	0	0.02
EPHA10	0	0	0.07	0.02	0	0	0.02	0.04
EPHA2	118.12	127.96	201.38	222.16	141.99	151.68	235.68	220.26
EPHA3	0.27	0.4	0.12	0.21	0.85	1.09	0.3	0.4
EPHA4	3.7	5.05	3.19	3.35	4	4.7	4.48	3.93
EPHA5	14.05	14.9	8.9	9.48	17.49	17.63	15.45	14.33
EPHA5-AS1	5.26	2.07	1.77	3	7.57	6.21	5.93	4.35
EPHA6	0.16	0.39	0.13	0.42	0.57	0.26	0.16	0.65
EPHA7	0	0	0	0	0	0	0	0
EPHA8	0	0	0	0	0	0	0	0
EPHB1	1.81	1.72	1.12	0.69	0.96	1.26	0.87	0.5
EPHB2	14.64	14.79	10.57	11.08	21.65	22.86	16.94	18.21
EPHB3	0.04	0.11	0.02	0	0.02	0.1	0.02	0.07
EPHB4	31.5	35.78	28.18	28.32	43.26	44.89	35.19	36.36
EPHB6	0	0	0	0	0	0.03	0	0.03
EPHX1	25.71	24.81	31.8	29.2	22.75	26.18	22.34	24.13
EPHX2	0.09	0	0	0.05	0	0	0.05	0
EPHX3	0.45	0.18	0.04	0.22	0	0.2	0.57	0.52
EPHX4	2.51	3.95	2.2	1.65	1.71	3.33	1.94	1.91
EPM2A	1.82	1.35	1.51	1.47	1.74	1.9	1.29	1.45
EPM2AIP1	6.02	6.19	3.7	3.9	7.23	6.37	5.24	5.68
EPN1	102.65	107.61	124.13	126.49	136.52	136.98	142.26	132.45
EPN2	18.21	17.38	18.57	19.56	17.3	15.94	17	16.29
EPN2-AS1	0.27	0.1	0.22	0.19	0	0.11	0.31	0
EPN2-IT1	0	0.16	0	0.16	0	0	0	0
EPN3	0.11	0.14	0.02	0	0	0.14	0.03	0.03
EPO	0.16	0	0.19	0.08	0	0.19	0.09	0
EPOR	5.69	5.72	4.06	3.95	4.75	6.52	3.17	4.49
EPPIN	0	0	0	0	0	0	0	0
EPPIN-WFDC6	0	0	0	0	0	0	0	0
EPPK1	0.67	1.16	0.39	0.57	1.21	1.14	0.88	0.9
EPRS	94.74	102.41	81.85	85.24	88.79	90.84	85.73	89.09
EPS15	14.77	15.23	13.74	14.48	13.13	14.08	13.55	12.82
EPS15L1	35.36	36.08	35.74	37.13	41.07	41.65	40.23	37.82
EPS8	48	50.93	39.9	42.43	47.29	48.41	41.14	41.07
EPS8L1	3.8	3.16	3.44	3.57	4.95	3.72	3.37	4.02
EPS8L2	113.01	112.58	90.34	87.1	134.82	140.96	100.24	105.42
EPS8L3	0	0	0	0	0	0	0	0.05
EPSTI1	0.17	0.58	0.43	0.09	0.49	0.14	0.07	0
EPT1	16.22	15.26	13.93	14.61	13.18	14.53	12.93	12.88
EPX	0	0	0.03	0	0	0	0	0
EPYC	0	0	0	0	0	0	0	0
EQTN	0	0	0	0	0	0	0	0
ERAL1	60.7	71.22	68.47	68.48	77.67	76.87	72.23	75.05
ERAP1	11.32	12.4	8.84	10.65	10.32	9.99	10.38	9.82
ERAP2	1.6	1.75	0.77	0.64	0.85	1.14	0.43	0.5
ERAS	0	0	0	0	0	0	0	0
ERBB2	22.43	21.68	21.81	23.82	29.87	30.27	26.71	28.57
ERBB2IP	84.56	88.67	71.4	74.83	85.35	86.74	74.9	74.42
ERBB3	5.05	4.19	1.84	1.58	4.7	6.53	2.35	3.18
ERBB4	0.18	0.19	0.07	0.1	0.16	0.26	0.15	0.1
ERC1	28.4	29.63	22.78	25.17	26.17	26.23	24.09	25.68
ERC2	0.01	0.02	0.09	0.04	0.05	0	0	0
ERC2-IT1	0	0	0	0	0	0	0	0
ERCC1	105.56	102.32	132.56	123.42	106.04	103.21	119.64	113.26
ERCC2	114.33	119.64	101.35	107.2	125.52	134.97	106.68	112.01
ERCC3	47.75	50.61	48.46	43.8	44.99	46.94	41.29	42.54
ERCC4	4.86	5.66	4.25	5.52	4.69	4.64	5.05	5.92
ERCC5	27.79	24.65	19.18	23.81	25.24	24.99	21.98	23.35
ERCC6	11.08	11.63	11.22	12.86	10.4	9.33	11.86	10.69
ERCC6-PGBD3	17.05	14.05	9.3	10.37	12.86	12.38	12.07	11.03
ERCC6L	17.36	15.21	11.3	11.16	15.52	15.82	10.59	12.48
ERCC6L2	5.72	6.76	5.44	5.8	7.26	6.73	7.38	7.04
ERCC8	13.58	13.34	12.37	11.73	15.9	14.67	13.46	13.04
EREG	0.38	0.59	0.43	0.6	0.19	0.23	0.11	0.24
ERF	53.09	49.93	55.9	59.43	72.6	82.1	75.98	78.67
ERG	0.02	0	0	0	0	0	0	0
ERGIC1	80.6	87.69	82.55	78.8	93.3	99.46	82.87	80.55
ERGIC2	70.37	65.45	57.45	62.63	50.11	52.34	51.47	52.93
ERGIC3	350.79	345.87	384.63	361.27	360.12	342.31	376.09	362.93
ERH	927.58	845.86	771.32	767.26	818.3	815.66	829.27	833.68
ERI1	42.55	46.26	45.25	44.46	39.99	43.16	42.77	44.13
ERI2	9.03	10.99	10.6	11.97	10.2	8.15	12.88	12.95
ERI3	70.59	76.03	76.87	76.37	85	80.71	83.22	79.19
ERI3-IT1	1.66	2.36	2.22	0.7	0.5	1.83	2.25	2.05
ERICH1	17.96	18.76	18.75	18.14	17.33	17.11	15.89	18.99
ERICH1-AS1	0	0	0	0	0	0	0	0
ERICH2	1.05	0	0.06	0.11	0.09	0.28	0.39	0.56
ERICH3	0	0	0.01	0	0	0.01	0	0
ERICH3-AS1	0	0	0	0	0	0	0	0
ERICH4	0	0	0	0	0	0	0	0
ERICH5	0	0	0	0	0	0	0	0.15
ERICH6	0	0	0	0.06	0.06	0.07	0	0
ERICH6-AS1	0.62	1.32	1.37	0.65	0.7	0.73	0.23	1.19
ERICH6B	0	0	0	0	0	0	0	0
ERLEC1	48.18	48.81	45.04	45.37	38.45	38.71	39.83	39.04
ERLIN1	46.54	49.86	42.46	42.79	46.76	47.18	42.15	44.77
ERLIN2	37.45	39.5	38.57	39.59	36.49	35.31	40.77	40.68
ERMAP	2.35	3.06	3.73	2.93	4.12	4.98	4.49	5.29
ERMARD	8.25	9.61	12.88	12.73	10.42	12.35	13.28	11.75
ERMN	0.98	0.55	0.33	0.22	0.56	0.35	0.27	0.33
ERMP1	1.93	2.67	1.97	1.76	2.86	2.2	1.98	1.45
ERN1	4.03	5.33	7.01	8.73	3.56	4.08	6.89	6.06
ERN2	0	0.14	0	0.08	0	0	0.09	0.03
ERO1A	49.1	52.16	41.44	44.79	48.84	47.76	47.93	47.27
ERO1B	0.85	0.79	1.01	0.74	0.79	0.62	0.9	0.83
ERP27	0.15	0	0	0.08	0	0	0	0
ERP29	124.39	124.43	118.02	117.61	138.48	136.12	126.96	128.1
ERP44	17.22	19.66	19.72	20.54	14.34	14.59	17.73	17.19
ERRFI1	43.52	42.53	129.52	146.31	28.74	24.73	74.77	65.97
ERV3-1	5.8	6.03	3.68	4.4	6.08	6.58	5.2	6.57
ERVFRD-1	0.05	0.09	0.09	0.03	0.19	0.07	0.12	0.16
ERVH48-1	0.12	0.17	0.16	0.12	0.09	0.1	0.33	0.14
ERVK13-1	3.08	3.2	2.45	2.52	3.18	3.39	2.73	2.64
ERVMER34-1	0	0	0	0.03	0.04	0.08	0	0
ERVV-1	0	0	0	0	0	0	0	0
ERVV-2	0	0	0	0	0	0	0	0
ESAM	4.08	5.6	4.3	3.29	7.24	6.75	5.44	4.56
ESCO1	13.33	12.43	11.42	11.54	13.48	11.8	11.61	10.4
ESCO2	27.36	31.82	20.49	22.19	23.44	24.82	19.45	22.03
ESD	198.33	195.43	173.01	168.04	176.42	178.08	181.63	186.04
ESF1	33.14	38.29	26.72	30.36	30.21	30.5	29.24	26.16
ESM1	1.6	1.77	1.94	1.1	0.26	0.73	0.57	0.37
ESPL1	30.53	31.62	22.66	22.25	39.62	41.17	33.42	35.11
ESPN	0.03	0	0.06	0.08	0.09	0.06	0.03	0.06
ESPNL	0	0.13	0.04	0.07	0.03	0.02	0	0.03
ESPNP	0	0	0	0	0	0	0	0
ESR1	0	0	0.01	0	0	0	0.03	0.02
ESR2	0.39	0.69	0.16	0.15	0.32	0.57	0.4	0.57
ESRG	0	0	0.09	0	0	0	0	0
ESRP1	0	0	0.02	0.02	0	0	0.03	0
ESRP2	7.23	5.09	3.57	3.11	7.41	6.72	5.23	4.33
ESRRA	41.48	44.19	37.94	34.55	43.06	45.5	38.12	40.05
ESRRB	0	0	0.02	0.06	0	0	0.07	0
ESRRG	0.06	0.1	0	0	0.04	0.06	0	0.02
ESX1	0	0	0	0	0	0	0	0
ESYT1	86.78	94.3	79.75	79.81	96.62	98.91	80.62	80.63
ESYT2	38.9	42.17	41.26	42.45	39.45	39.89	40.11	41.83
ESYT3	0	0.15	0.03	0.1	0	0.07	0.07	0.02
ETAA1	15.17	17.04	11.63	10.61	15.25	16.26	13.48	16
ETF1	132.07	137.79	132.82	136.19	113.43	114.81	120.79	115.01
ETFA	235.6	243.25	242.43	241.55	243.14	239.93	255.03	260.85
ETFB	97.82	87.87	110.76	117.3	107.54	105.13	106.72	113.34
ETFDH	12.95	14.04	10.89	11.33	11.74	14.19	13.99	12.04
ETHE1	87.57	79.74	80.95	77.45	82.77	75.15	69.63	73.01
ETNK1	40.16	43.07	36.79	42	43.23	42.11	39.78	39.12
ETNK2	11.27	13.85	10.59	9.74	13.61	11.56	10.6	11.16
ETNPPL	0	0	0	0	0	0	0	0
ETS1	85.91	84.18	68.66	75.73	67.91	69.87	67.92	65.76
ETS2	29.4	32.14	28.79	29.64	23.84	24.54	25.48	24.25
ETV1	6.9	6.76	4.25	4.94	5.94	6.24	4.97	3.98
ETV2	0.52	0.24	0.47	0.15	0.59	0.09	0.08	0.43
ETV3	13.89	13.2	15.47	16.39	14.39	17.06	15.75	17.6
ETV3L	0	0	0	0	0	0	0	0
ETV4	15.04	16.81	8.91	11	16.53	16.78	11.51	9.86
ETV5	30.73	31.4	33.54	34.27	30.14	30.73	31.12	29.65
ETV6	6.94	7.35	5.39	5.69	7.53	7.54	5.73	6.73
ETV7	0.9	0.08	0.3	0.5	0.19	0.45	0.16	0.08
EVA1A	29.94	31.97	36.86	33.26	33.13	30.2	38.94	34.42
EVA1B	78.62	83.38	64.42	66.7	87.69	89.23	73.44	73.32
EVA1C	4.28	5.21	3.2	2.25	4.97	5.96	3.51	4.75
EVADR	0	0	0	0	0	0	0	0
EVC	35.42	36.77	32.32	37.98	38.77	39.59	39.55	40.67
EVC2	7.47	8.1	8.88	9.25	7.41	7.8	6.73	7.63
EVI2A	9.45	7.37	7.41	7.46	7.02	7.04	7.41	7.7
EVI2B	6.15	4.62	3.6	2.51	4.23	4.75	3.34	3.94
EVI5	11.62	12.49	7.66	8.99	10.06	10.63	10.06	9.22
EVI5L	23.37	22.26	23.59	23.87	25.37	30.33	23.38	24.11
EVL	6.92	6.43	4.37	4.14	8.21	9.34	4.15	4.64
EVPL	13.55	13.3	10.35	10.23	18.06	17.98	14.16	15.67
EVPLL	0	0	0.11	0	0	0	0	0
EVX1	0	0	0	0	0	0	0	0
EVX1-AS	0	0	0	0	0	0	0	0
EVX2	0	0	0	0	0	0.07	0	0
EWSAT1	0	0	0	0	0.04	0	0	0
EWSR1	191.68	183.1	159.71	152.84	206.94	197.34	190.1	188.8
EXD1	0	0.03	0.02	0.03	0	0	0.07	0
EXD2	13.65	15.05	15.08	15.02	14.94	13.44	15.87	16.62
EXD3	7.64	6.01	5.47	7.36	10.2	12.6	8.02	5.86
EXO1	31.43	32.94	22.12	21.85	26.77	27.26	18.54	19.17
EXO5	11.4	10.17	4.58	5.41	8.87	10.07	6.78	6.78
EXOC1	23.89	24.9	21.57	21.88	20.1	19.79	19.52	19.95
EXOC2	24.7	23.07	19.98	18.58	22.75	24.17	21.27	20.85
EXOC3	15.02	17.79	14.55	13.3	20.35	20.71	15.68	15.55
EXOC3-AS1	1.83	3.98	3.47	4.33	4.7	4.66	3.6	4.07
EXOC3L1	0	0.08	0.03	0	0	0.04	0	0.04
EXOC3L2	0	0	0.05	0	0	0.07	0.07	0.07
EXOC3L4	0	0	0	0	0	0	0	0.08
EXOC4	23.69	25.3	25.81	24.02	26.61	28.1	25.47	26.85
EXOC5	28.86	30.54	27.62	31.81	28.76	29.64	31.03	30.6
EXOC6	9.94	11.39	8.52	9.63	8.07	8.47	8.7	8.92
EXOC6B	8.61	10.8	6.56	8.4	8.68	8.62	6.53	7.63
EXOC7	78.05	76.03	87.41	88.95	90.39	90.29	96.37	95.71
EXOC8	9.43	8.34	8.33	9.81	9.22	9.04	10.19	10.51
EXOG	4.1	3.83	3.88	3.44	5.06	4.22	3.04	3.57
EXOSC1	48.4	48.37	41.37	40.84	39.24	37.25	34.26	38.19
EXOSC10	65.55	76.88	54.41	57.65	68.22	73.18	61.81	61.86
EXOSC2	48.39	45.62	32.83	31.48	47.62	46.21	36.36	37.85
EXOSC3	83.79	86.46	76.28	76.97	81.64	83.17	74.44	80.91
EXOSC4	109.04	114.59	114.72	126.39	115.87	128.15	125.31	125.2
EXOSC5	64.3	69.37	58.91	54.69	68.11	65.56	61.9	63.39
EXOSC6	25.36	32.24	25.45	23.65	37.75	35.81	44.68	40.23
EXOSC7	34.19	36.67	32.55	32.91	36.77	33.97	30.17	32.46
EXOSC8	59.34	61.28	43.3	41.36	62.78	55.94	43.9	44.86
EXOSC9	87.19	86.78	59.17	60.46	91.84	87.58	66.81	62.38
EXPH5	0.47	0.4	0.37	0.33	0.38	0.42	0.35	0.33
EXT1	171.8	163.21	168.88	169.03	185.72	186.67	179.99	178.62
EXT2	45.16	47.08	45.49	47.36	44.36	43.24	44.43	45.25
EXTL1	2.4	1.79	0.96	0.59	3.15	2.87	1.48	1.37
EXTL2	18.36	18.39	16.04	16.75	15.41	15.06	13.76	15.23
EXTL3	27.4	28.61	32.87	34.64	32.73	33.36	36.69	36.76
EXTL3-AS1	0	0	0	0.35	0	0	0.19	0
EYA1	0	0	0	0	0	0	0	0
EYA2	0	0	0	0	0	0	0	0
EYA3	17.54	14.08	12.67	13.26	13.67	17.16	14.53	15.25
EYA4	0	0.15	0	0	0	0.04	0.02	0.04
EYS	0.07	0.05	0.09	0.08	0.06	0.08	0.11	0.13
EZH1	10.52	12.57	8.52	8.81	11.91	13.77	9.29	10.36
EZH2	47.67	55.49	39.58	41.36	56.45	53.08	49.87	50.83
EZR	477.18	480.09	486.27	491.16	446.92	436.62	485	486.76
EZR-AS1	0	0	0	0	0	0	0	0
F10	1.52	1.27	0.73	0.73	1.5	1.11	1.05	1.23
F10-AS1	0	0	0	0	0	0	0	0
F11	0	0	0	0	0	0	0	0
F11-AS1	0	0	0	0	0	0	0	0
F11R	11.26	11.35	8.44	9.82	10.12	10.42	9.01	8.24
F12	1.22	1.19	1.47	1.26	1.7	1.63	1.01	0.98
F13A1	0	0	0	0	0	0	0	0
F13B	0	0	0	0.04	0	0	0	0
F2	0.19	0.61	0.19	0.24	0.11	0.57	0.16	0.28
F2R	98.38	102.44	67.16	66.82	94.21	91.26	70.8	72.66
F2RL1	27.36	28.05	21.78	22.97	22.99	21.62	23.88	24.32
F2RL2	62.36	61.91	45.7	49.14	42.18	46.25	32.97	31.25
F2RL3	0	0	0.05	0	0	0	0	0
F3	169.12	157.69	121.39	126.21	64.49	62.22	65.45	57.87
F5	0	0.03	0.01	0	0	0	0	0
F7	0	0	0	0	0	0	0	0
F8	2.22	2.99	3.7	3.37	2.76	3.17	2.99	3.2
F8A1	51	53.72	38.31	37.36	68.69	73.12	56.7	62.13
F8A2	0	0	0	0	0.39	0	0.34	0
F8A3	0	0	0	0	0.39	0	0.34	0
F9	0	0	0	0	0	0	0	0
FA2H	0.08	0.04	0.12	0.04	0	0.18	0.04	0
FAAH	0.27	0.34	0.46	0.23	0.21	0.66	0.57	0.69
FAAH2	0	0	0	0	0.05	0	0.05	0
FAAHP1	0	0	0.07	0.51	0	0	0.1	0
FAAP100	30.7	34.89	22.86	25.9	45.37	43.91	33.53	33.76
FAAP20	63.62	78.94	67.94	65.12	96.81	105.03	83.93	93.94
FAAP24	11.49	11.33	8.1	9.61	10.31	11.35	7.81	10.37
FABP1	0	0	0	0	0	0	0	0
FABP12	0	0	0	0	0	0	0	0
FABP2	0.17	0	0	0	0.05	0	0	0
FABP3	0.31	0.11	0.24	0.62	0.46	0.49	0.81	0.47
FABP4	0	0	0	0	0	0	0	0
FABP5	15.81	14.48	10.31	8.74	7.37	10.6	7.38	7.13
FABP5P3	0	0	0	0	0	0	0	0
FABP6	0.88	1.17	1.46	1.62	0.5	0.78	0.64	0.51
FABP7	0	0	0	0	0	0	0	0
FABP9	0	0	0	0	0	0	0	0
FADD	51.58	47.47	42.23	46.04	56.67	62.56	52.67	54.98
FADS1	14.5	16.72	9.3	10.58	18.31	20.58	12.69	13.91
FADS2	12.19	11.77	11.16	12.15	30.6	37.63	19.59	20.83
FADS3	69.24	72.33	63.02	59.64	72.09	74.69	51.17	53.46
FADS6	0	0	0	0	0	0	0	0
FAF1	53.61	51.01	43.56	45.01	55.58	60.08	54.85	53.9
FAF2	47.71	47.37	57.28	57.4	46.43	46.85	57.97	59.61
FAH	18.96	19.88	21.51	18.61	18.35	16.3	12.7	16.12
FAHD1	45.48	39.88	35.87	37.9	35.27	38.78	38.7	34.8
FAHD2A	25.12	27.84	21	18.99	21.11	26.05	22.87	19.73
FAHD2B	4.74	5.89	6.44	6.97	9.17	9.69	5.72	6.04
FAHD2CP	0.59	0.93	0.36	0	0.33	1.04	1.16	0.85
FAIM	12.36	14.62	6.17	8.25	10.4	10.73	8.09	8.19
FAIM2	0	0	0	0	0	0	0.02	0
FALEC	0.89	0	0	0	0.67	1.4	0.34	1.71
FAM101A	43.36	47.34	23.88	20.65	32.83	35.67	22.79	25.46
FAM101B	25.68	25.63	26.42	26.47	30.68	27.06	34.39	35.18
FAM102A	13.82	15.19	20.59	21.14	13.21	15.59	12.34	14.13
FAM102B	4.33	4.44	2.6	2.58	4.02	3.65	3.03	3.53
FAM103A1	53.12	55.27	46.99	43.02	39.53	44.82	46.14	42.81
FAM104A	56.95	51.64	55.85	54.2	50.58	49.95	57.26	54.14
FAM104B	14.6	15.35	13.75	11.81	11.79	13.41	10.42	11.99
FAM105A	1.32	1.13	0.57	0.59	0.86	0.75	0.43	0.4
FAM106A	0	0	0	0.18	0	0	0.06	0
FAM106B	0.17	0.06	0.21	0.09	0.06	0.07	0.17	0.26
FAM106CP	0	0	0.05	0	0	0	0	0
FAM107A	0.14	0.09	0.04	0.06	0.03	0.03	0	0.03
FAM107B	21.89	22.95	15.65	15.43	18.66	17.8	18.72	18.29
FAM109A	5.75	4.8	6.03	4.72	6.38	5.73	5.84	5.51
FAM109B	0.24	0.3	0.09	0.08	0.09	0.19	0.14	0.09
FAM110A	26.09	27.55	37.51	38.45	26.55	26.87	31.9	28.88
FAM110B	0.18	0.15	0.03	0.14	0	0.07	0	0
FAM110C	0	0	0.03	0	0.1	0.03	0.05	0
FAM110D	0	0.07	0	0	0	0	0.08	0
FAM111A	33.42	34.54	22.54	23.2	27.39	26.86	19.23	21.5
FAM111B	31.76	34.39	12.12	12.61	27.52	27.09	12.98	12.74
FAM114A1	31.58	35.23	32.04	32.61	27.4	29.11	28.64	25.47
FAM114A2	13.63	15.8	14.17	15.79	12.68	13.55	15.4	16.11
FAM117A	5.11	5.8	4.69	3.45	6.34	6.58	5.23	5.52
FAM117B	3.05	2.76	1.77	2.26	4.2	3.97	2.68	2.95
FAM118A	19.48	20.58	16.57	16.68	21.47	21.76	19.33	18.44
FAM118B	19.83	18.45	20.75	17.69	14.69	15.74	16.75	16.65
FAM120A	73.46	72.74	73.23	77.83	80.97	81.81	83.07	82.98
FAM120AOS	11.28	10.48	12.33	12.42	9.85	8.66	10.27	10.37
