"Cont_1"	"Cont_2"	"SFN_1"	"SFN_2"
"GSX2"	0	0	0	0
"GTDC1"	2.23	2.06	2.86	2.04
"GTF2A1"	6.14	6.81	7.34	7.81
"GTF2A1L"	0	0	0	0.68
"GTF2A2"	58.71	59.28	75.45	79.13
"GTF2B"	26.01	24.81	31.9	30.61
"GTF2E1"	15.08	16.09	18.31	19.52
"GTF2E2"	43.76	46.88	54.03	50.73
"GTF2F1"	109.53	110.54	106.14	107.9
"GTF2F2"	76.91	81.55	95.61	89.5
"GTF2H1"	40.19	40.3	56.35	57.04
"GTF2H2"	11.05	11.37	17.61	16.31
"GTF2H2B"	3.58	4.24	2.86	3.51
"GTF2H2C"	2.01	2.14	2.3	2.44
"GTF2H2C_2"	14.83	17.53	24.26	21.17
"GTF2H3"	22.45	23.33	23.39	22.85
"GTF2H4"	26.74	27.83	24.77	22.3
"GTF2H5"	4.92	4.44	5.07	5.39
"GTF2I"	115.34	119.37	78.88	81.99
"GTF2IP1"	32.41	28.19	21	19.34
"GTF2IP20"	5.37	5.55	5.33	4.73
"GTF2IP4"	1.42	1.41	0	1.44
"GTF2IRD1"	12.47	12.7	9.93	11.97
"GTF2IRD1P1"	0.06	0.03	0	0.11
"GTF2IRD2"	43.01	40.45	25.5	29.38
"GTF2IRD2B"	2.22	2.11	2.17	2.32
"GTF3A"	192.18	201.04	246.58	219.71
"GTF3C1"	31.73	34.53	35.49	36.73
"GTF3C2"	48.62	52.15	47.62	51.56
"GTF3C2-AS1"	0	0	0	0
"GTF3C3"	23.07	25.82	37.47	39.42
"GTF3C4"	26.87	34.08	36.08	38.58
"GTF3C5"	107.81	116.15	115.55	116.94
"GTF3C6"	45.49	49.37	51.79	49.07
"GTPBP1"	8.89	9.74	9.9	10.4
"GTPBP10"	6.1	6.56	8.84	9
"GTPBP2"	30.69	32.01	33.65	33.65
"GTPBP3"	22.84	23.98	21.2	20.85
"GTPBP4"	68.13	82.66	114.53	107.57
"GTPBP6"	40.98	40.09	48.79	40.09
"GTPBP8"	32.65	31.93	24.68	24.51
"GTSCR1"	0	0	0	0
"GTSE1"	19.42	22.62	24.04	27.6
"GTSE1-AS1"	0.83	0.65	0.68	0.96
"GTSF1"	0	0	0	0
"GTSF1L"	0	0	0	0
"GUCA1A"	0	0	0	0.08
"GUCA1B"	0.22	0.19	0.5	0.25
"GUCA1C"	0.14	0	0	0
"GUCA2A"	0	0	0	0
"GUCA2B"	0	0	0	0
"GUCD1"	58.3	68.83	62.58	67.46
"GUCY1A2"	0.01	0.01	0	0
"GUCY1A3"	0.07	0.24	0.21	0.24
"GUCY1B2"	0	0	0	0
"GUCY1B3"	0	0	0	0.02
"GUCY2C"	0.03	0	0.04	0
"GUCY2D"	0.03	0	0	0.04
"GUCY2EP"	0	0	0	0
"GUCY2F"	0	0	0	0
"GUCY2GP"	0	0	0	0
"GUF1"	6.35	7.66	7.31	7.86
"GUK1"	460.18	436.67	494.81	509.32
"GULP1"	4.58	6.05	17.96	16.96
"GUSB"	39.14	40.07	30.36	35.67
"GUSBP1"	9.24	9.56	7.91	9.22
"GUSBP10"	0	0	0	0
"GUSBP11"	5.65	6.29	6.3	8.67
"GUSBP2"	0.67	0.65	0.09	0.18
"GUSBP3"	2	1.73	1.02	1.26
"GUSBP4"	7.5	6.44	8.88	8.62
"GUSBP5"	0.14	0.03	0.08	0.04
"GUSBP9"	2.33	1.56	1.15	0.77
"GVINP1"	0.09	0.08	0.07	0.07
"GXYLT1"	3.23	3.81	3.7	4.33
"GXYLT1P3"	0	0	0	0
"GXYLT2"	0.48	0.48	0.39	0.39
"GYG1"	27.72	32.59	45.14	46.73
"GYG2"	0	0	0	0
"GYG2P1"	0	0	0	0
"GYLTL1B"	3.04	4.15	4.7	3.71
"GYPA"	0	0	0	0
"GYPB"	0	0	0	0
"GYPC"	0	0	0	0
"GYPE"	0	0	0	0
"GYS1"	53.58	53.46	48.73	50.66
"GYS2"	0	0	0.02	0
"GZF1"	11.06	12.28	14.29	14.63
"GZMA"	0	0	0	0
"GZMB"	0	0	0	0
"GZMH"	0	0	0	0
"GZMK"	0	0	0	0
"GZMM"	0.07	0.14	0.61	0.27
"H19"	0.37	0.39	0.21	0.21
"H1F0"	556.99	549.83	282.34	272.38
"H1FNT"	0	0	0	0
"H1FOO"	0	0	0	0
"H1FX"	486.88	446.54	261.83	250.19
"H1FX-AS1"	1.03	0.9	0.74	0.46
"H2AFB1"	0	0	0	0.11
"H2AFB2"	0	0	0	0
"H2AFB3"	0	0	0	0.11
"H2AFJ"	45.11	40.35	28.47	28.61
"H2AFV"	296.83	309.82	222.99	238.19
"H2AFX"	379.93	405.2	377.78	351.63
"H2AFY"	326.18	344.27	327.53	327.49
"H2AFY2"	39.37	44.99	38.67	33.41
"H2AFZ"	575.95	599.28	672.92	667.82
"H2BFM"	0	0	0	0
"H2BFWT"	0	0	0	0
"H2BFXP"	0	0	0	0
"H3F3A"	57.47	54.78	10.91	9.79
"H3F3AP4"	905.66	834.2	622.27	630.69
"H3F3B"	375.61	370.45	403.22	367.54
"H3F3C"	0.23	0.06	0.18	0.16
"H6PD"	7.93	9.75	6.28	6.79
"HAAO"	0	0.09	0.14	0
"HABP2"	0	0	0	0
"HABP4"	20.02	23.86	14.64	17.23
"HACD1"	25.65	27.37	21.12	24.47
"HACD2"	87.38	101.92	83.48	85.48
"HACD3"	122.02	131.4	133.24	141.82
"HACD4"	7.79	8.27	7.88	7.16
"HACE1"	3.78	3.91	3	2.81
"HACL1"	11.08	10.91	14.44	15.61
"HADH"	63.78	70.36	43.06	50.45
"HADHA"	315.81	299.43	292.01	286.46
"HADHB"	158.18	141.08	139.56	134.49
"HAGH"	68.58	61.21	51.93	52.72
"HAGHL"	16.26	16.96	11.43	11.31
"HAGLR"	0.01	0.07	0.02	0.11
"HAGLROS"	0	0	0	0
"HAL"	0.14	0.13	0.14	0.2
"HAMP"	0	0	0	0
"HAND1"	0.81	0.55	0.19	0.3
"HAND2"	0.02	0	0	0.03
"HAND2-AS1"	0	0	0	0
"HAO1"	0	0	0	0
"HAO2"	0	0	0	0.04
"HAO2-IT1"	0	0	0	0
"HAP1"	7.07	5.75	3.63	4.77
"HAPLN1"	0	0	0	0
"HAPLN2"	0.19	0.16	0.56	0.42
"HAPLN3"	1.46	1.51	2.46	1.81
"HAPLN4"	0.02	0	0	0.02
"HAR1A"	0	0	0	0.03
"HAR1B"	0	0	0	0.1
"HARBI1"	9.12	9.57	9.03	10.89
"HARS"	86.26	89.18	107.61	96.21
"HARS2"	37.5	37.23	39.55	38.1
"HAS1"	0.03	0.03	0.08	0.14
"HAS2"	1.2	1.72	0.45	0.43
"HAS2-AS1"	0.14	0.12	0.14	0.09
"HAS3"	50.28	60.26	49.56	49.91
"HAT1"	138.21	145.42	149.24	149.43
"HAUS1"	81.15	84.25	76.79	76.63
"HAUS2"	26.44	27.85	25.8	25.82
"HAUS3"	11.47	11	11.8	13.5
"HAUS4"	68.41	67.57	51.13	53.5
"HAUS5"	8.86	9.76	8.82	9.15
"HAUS6"	7.92	8.36	9.76	10.16
"HAUS7"	25.01	23.76	36.16	32.36
"HAUS8"	43.61	47.9	50.36	48.27
"HAVCR1"	0	0	0	0
"HAVCR1P1"	0	0	0	0
"HAVCR2"	0	0.04	0.07	0.03
"HAX1"	177.03	184.26	204.26	207.47
"HBA1"	0	1.25	1.52	1.88
"HBA2"	0.24	0	1.56	0
"HBB"	0	0	0	0
"HBBP1"	0	0	0	0
"HBD"	0	0	0	0
"HBE1"	0	0	0.12	0.77
"HBEGF"	8.09	7.84	21.83	22.64
"HBG1"	0	0	0	0
"HBG2"	0	0	0	0
"HBM"	0	0	0	0
"HBP1"	38.14	29.64	25.27	29.8
"HBQ1"	0	0	0	0
"HBS1L"	12.04	12.61	12.83	12.46
"HBZ"	0	0	0	0
"HCAR1"	0	0.05	0	0
"HCAR2"	132.1	110.95	35.89	40.95
"HCAR3"	5.57	5.95	3.12	3.11
"HCCAT5"	0	0	0	0
"HCCS"	30.69	34.87	47.75	44.12
"HCFC1"	18.97	24.68	23.11	22.44
"HCFC1-AS1"	0.08	0	0	0
"HCFC1R1"	95.75	76.95	27.51	32.78
"HCFC2"	3.27	3.89	2.63	2.53
"HCG11"	1.29	1.06	1.02	0.99
"HCG14"	0	0	0	0
"HCG17"	0.19	0	0	0
"HCG18"	4.31	4.48	4.88	4.81
"HCG2040054"	0	0	0	0
"HCG22"	0	0	0	0
"HCG23"	0	0	0	0
"HCG25"	0.1	0.2	0.61	0.14
"HCG26"	0.66	0.31	0.15	0.34
"HCG27"	0.33	0.43	0.34	0.48
"HCG4"	0.54	0.66	0.46	0.33
"HCG4B"	0.47	0.29	0.36	0.68
"HCG8"	0.22	0.28	0.27	0.33
"HCG9"	0	0	0.17	0
"HCK"	0	0	0	0
"HCLS1"	0.12	0.12	0.09	0.04
"HCN1"	0	0	0	0
"HCN2"	0.81	0.81	0.64	1.27
"HCN3"	9.74	10.01	8.68	9.83
"HCN4"	0	0.04	0	0
"HCP5"	9.62	9.34	6.4	6.61
"HCRT"	0	0	0	0
"HCRTR1"	0	0.03	0	0
"HCRTR2"	0	0	0	0
"HCST"	0	0.17	0	0.69
"HDAC1"	255.18	239.03	208.61	219.91
"HDAC10"	14.82	14.58	11.76	13.39
"HDAC11"	8.7	7.39	4.6	5.23
"HDAC11-AS1"	0	0.16	0.26	0
"HDAC2"	33.42	35.78	33.38	33.58
"HDAC3"	91.39	95.16	96.13	88.77
"HDAC4"	1.72	2.43	2.44	2.43
"HDAC5"	8.46	7.75	6.62	9.38
"HDAC6"	16.21	16.14	8.83	9.56
"HDAC7"	42.89	44.97	42.58	42.61
"HDAC8"	18.22	19.12	15.8	17.46
"HDAC9"	4.98	6.8	28.39	26.65
"HDC"	0.11	0.04	0.06	0.03
"HDDC2"	30.93	27.04	40.49	36.1
"HDDC3"	67.15	62.9	57.52	50.64
"HDGF"	565.7	599.06	692.33	680.08
"HDGFL1"	0	0	0	0
"HDGFRP2"	52.42	53.48	45.94	46.84
"HDGFRP3"	27.13	32.42	37.92	40.57
"HDHD1"	17.25	17.22	24.03	21.47
"HDHD2"	21.56	25.08	22.35	22.78
"HDHD3"	44.78	41.8	40.84	45.67
"HDLBP"	144.81	159.99	156.02	167
"HDX"	0.65	0.7	0.58	0.91
"HEATR1"	27.95	33.84	37.85	37.27
"HEATR3"	13.28	18.13	18.93	18.44
"HEATR4"	0.55	0.43	1.1	1.04
"HEATR5A"	11.1	13.94	11.75	13.78
"HEATR5B"	12.49	12.64	12.48	13
"HEATR6"	10.12	9.94	8.57	8.19
"HEATR9"	0	0	0	0.04
"HEBP1"	72.97	77.9	58.29	63.54
"HEBP2"	60.99	63.88	61.63	64.39
"HECA"	8.23	9.31	7.76	8.61
"HECTD1"	24.55	30.49	29.02	29.99
"HECTD2"	1.43	1.06	0.76	0.93
"HECTD2-AS1"	0	0	0	0
"HECTD3"	19.85	21.23	19.11	20.6
"HECTD4"	3.97	5.21	4.18	4.83
"HECW1"	0	0	0	0
"HECW2"	2.17	2.47	0.8	0.99
"HEG1"	6.95	7.11	7.72	9.53
"HEIH"	20.94	16.93	17.34	18.09
"HELB"	0.53	0.72	1.31	1.27
"HELLS"	27.19	29.92	28.48	29.64
"HELQ"	4.39	4.8	6.09	5.59
"HELT"	0	0	0	0
"HELZ"	5.04	5.77	5.18	5.76
"HELZ2"	11.9	15.62	11.81	13.73
"HEMGN"	0	0	0	0
"HEMK1"	4.21	3.8	3.61	3.75
"HENMT1"	0.47	0.3	0.39	0.4
"HEPACAM"	0	0	0	0.02
"HEPACAM2"	0	0	0	0.03
"HEPH"	0	0	0.04	0.03
"HEPHL1"	0.02	0.03	0.35	0.43
"HEPN1"	0	0.04	0	0
"HERC1"	7.32	9.09	5.97	5.99
"HERC2"	9.38	11.11	9.01	9.82
"HERC2P10"	0	0.46	0.71	0.31
"HERC2P2"	17.2	19.61	18.08	19.51
"HERC2P3"	1.19	1.38	1.6	1.18
"HERC2P4"	0.02	0	0.03	0
"HERC2P7"	2.61	2.65	2.22	3.04
"HERC2P9"	7.91	8.51	8.12	8.85
"HERC3"	2.71	3.58	3.67	4.72
"HERC4"	36.23	38.62	41.47	42.31
"HERC5"	1.67	1.8	3.97	4.01
"HERC6"	2.57	4.19	4.3	4.85
"HERPUD1"	66.76	55.46	63.24	70.22
"HERPUD2"	28.56	27.68	29.4	30.26
"HES1"	63.19	55	37.72	36.12
"HES2"	13.1	10.56	5.94	6.1
"HES3"	0	0	0	0
"HES4"	78.3	90.06	39.64	45.43
"HES5"	2.48	1.9	0.94	0.66
"HES6"	11.13	10.7	7.87	8.31
"HES7"	0.24	0.54	0.9	0.76
"HESX1"	0.05	0.1	0.23	0.34
"HEXA"	76.79	70.66	58.42	69.56
"HEXA-AS1"	0.69	0.42	0.83	0.64
"HEXB"	139.77	148.62	188.07	190.66
"HEXDC"	16.49	13.64	11.42	10.11
"HEXIM1"	39.8	39.08	33.07	32.04
"HEXIM2"	24.2	22.08	15.17	16.5
"HEY1"	4.43	4.36	3.12	2.99
"HEY2"	0.36	0.52	0.42	0.35
"HEYL"	0	0	0	0
"HFE"	6.2	6.65	5.29	5.15
"HFE2"	0	0	0	0.05
"HFM1"	0	0	0	0
"HGC6.3"	0	0	0	0
"HGD"	0	0.03	0	0
"HGF"	0	0	0	0
"HGFAC"	0.16	0.21	0.12	0.17
"HGH1"	22.6	27.4	30.62	28.54
"HGS"	93.17	96.57	122.18	108.69
"HGSNAT"	20.69	22.18	12.32	14.68
"HHAT"	2.1	1.54	3.02	3.7
"HHATL"	0	0	0	0
"HHEX"	1.57	2.12	2.51	2.97
"HHIP"	0	0	0	0
"HHIP-AS1"	0.05	0.05	0.08	0.07
"HHIPL1"	0.05	0	0.18	0.02
"HHIPL2"	0.06	0.02	0.53	0.55
"HHLA1"	0	0	0	0
"HHLA2"	0	0	0	0
"HHLA3"	15.37	15.1	28.74	32.4
"HIAT1"	53.4	52.56	50.38	47.79
"HIATL1"	98.41	114.56	99.92	104.97
"HIATL2"	13.13	14.94	11.97	12.58
"HIBADH"	145.31	143.63	91.04	94.82
"HIBCH"	38.22	39.27	38.02	37.8
"HIC1"	0.4	0.56	0.54	0.78
"HIC2"	6.24	6.88	5.69	5.78
"HID1"	3.15	2.51	2	2.36
"HID1-AS1"	0	0	0	0
"HIF1A"	36	42.73	54.61	55.86
"HIF1A-AS1"	0	0.11	0	0.15
"HIF1A-AS2"	0	0.11	0.06	0.1
"HIF1AN"	24.18	25.55	25.87	28.67
"HIF3A"	0	0	0	0
"HIGD1A"	65.35	69.29	77.42	75.3
"HIGD1B"	0	0.17	0	0
"HIGD1C"	0	0	0	0
"HIGD2A"	177.71	170.58	138.52	115.99
"HIGD2B"	0.11	0.11	0	0
"HILPDA"	15.58	15.68	12.7	11.71
"HILS1"	0	0	0	0
"HINFP"	19.1	17.79	20.99	19.59
"HINT1"	872.83	835.28	866.4	891.83
"HINT2"	71.42	62.32	65.64	61.19
"HINT3"	20.05	19.9	17.54	18.72
"HIP1"	13.66	16.18	15	14.71
"HIP1R"	25.7	29	24.95	24.74
"HIPK1"	11.45	14.28	16.06	15.21
"HIPK1-AS1"	0.69	0.66	1.06	0.29
"HIPK2"	0.43	0.64	1.19	1.05
"HIPK3"	13.22	15.25	13.36	14.32
"HIPK4"	0	0.11	0.16	0.09
"HIRA"	67.91	76.97	75.79	77.63
"HIRIP3"	37.61	38.64	32.16	29.98
"HIST1H1A"	0.26	0.09	0.13	0.23
"HIST1H1B"	1.43	1.71	2.33	1.15
"HIST1H1C"	98.83	88.47	129.43	129.51
"HIST1H1D"	1.72	2.18	2.51	1.41
"HIST1H1E"	5.43	4.91	7.95	3.72
"HIST1H1T"	0	0	0	0.13
"HIST1H2AA"	0	0	0	0
"HIST1H2AB"	0	0.37	0	0.26
"HIST1H2AC"	68.06	68.46	101.25	94.48
"HIST1H2AD"	2.46	2.32	3.13	7.62
"HIST1H2AE"	15.91	14.09	18.6	16.1
"HIST1H2AG"	12.76	12.84	16.95	16.88
"HIST1H2AH"	0.7	1.82	2.3	1.01
"HIST1H2AI"	7.09	6.31	8	7.49
"HIST1H2AJ"	1.93	2.96	3.24	2.06
"HIST1H2AK"	1.71	1.18	1.25	1.66
"HIST1H2AL"	4.75	5.87	4.8	5.3
"HIST1H2AM"	4.99	6.05	9.26	9.67
"HIST1H2APS1"	0	0	0	0
"HIST1H2BA"	0	0	0	0
"HIST1H2BB"	0	0	0.36	0.31
"HIST1H2BC"	22.96	21.54	43.12	55.89
"HIST1H2BD"	79.34	92.45	157.08	178.65
"HIST1H2BE"	10.89	12	5.25	6.16
"HIST1H2BF"	4.92	6.47	9.32	9.46
"HIST1H2BG"	8.24	8.16	15.37	11.48
"HIST1H2BH"	6.77	5.48	6.98	9.69
"HIST1H2BI"	2.7	1.95	4.16	1.22
"HIST1H2BJ"	11.07	11.27	29.57	33.95
"HIST1H2BK"	249.12	230.22	345.27	390.18
"HIST1H2BL"	9.54	10.12	5.8	7.1
"HIST1H2BM"	3.2	3.75	2.99	2.34
"HIST1H2BN"	4.35	4.94	9.19	8.38
"HIST1H2BO"	6.65	5.37	4.86	5.63
"HIST1H3A"	0.73	1.14	1.2	1.86
"HIST1H3B"	1.27	1.32	2.08	2.36
"HIST1H3C"	0.38	1.19	1.26	0
"HIST1H3D"	3	3.41	8.58	9.95
"HIST1H3E"	4.89	4.1	3.72	3.55
"HIST1H3F"	0.37	1.35	0.3	0.27
"HIST1H3G"	4.99	4.98	6.99	8.57
"HIST1H3H"	7.59	8.8	7.71	7.06
"HIST1H3I"	1.25	1.66	1.17	0.77
"HIST1H3J"	1.42	1.29	0.87	2.31
"HIST1H4A"	8.22	5.4	6.93	5.64
"HIST1H4B"	6.81	6.9	8.21	4.31
"HIST1H4C"	45.87	53.41	36.77	24.12
"HIST1H4D"	0.88	0.31	1.53	1.34
"HIST1H4E"	17.66	15.15	23	23.12
"HIST1H4F"	0.29	0	0	0
"HIST1H4G"	0	0	0	0
"HIST1H4H"	21.32	20.45	44.93	50.98
"HIST1H4I"	2.58	1.82	4.51	3.52
"HIST1H4J"	0	5.63	11.69	0
"HIST1H4K"	11.34	6.35	4.35	20.55
"HIST1H4L"	1.19	2.2	1.04	1.37
"HIST2H2AA3"	123.84	107.5	211.98	205.62
"HIST2H2AA4"	123.84	107.5	211.98	205.62
"HIST2H2AB"	1.99	1.24	1.65	1.16
"HIST2H2AC"	5.45	8.06	3.48	4.29
"HIST2H2BA"	0	0	0	0
"HIST2H2BC"	25.15	24.57	26.69	33.12
"HIST2H2BE"	24.01	22.17	28.49	29.73
"HIST2H2BF"	21.44	25.18	30.8	21.89
"HIST2H3A"	11.86	13.74	25.11	21.62
"HIST2H3C"	11.86	13.74	25.11	21.62
"HIST2H3D"	4.53	5.07	4.16	5.05
"HIST2H4A"	100.51	96.53	117.48	117.48
"HIST2H4B"	100.51	96.53	117.48	117.48
"HIST3H2A"	145.3	149.64	143.46	139.6
"HIST3H2BB"	16.03	14.02	13.27	10.27
"HIST3H3"	0.18	0.18	0.29	0
"HIST4H4"	18.76	17.46	20.79	16.9
"HIVEP1"	2.82	3.43	3.17	3.5
"HIVEP2"	4.29	5.55	6.58	7.64
"HIVEP3"	6.19	6.14	4.95	5.16
"HJURP"	45.82	49.79	50.94	53.57
"HK1"	124.49	130.93	148.77	145
"HK2"	5.14	7.28	10.49	9.51
"HK3"	0.02	0	0	0
"HKDC1"	0.7	0.87	8.76	8.21
"HKR1"	2.07	1.92	2.09	3.03
"HLA-A"	307.71	310.27	330.17	342.41
"HLA-B"	134.33	153.87	143.74	170.11
"HLA-C"	101.26	100.93	100.04	111.69
"HLA-DMA"	2.27	1.47	0.73	1.02
"HLA-DMB"	0	0.13	0.06	0
"HLA-DOA"	0	0	0	0
"HLA-DOB"	1.62	1.41	1.01	1.36
"HLA-DPA1"	0	0	0	0
"HLA-DPB1"	0	0	0	0
"HLA-DPB2"	0	0	0	0
"HLA-DQA1"	0.15	0.07	0.06	0.05
"HLA-DQA2"	0	0	0	0
"HLA-DQB1"	21.64	19.62	20.3	19.18
"HLA-DQB2"	0	0	0	0
"HLA-DRA"	0	0	0	0
"HLA-DRB1"	0.2	0.25	0.22	0.13
"HLA-DRB5"	0.1	0.1	0.08	0.07
"HLA-DRB6"	0	0	0	0
"HLA-E"	105.57	98.2	104.79	109.8
"HLA-F"	20.95	20.18	10.67	12.11
"HLA-F-AS1"	2.31	1.82	2.07	1.8
"HLA-G"	0.07	0	0.05	0.1
"HLA-H"	2.3	1.22	2.83	2.68
"HLA-J"	0.04	0	0	0.05
"HLA-L"	0	0.08	0	0
"HLCS"	10.02	11	8.71	9.74
"HLF"	0.03	0.03	0	0
"HLTF"	2.89	3.1	2.64	2.49
"HLTF-AS1"	0	0	0	0
"HLX"	0	0.1	0.04	0
"HLX-AS1"	0	0	0	0
"HM13"	203.72	205.86	228.37	238.29
"HM13-AS1"	0.17	0.18	0	0
"HMBOX1"	2.13	2.92	4.33	4.08
"HMBS"	84.59	92.8	98.12	91.42
"HMCES"	133.44	125.92	128.03	126.98
"HMCN1"	0.46	0.73	0.22	0.24
"HMCN2"	0.14	0.17	0.14	0.22
"HMG20A"	15.66	17.35	16.18	17.08
"HMG20B"	84.34	93.59	69.3	73.6
"HMGA1"	197.39	220.89	352.37	331.44
"HMGA1P7"	0	0	0	0
"HMGA2"	16.19	17.84	25.64	24.29
"HMGB1"	306.5	316.14	304.9	288.12
"HMGB2"	291.86	298.62	256.43	264.53
"HMGB3"	44.39	49.19	32.92	36.79
"HMGB3P1"	0	0	0	0
"HMGB4"	0	0	0	0
"HMGCL"	30.63	27.6	29.22	33.54
"HMGCLL1"	0.02	0	0	0
"HMGCR"	105.31	101.01	76.83	73.67
"HMGCS1"	99.58	84.1	61.44	53.89
"HMGCS2"	0.29	0.02	0	0
"HMGN1"	380.58	371.3	315.52	332.93
"HMGN2"	653.07	660.67	568.36	564.51
"HMGN2P46"	0	0.06	0.04	0
"HMGN3"	54.96	58.82	32.94	40.97
"HMGN3-AS1"	1.02	0.82	0.95	0.68
"HMGN4"	42.59	41.25	41.11	42.01
"HMGN5"	8.47	8.66	5.24	5.68
"HMGXB3"	18.66	20.57	27.28	28.36
"HMGXB4"	11.42	12.58	9.9	10.55
"HMHA1"	17.19	20	16.29	16.36
"HMHB1"	0	0	0	0
"HMMR"	78.01	90.36	138.81	148.74
"HMMR-AS1"	0.05	0.09	0.07	0
"HMOX1"	1.18	1.19	12.79	10.54
"HMOX2"	107.5	107.65	124.15	117.78
"HMP19"	0	0	0	0
"HMSD"	9.68	11.32	6.41	9.91
"HMX1"	0	0	0	0
"HMX2"	0	0	0	0
"HMX3"	0.11	0.06	0.09	0
"HN1"	285.12	304.7	276.23	292.78
"HN1L"	171.42	176.96	157.47	168.75
"HNCAT21"	0	0	0	0
"HNF1A"	0.61	0.79	0.89	0.88
"HNF1A-AS1"	0	0	0	0
"HNF1B"	0	0.09	0	0
"HNF4A"	0.21	0.15	0.08	0
"HNF4A-AS1"	0	0	0	0
"HNF4G"	0.03	0.03	0.02	0.07
"HNMT"	0.02	0.14	0	0
"HNRNPA0"	187.62	187.96	159.88	148.49
"HNRNPA1"	1146.44	1238.03	1168.95	1153.43
"HNRNPA1L2"	9.58	9.85	8.28	10.09
"HNRNPA1P10"	245.32	199.65	95.08	53.01
"HNRNPA1P33"	212.06	239.7	106.48	119.64
"HNRNPA2B1"	805.41	901.88	872.65	845.54
"HNRNPA3"	116.01	128.87	109.11	109.93
"HNRNPA3P1"	0.02	0	0	0
"HNRNPAB"	363.62	397.15	434.62	416.11
"HNRNPC"	400.98	422.23	440.52	431.73
"HNRNPCL1"	0	0	0	0
"HNRNPCL2"	0	0	0	0
"HNRNPCL3"	0	0	0	0
"HNRNPCL4"	0	0	0	0
"HNRNPD"	206.81	231.49	219.39	212.96
"HNRNPDL"	105.68	111.03	79.76	78.36
"HNRNPF"	456.44	479.36	400.97	386.64
"HNRNPH1"	228.96	261.67	282.77	263.6
"HNRNPH2"	96.47	109.3	107.94	103.9
"HNRNPH3"	128.11	149.18	161.02	153.53
"HNRNPK"	526.58	560.14	594.32	585.16
"HNRNPKP3"	0	0	0	0
"HNRNPL"	280.54	284.75	298.19	270.76
"HNRNPLL"	35.72	37.62	39.82	42.62
"HNRNPM"	348.24	391.47	373.03	347.56
"HNRNPR"	63.42	69.42	60.67	58.48
"HNRNPU"	186.35	215.58	226.56	222.35
"HNRNPU-AS1"	4.12	6.31	5.81	6.36
"HNRNPUL1"	87.45	91.19	72.24	68.25
"HNRNPUL2"	66.83	72.38	58.49	59.37
"HNRNPUL2-BSCL2"	110.58	106.78	97.03	95.23
"HOGA1"	4.55	3.48	1.42	1.02
"HOMER1"	4.91	6.28	7.07	7.31
"HOMER2"	24.64	26.79	21.97	19.83
"HOMER3"	111.98	109.89	115.23	108.42
"HOMEZ"	9.72	10.18	9.96	10.73
"HOOK1"	8.07	8.94	7.63	8.45
"HOOK2"	50.39	46.68	43.75	43.8
"HOOK3"	1.87	2.35	2.29	2.47
"HOPX"	0.21	0	0.24	0.42
"HORMAD1"	1.06	0.98	1.53	0.89
"HORMAD2"	0	0	0	0
"HORMAD2-AS1"	0	0	0	0
"HOTAIR"	8.24	8.14	4.38	5.61
"HOTAIRM1"	33.32	38.37	27.87	25.17
"HOTS"	0.04	0.03	0.04	0.02
"HOTTIP"	0.07	0.09	0.07	0.07
"HOXA-AS2"	2.39	2.55	2	1.3
"HOXA-AS3"	0.4	0.67	0.74	0.83
"HOXA1"	16.03	17.71	16.3	14.76
"HOXA10"	19.64	22.45	19.16	22.96
"HOXA10-AS"	56.19	67.02	64.81	65.79
"HOXA10-HOXA9"	0.11	0	0	0.16
"HOXA11"	5.59	6.16	8.5	7.64
"HOXA11-AS"	1.18	2.19	1.92	1.97
"HOXA13"	2.48	3.15	0.63	1.14
"HOXA2"	8.85	9.85	4.49	5.66
"HOXA3"	5.86	6.07	3.39	4.1
"HOXA4"	4.02	3.89	4.23	3.62
"HOXA5"	15.57	15.65	9.65	10.32
"HOXA6"	7.68	7.53	3.29	7.1
"HOXA7"	9.76	12.5	19.94	21.56
"HOXA9"	56.02	59.84	69.89	70.25
"HOXB-AS1"	0	0.08	0.13	0
"HOXB-AS3"	0	0	0	0
"HOXB1"	0	0	0	0
"HOXB13"	0.18	0.26	0.05	0.07
"HOXB2"	0	0.07	0	0.05
"HOXB3"	0.19	0.2	0.26	0.23
"HOXB4"	1.63	1.17	1.21	1.37
"HOXB5"	0	0.09	0	0
"HOXB6"	0.88	1.56	0.6	1.12
"HOXB7"	17.99	16.36	16.45	17.45
"HOXB8"	0.06	0.06	0.05	0.08
"HOXB9"	0.04	0.04	0.03	0.29
"HOXC-AS1"	1.71	1.17	0.68	1.81
"HOXC-AS2"	0	0.34	0.26	0.23
"HOXC-AS3"	4.64	2.76	4.06	7.12
"HOXC10"	56.02	60.35	44.39	44.25
"HOXC11"	12.46	12.59	9.22	10.52
"HOXC12"	49.09	58.15	24.79	25.12
"HOXC13"	143.18	135.59	48.6	50.55
"HOXC13-AS"	28.15	27.91	25.44	26.4
"HOXC4"	5.08	5.25	1.13	1.24
"HOXC5"	1.87	2.05	0.91	0.8
"HOXC6"	15.97	14.96	12.04	11.99
"HOXC8"	1.08	1.24	1.51	1.74
"HOXC9"	4.24	5.71	5.53	5.19
"HOXD-AS2"	0	0	0	0
"HOXD1"	0	0.03	0	0
"HOXD10"	11.44	12.12	7.04	8.16
"HOXD11"	13.45	13.03	6.99	7.88
"HOXD12"	0	0.08	0	0
"HOXD13"	0.07	0.16	0.03	0.03
