	day0-WT_1	day0-WT_2	day1-WT_1	day1-WT_2	day0-KO_1	day0-KO_2	day1-KO_1	day1-KO_2
Col5a2	2401.49	2029.74	1297.6	1248.17	2065.52	1942.04	1361.89	1474.73
Col5a3	116.65	113.05	159.94	155.11	148.57	136.79	182.69	205.57
Col6a1	1117.14	1158.68	1290.19	1237.57	913.31	876.78	1150.75	1251.75
Col6a2	938.12	940.36	1060.81	999.85	727.07	687.01	925.24	977.68
Col6a3	419.13	344.74	219.64	183.34	399.02	351.36	213.35	239.05
Col6a4	0.28	0.26	0.07	0.03	0.19	0.2	0.05	0.02
Col6a5	0.15	0.25	0.16	0.13	0.13	0.04	0.01	0.06
Col6a6	0.36	0.32	0.09	0.1	0.31	0.12	0.07	0.09
Col7a1	2.06	2.01	1.65	1.7	3.45	2.83	3.43	3.22
Col8a1	90.23	82.21	3.92	3.41	68.42	61.58	4.81	5.93
Col8a2	4.92	3.49	6.87	7.5	1.87	1.69	3.87	4.53
Col9a1	0	0	0	0	0	0	0	0
Col9a2	0.24	0.2	0.23	0.09	0.04	0.09	0.19	0.09
Col9a3	1.16	1.5	0.53	0.61	1	0.86	0.41	0.71
Colec10	0	0	0	0.03	0	0	0	0
Colec11	0	0.17	0.18	0.27	0.18	0.19	0.46	0.09
Colec12	88.98	89.76	107.01	108.71	115.79	107.78	105.3	117.86
Colgalt1	256.64	244.55	173.86	180.48	274.59	262.03	182.21	187.24
Colgalt2	0.3	0.24	0.12	0.12	0.44	0.21	0.13	0.24
Colq	0.08	0.2	0	0.04	0	0.13	0.04	0.04
Commd1	128.26	112.4	70.4	72.28	105.65	113.11	75.14	66.06
Commd10	34.27	38.92	29.63	23.84	39.87	41.77	29.11	23.89
Commd2	19.22	19.81	15.01	15.44	20	21.64	16.61	15.4
Commd3	154.02	151.94	189.79	175.96	143.57	137.48	198.24	184.93
Commd4	68.84	70.77	48.81	51.03	60.14	63	50.41	54.5
Commd5	27.53	27.31	28.15	30.84	23.07	24.51	28.95	23.61
Commd6	30.56	36.67	63.5	62.6	36	35.91	62.1	72.08
Commd7	29.6	28.14	14.88	16.43	27.64	26.09	15.44	15.49
Commd8	24.06	23.29	23.51	25.21	25.64	25.5	24.38	23.79
Commd9	29.83	35.81	36.96	39.74	33.09	36.94	46.12	42.24
Comp	3.24	2.76	5.27	5.17	1.29	1.09	2.56	3.36
Comt	88.44	91.31	76.5	80.59	103.08	105.54	78.02	77.28
Comtd1	15.5	16.99	6.22	6.05	13.78	15.57	6.54	6.08
Copa	304.92	261.61	221.13	198.91	306.93	284.47	202.79	212
Copb1	159.21	139.94	166.01	164.97	175.49	164.07	156.46	170.84
Copb2	237.3	231.11	190.01	187.11	253.98	235.66	185.9	194.05
Cope	202.8	205.67	213.69	226.14	218.65	239.88	234.75	217.36
Copg1	161.25	155.19	127.79	126.83	171.86	160.42	129.86	136.66
Copg2	23.62	21.27	17.9	16.54	20.97	21.08	16.47	18.37
Coprs	42.02	35.71	20.84	18.18	26.39	24.76	17.54	16.96
Cops2	88.49	97.65	92.48	97.4	108.2	98.09	91.68	99.09
Cops3	65.16	64.85	74.33	77.58	75.45	73.62	75.58	76.67
Cops4	77.36	81.49	75.18	78.98	80.46	87.41	72.35	74.91
Cops5	98.25	94.99	72.48	72.62	104.7	104.31	75.18	79.06
Cops6	160.58	185.94	190.76	180.47	217.74	231.02	197.84	187.55
Cops7a	94.09	92.41	81.05	76.36	105.71	105.81	73.03	78.42
Cops7b	13.73	17.12	13.79	14.59	16.45	16.88	14.17	13.78
Cops8	71.23	71.69	67.45	68.6	74.23	71.93	66.78	69.11
Copz1	159.03	166.88	135.39	136.69	131.87	131.96	142.15	143.15
Copz2	172.49	175.84	104.35	92.31	177.98	198.99	111.25	107.53
Coq10a	8.95	7.3	10.79	12.25	7.61	7.51	9.88	11.43
Coq10b	52.65	46.29	26.05	24.36	61.66	64.08	27.47	28.03
Coq2	61.98	54.28	67.11	71.62	53.92	50.03	67.15	67.54
Coq3	13.82	13.82	14.94	16.01	17.02	17.98	14.65	14.68
Coq4	6.79	8.55	6.99	5.48	7.78	7.64	6.46	6.01
Coq5	21.44	20.68	16.56	19.67	23.34	22.81	18.1	21.33
Coq6	20.65	24.03	16.7	18.18	20.7	21.84	18.75	19.53
Coq7	31.43	36.23	15.48	13.91	38.49	35.38	13.17	14.13
Coq9	34.94	33.85	62.62	59.87	36.17	36.25	60.49	61.37
Corin	0	0	0.05	0	0	0	0.04	0.05
Coro1a	3.79	3.55	1.22	1.05	3.47	4.15	1.97	2.04
Coro1b	149.28	163.01	147.26	144.2	174.97	173.51	148.71	148.9
Coro1c	129.54	123.37	56.72	54.85	143.43	140.67	57.38	60.82
Coro2a	0.93	0.6	0.22	0.28	0.8	0.83	0.55	0.69
Coro2b	11.65	10.44	13.01	13.25	14.28	12.29	13.62	12.98
Coro6	0.97	0.81	1.97	0.88	1.57	1.4	2.8	3.19
Coro7	7.39	6.85	10.54	9.29	8.51	7.56	9.78	10.18
Cort	0.51	0.26	0.57	0	0	0	0	0
Cotl1	133.66	140.83	72.16	66.05	131.88	131.89	69.77	71.15
Cox10	13.5	14.11	12.31	11.18	15.3	14.24	10.35	11.7
Cox11	15.86	12.75	12.04	12.72	11.25	13.55	12.86	13.44
Cox14	109.33	110.83	132.29	147.53	87.37	96.83	148.43	136.87
Cox15	10.51	9.52	13.86	13.32	13.13	11.65	13.37	15.42
Cox16	51.63	53.98	40.21	45.34	39.1	38.81	47.15	43.81
Cox17	226.89	231.07	190.31	191.41	170.91	172.3	211.16	163.62
Cox18	21.53	18.19	16.68	16.13	24.14	23.94	15.45	17.46
Cox19	53.44	55.98	59.42	60.22	49.28	49.99	61.18	58.8
Cox20	65.17	62.58	54.75	51.98	52.95	47.23	56.47	53.86
Cox4i1	842.03	905.87	737.68	783.03	652.5	707.88	790.33	706.89
Cox4i2	4.6	5.47	2.21	1.83	6.1	8.77	4.77	3.67
Cox5a	315.43	349	242	254.87	253.27	269.8	269.62	253.72
Cox5b	307.96	338.58	282.94	293.42	364.98	361.72	302.51	259.15
Cox6a1	879.43	832.73	645.18	640.93	687.18	773.57	671.33	569.67
Cox6a2	13.03	12.59	2.47	1.43	17.22	23.73	6.7	4.71
Cox6b1	474.77	447.45	339.5	330.09	333.57	349.32	339.52	317.39
Cox6b2	1.38	2.22	11.21	13.71	1.36	1.78	7.72	6.35
Cox6c	392.65	459.64	439.34	443.09	398.49	399.22	466.99	414.17
Cox7a1	5.88	6.68	4.54	4.08	4.01	4.17	6.55	4.93
Cox7a2	112.39	138.75	114.57	128.53	127.49	136.12	124.51	127.81
Cox7a2l	436.21	452.79	487.61	503.38	324.18	323.7	520.62	490.12
Cox7b	98.53	129.46	138.72	140.83	112.34	119.29	142.74	130.21
Cox7b2	0	0	0	0	0	0	0	0
Cox7c	496.21	515.08	475.43	513.3	457.46	510.51	524.32	412.46
Cox8a	408.68	419.78	491.94	488.38	475.88	496.01	497.71	470.89
Cox8b	0.37	0.75	0.42	0	0.81	0.84	2.09	1.24
Cox8c	0	0	0	0	0	0	0	0
Cp	5.74	5.08	7.91	7.58	9.14	8.39	8.73	8.76
Cpa1	0	0	0	0	0	0	0	0
Cpa2	0.17	0	0	0	0	0.1	0.08	0
Cpa3	0.08	0.31	0.09	0	0.34	0.26	0.29	0.78
Cpa4	0	0	0	0	0.12	0.06	0	0
Cpa5	0	0	0	0	0	0	0	0
Cpa6	0.52	0.99	0.39	0.64	0.82	0.98	0.75	0.96
Cpb1	0	0	0	0	0	0	0	0
Cpb2	0	0	0	0	0.08	0	0.07	0
Cpd	55.11	44.09	51.12	47.6	59.9	52.58	46.58	49.97
Cpe	97.28	97.04	131.54	135.68	82.22	83.79	112.53	112.26
Cpeb1	17.49	16.26	5.01	4.5	20.79	18.65	5.89	5.79
Cpeb2	10.21	7.19	7.89	8.31	10.98	9.6	7.79	8.36
Cpeb3	3.94	3.33	3.43	3.65	3.52	4.01	2.49	3.12
Cpeb4	12.27	11	20.18	18.03	15.74	14.43	17.74	19.31
Cped1	30.59	26.49	68.08	61.01	28.07	25.11	49.25	57.71
Cphx1	0.82	0.55	0.23	0.15	0.45	0.39	0.32	0.23
Cphx2	0	0	0	0	0	0	0	0
Cplx1	0.05	0	0	0	0	0	0	0
Cplx2	2.3	2.7	0.52	0.56	2.82	2.43	0.81	0.62
Cplx3	0.04	0.04	0	0.09	0	0	0.29	0.09
Cplx4	0	0	0	0	0.14	0	0.06	0
Cpm	0.08	0.08	0.33	0.33	0.25	0.26	0.26	0.54
Cpn1	0	0	0.07	0	0.07	0.07	0.12	0
Cpn2	0.02	0.05	0	0	0	0.03	0	0
Cpne1	91.24	68.98	109.84	104.32	101.97	93.32	98.99	102.39
Cpne2	41.86	38.98	27.23	27.88	50.84	47.82	26.98	28.13
Cpne3	24.48	19.79	28.54	25.12	31.7	29.11	25.93	29.19
Cpne4	0.03	0	0	0	0.1	0.03	0	0
Cpne5	0.03	0.03	0.11	0	0.05	0.06	0.02	0.03
Cpne6	0	0	0	0	0	0	0	0
Cpne7	0.14	0.23	0.72	0.77	0.25	0.31	0.09	0.31
Cpne8	22.75	25.55	20.07	18.93	28.92	30.98	22.23	20.59
Cpne9	0.04	0	0	0	0	0.05	0	0.04
Cpox	47.1	39.98	48.66	47.8	49.11	45.14	43.54	44.55
Cpped1	21.89	20.75	22.88	22.65	26.42	24.46	20.78	20.55
Cpq	23.45	24.13	26.05	23.58	25.83	24.83	25.03	25.77
Cps1	0	0	0	0	0	0	0	0
Cpsf1	32.01	29.35	29.98	29.17	31.93	30.62	29.21	29.25
Cpsf2	42.24	39.3	28.39	29.11	47.49	43.07	28.89	28.88
Cpsf3	40.88	43.65	43.78	43.54	47.73	49.72	45.33	45.66
Cpsf3l	39.6	39.99	43.81	45.57	44.64	42.82	40.72	42.33
Cpsf4	29.5	28.05	25.61	29.93	28.12	28.14	24.56	25.72
Cpsf4l	0.49	0.47	0.21	0.27	0	0.32	0.09	0.1
Cpsf6	28.91	27.43	28.05	25.02	29.68	28.78	26.22	27.4
Cpsf7	32.64	31.62	33.36	32.34	32.93	30.83	31.45	34.46
Cpt1a	22.75	23.47	32.98	31.67	26.46	24.4	32.25	32.72
Cpt1b	1.29	2.42	0	0	1.9	1.6	0.86	0
Cpt1c	35.47	36.79	39.62	41.07	31.82	31.02	39.29	42.26
Cpt2	32.68	37.97	46.18	46.83	31.13	33.6	43.73	42.18
Cptp	12.44	13.68	16.1	16.26	15.75	16.84	14.49	17.09
Cpvl	0	0	0	0	0	0	0	0
Cpxcr1	0	0	0	0	0	0	0	0
Cpxm1	220.41	242.67	91.67	82.54	249.63	221.95	93.73	93.25
Cpxm2	5.85	4.86	3.44	2.85	5.8	4.61	3.69	4.16
Cpz	13.65	14.71	11.47	11.42	15.68	13.46	12.88	11.82
Cr1l	71.17	76.52	94.92	94.67	112.78	108.89	98.51	98.65
Cr2	0.03	0.09	0.12	0.02	0.08	0.08	0.02	0.02
Crabp1	6.05	4.46	1.37	1.36	9.98	11.88	1.93	0.82
Crabp2	8.71	6.69	7	5.49	8.51	10.91	5.84	5.37
Cracr2a	0.74	1.06	1.18	0.82	1.15	0.6	0.79	0.59
Cracr2b	2.79	3.22	2.99	2.51	3.85	3.77	4.49	4.53
Cradd	5.52	5.98	6.11	6.2	5.87	5.02	5.55	5.93
Cramp1l	10.35	8.25	11.35	10.58	10.9	8.8	10.06	10.19
Crat	14.46	14.69	14.05	13.58	15.29	15.53	12.64	13.32
Crb1	0	0	0	0	0	0	0	0
Crb2	0.09	0.07	0.06	0.02	0.02	0.08	0.11	0.11
Crb3	0	0	0	0	0.32	0.23	0.37	0.22
Crbn	15.79	14.14	20.02	18.85	19.92	17.3	18.33	20.36
Crcp	33.6	35.07	31.39	30.66	38.68	41.26	29.31	30.99
Crct1	0.17	0.34	0	0	0.91	0	0	0
Creb1	17	15.94	17.32	15.12	19.9	16.75	15.57	17.02
Creb3	101.16	106.53	77.48	77.5	101.85	101.11	78.14	79.67
Creb3l1	162.52	156.76	65.21	61.48	220.5	214.44	78.11	77.19
Creb3l2	41.92	33.72	52.55	46.38	54.45	46.58	43.73	51.83
Creb3l3	9.33	9.12	1.36	2.32	12.88	12.62	3.28	4.56
Creb3l4	3.37	4.56	4.34	4.5	5.48	4	3.33	3.47
Creb5	4.56	4.29	1.16	1.11	7.57	5.83	1.33	1.71
Crebbp	14.05	12.24	18.03	14.53	19.05	16.73	14.47	16.74
Crebl2	9.68	8.01	10.12	11.19	7.75	5.98	11.07	11.93
Crebrf	11.17	10.92	13.59	13.7	11.02	8.96	11.59	14.37
Crebzf	45.73	40.57	38.2	37.27	34.66	34.91	34.45	36.73
Creg1	63.37	67.54	100.08	96.89	80.98	80.98	96.57	107.82
Creg2	0.3	0.21	0.38	0.17	0.23	0.32	0.25	0.33
Creld1	50.1	46.97	86.49	86.92	40.04	42.56	84.84	93.62
Creld2	73.97	75.06	525.56	533.16	70.64	73.44	469.43	465.5
Crem	5.97	5.24	11.56	11.02	8.12	7.91	9.67	10.18
Crh	0	0	0	0	0	0	0	0
Crhbp	0	0	0.22	0	0	0.08	0.06	0.22
Crhr1	0	0	0	0	0	0	0.04	0
Crhr2	0	0	0	0	0.05	0	0	0
Crim1	58.63	46.14	17.46	16.15	58.09	55.64	15.98	16.27
Crip1	284.1	315.47	72.65	73.22	224.93	232.53	119.99	90.97
Crip2	51.11	56.18	25.31	25.24	94.48	105.54	46.48	45.84
Crip3	0	0	0	0.14	0	0	0.11	0.14
Cript	62.03	73.95	58.83	59.67	65.14	63.28	59.48	68.4
Crisp1	0	0.08	0.18	0.27	0	0	0.15	0
Crisp2	0	0.08	0.09	0	0.26	0.09	0	0.09
Crisp3	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0
Crispld1	0.71	0.91	0.7	0.85	0.56	0.59	1.02	1.25
Crispld2	27.07	28.51	42.5	40.39	25.72	24.08	43.48	45.9
Crk	81.53	71.84	72.77	73.09	87.33	85.69	72.96	76.73
Crkl	30.54	25.96	28.4	25.73	31.84	29.43	27.16	29.98
Crlf1	314.26	325.67	679.26	677.68	382.25	394.68	772.79	752.69
Crlf2	41.31	35.76	19.05	20.65	35.13	36.32	26.54	22.14
Crlf3	20.66	17.4	13.04	14.47	20.68	21.92	13.27	13.99
Crls1	30.62	29.54	27.67	27.9	35.53	36.29	25.11	29.25
Crmp1	0.7	0.49	0.12	0.21	1.21	0.67	0.31	0.41
Crnde	4.44	5.04	1.65	3.08	3.2	2.04	3.16	4.02
Crnkl1	33.29	35.84	39.52	39.21	33.13	34.6	36.15	37.41
Crnn	0	0	0	0	0	0	0	0
Crocc	6.74	7.08	6.7	7.01	5.46	4.92	6.37	5.96
Crot	34.88	29.56	42.92	38.35	34.89	34.49	37.32	43.08
Crp	0.59	0.73	0.52	0.51	0.5	0	0.31	0.66
Crtac1	0.04	0	0.14	0	0	0	0.04	0.05
Crtam	0.06	0	0.06	0	0	0.07	0.11	0
Crtap	270.73	269.04	258.56	254.93	281.33	279.85	256.5	256.52
Crtc1	6.76	6.17	7.74	7.51	7.8	7.18	7.23	7.51
Crtc2	22.56	24.42	30.11	30.51	28.19	28.55	27.82	27.3
Crtc3	18.86	18.97	19.96	17.42	20.95	18.18	17.27	19.28
Crx	0	0	0.04	0	0	0	0	0
Crxos	0	0.05	0	0	0	0	0	0
Cry1	10.32	10.42	6.14	5.31	12.62	12.5	5.81	5.54
Cry2	13.43	12.45	12.13	10.34	13	12.68	11.79	10.92
Cryaa	0	0	0	0	0.11	0	0	0
Cryab	188.02	202.19	133.58	127.88	176.62	199.18	171.74	164.19
Cryba1	0	0.18	0	0	0	0	0	0
Cryba2	0	0	0	0	0	0	0	0
Cryba4	0	0.16	0	0	0	0	0.15	0
Crybb1	0	0	0	0	0	0	0	0
Crybb2	0	0	0	0	0	0	0	0
Crybb3	0.47	0.48	0.18	0	0.17	0	0.44	0
Crybg3	9.94	8.77	12.95	12.25	9.94	9.3	9.91	11.23
Cryga	0	0	0	0	0	0	0	0
Crygb	0	0	0	0	0	0	0	0
Crygc	0	0	0	0	0	0	0	0
Crygd	0	0	0	0	0	0	0	0
Cryge	0	0	0	0	0	0	0	0
Crygf	0	0	0	0	0	0	0	0
Crygn	0	0	0.45	0.22	0.22	0	0.19	0.23
Crygs	2.03	1.54	0	0.56	0.18	0.19	0.16	0.19
Cryl1	15.99	14.11	8.02	9.01	14.55	10.76	9.18	9.51
Crym	0	0.55	0	0.2	0.1	0.62	0	0.2
Cryz	17.05	17.71	24.36	27.62	20.21	18.68	23.36	24.76
Cryzl1	50.18	51.21	34.71	36.15	51.09	54.69	35.11	41.23
Cs	184.05	155.13	172.54	166.7	193.25	186.72	165.7	168.76
Csad	23.9	28.62	25.72	26.17	20.42	19.06	24.5	25.93
Csdc2	0.89	1.34	0.4	0.44	1.31	0.6	0.42	0.5
Csde1	274.26	254.54	230.79	226.7	315.19	295.42	225.83	243.28
Cse1l	69.26	58.04	60.54	61.5	76.81	72.23	55.88	58.74
Csf1	977.87	870.55	683.49	638.46	1010.68	1029.36	601.41	630.98
Csf1r	11.41	11.48	8.01	7.81	20.65	19.48	10.47	10.44
Csf2	0.11	0.34	0	0	0	0.38	0	0
Csf2ra	12.09	10.68	7.66	7.79	12.54	13.31	9.69	9.72
Csf2rb	2.33	2.04	4.85	5.87	2.87	3.17	5.18	4.69
Csf2rb2	1.88	1.61	2.12	2.53	2.46	2.29	2.66	2.93
Csf3	0.33	0.5	0.28	0	0.45	0.28	0.47	0.46
Csf3r	0.22	0.09	0.03	0.1	0.34	0.22	0.17	0.09
Csgalnact1	82.82	72.62	113.75	106.3	114.71	107.46	104.51	111.73
Csgalnact2	32.7	29.26	34.8	34.63	31.41	29.67	35.17	37.29
Csk	66.82	66.48	39.15	42.24	76.82	75.9	40.07	39.69
Csl	0	0.06	0.06	0	0.13	0	0.11	0.13
Csmd1	0.17	0.19	0.16	0.13	0.24	0.15	0.13	0.08
Csmd2	0	0	0	0	0	0.01	0.01	0.02
Csmd2os	0	0	0	0	0	0	0	0
Csmd3	0.01	0	0	0	0	0	0.02	0.01
Csn1s1	0	0	0	0	0	0	0	0
Csn1s2a	0	0	0	0	0	0	0	0
Csn1s2b	0	0	0	0	0	0	0	0
Csn2	0	0	0	0	0	0	0	0
Csn3	0.21	0.07	0	0.08	0.31	0.24	0.2	0.08
Csnk1a1	334.09	287.99	376.15	365.51	330.43	309.73	333.5	356.53
Csnk1d	113.38	102.22	112.88	110.53	119.08	111.45	107.48	105.93
Csnk1e	54.5	57.3	35.69	36.12	56.3	57.3	38.05	37.97
Csnk1g1	13.77	13.24	14.24	12.66	16.15	14.52	12.46	13.89
Csnk1g2	125.69	128.9	109.42	101.97	123.89	126.96	107.02	105.36
Csnk1g3	32.37	25.44	34.05	36.01	33.81	31.6	33.02	34.62
Csnk2a1	73.38	64.35	85.85	80.85	79.32	74.92	78.99	83.84
Csnk2a2	21.34	20.15	23.12	23.41	26.33	27.74	21.84	24.67
Csnk2b	121.35	144.95	121.93	126	146.17	139.34	122.66	116.36
Csnka2ip	0	0	0	0	0	0	0.08	0
Cspg4	2.15	2.16	0.35	0.16	6.48	5.74	0.67	0.78
Cspg5	0.43	0.38	0.06	0.19	0.22	0.23	0.05	0.29
Cspp1	10.63	10.58	15.25	15.04	10.02	9.33	13.06	14.62
Csrnp1	15.43	13.27	8.51	7.41	17.64	19.76	9.75	10
Csrnp2	8.03	6.52	8.47	8.09	7.05	7.42	6.85	6.51
Csrnp3	0	0	0	0	0	0	0.01	0.01
Csrp1	370.2	361.82	94.77	91.38	365	377.59	93.72	95.76
Csrp2	421.18	503.05	207.28	212.12	365.67	372.68	184.45	170.61
Csrp2bp	33.26	29.55	16.81	14.99	29.12	28.98	16.48	16.49
Csrp3	0.26	0.39	0.88	0.72	1.57	2.37	6.96	6.26
Cst10	0	0	0	0	0	0	0	0
Cst11	0	0	0	0	0	0	0	0
Cst12	0	0	0	0	0	0	0	0
Cst13	0	0	0	0	0	0	0	0
Cst3	566.6	606.33	515.73	516.56	607.51	665.66	561.94	524.72
Cst6	0.06	0.06	0	0.03	1.48	1.01	0.49	0.28
Cst7	0.12	0	0	0	0.13	0.13	0.11	0.13
Cst8	0	0	0	0	0	0	0	0
Cst9	0	0	0	0	0	0	0	0
Csta1	0.04	0	0	0	0	0.05	0	0
Cstad	1.88	2.77	0.81	2.41	2.52	3.11	1.49	1.94
Cstb	336.69	331.36	193.64	196.03	406.29	421.46	221.32	207.07
Cstf1	33.13	31.88	39.51	39.67	37.57	38.85	34.09	36.11
Cstf2	19.28	17.33	16.6	16	22.47	21.4	16.7	17.17
Cstf2t	34.61	29.74	38.07	37.82	29.71	31.12	34.77	37.57
Cstf3	35.74	27.78	35.37	31.77	31.23	32.41	34.07	35.61
Cstl1	0	0	0	0.22	0	0	0	0
Ctag2	0	0	0	0	0	0	0	0
Ctage5	75.67	66.93	121.66	111.47	87.68	80.61	99.78	115.39
Ctbp1	170.63	155.79	118.42	113.74	159.87	158.22	112.6	114.8
Ctbp2	53.22	52.42	49.85	48.72	57.05	53.53	45.66	50.59
Ctbs	9.47	8.19	11.24	10.64	10.05	10.18	11.48	10.77
Ctc1	15.3	15.38	15.24	12.56	16.63	17.85	13.61	15.66
Ctcf	43.02	40.07	41.97	39.33	46.58	43.52	36.23	39.93
Ctcfl	0	0.03	0	0.04	0	0	0	0
Ctcflos	0	0	0.04	0	0	0	0	0.04
Ctdnep1	112	125.47	113.91	107.53	128.54	130.79	106.09	107.4
Ctdp1	25.41	23.15	20.97	18.45	26.56	24.38	19.82	19.58
Ctdsp1	80.34	80.87	67	68.1	84.17	78.66	65.33	67.76
Ctdsp2	215.24	179.2	202.75	188.74	214.4	205.08	186.13	196.71
Ctdspl	20.91	20.62	14.73	13.75	18.26	16.66	12.74	14.27
Ctdspl2	11.03	9.07	12.32	11.63	13.61	12.39	11.41	13.26
Ctf1	0.98	2.13	1.23	0.84	1.84	1.05	1.19	1.98
Ctf2	0	0	0	0	0	0	0	0
Ctgf	944.23	898.04	16.96	14.08	1080.62	1130.33	19.87	17.09
Cth	31.51	28.91	24.54	21.54	41.1	42.09	24.63	28.45
Cthrc1	80.65	74.13	569.1	581.67	170.44	162	453.01	478.79
Ctif	12.41	10.06	10.71	10.51	14.59	12.76	9.21	11.31
Ctla2a	35.64	42.05	283.97	312.76	47.89	50.57	503.6	476.91
Ctla2b	7.04	8.22	39.52	42.73	14.24	11.04	63.84	52.14
Ctla4	0	0	0	0	0.06	0	0	0.21
Ctnna1	197.86	179.31	178.41	169.35	216.82	208.78	164.45	170.96
Ctnna2	0.08	0.14	0.03	0	0.09	0.09	0	0.03
Ctnna3	0.04	0.04	0	0	0	0	0.04	0
Ctnnal1	4.84	4.02	2.2	2.05	3.08	3.4	2.34	2.65
Ctnnb1	430.05	376.73	350.39	334.92	422.84	415.69	324.45	339.01
Ctnnbip1	32.84	28.96	20.23	20.67	23.74	22.1	19.76	20.51
Ctnnbl1	21.61	20.46	23.88	23.33	21.69	23.01	22.06	23
Ctnnd1	154.1	133.17	97.91	87.51	164.4	152.13	96.21	98.8
Ctnnd2	0.15	0.11	0.04	0.04	0.22	0.27	0.14	0.1
Ctns	11	11.55	12.51	13.24	12.57	11.94	11.16	13.72
Ctps	148.28	129.37	101.58	100.04	165.74	157.77	99.66	96.71
Ctps2	17.28	16.87	18.74	19.69	16.66	17.59	16.75	18.59
Ctr9	36.49	39.11	46.81	42.26	38.39	38.78	42.82	44.27
Ctrb1	0.13	0.4	0	0	0.72	1.2	0	0.59
Ctrc	0	0	0	0	0	0	0	0
Ctrcos	0	0	0	0	0	0	0	0
Ctrl	0.13	0.4	0.44	0	0.29	0	0.62	0.15
Cts3	0	0	0	0	0	0	0	0
Cts6	0	0	0	0	0	0	0	0
Cts7	0	0	0	0	0	0	0	0
Cts8	0	0.04	0	0	0	0.05	0	0
Cts8-ps	0	0	0	0	0	0	0	0
Ctsa	147.96	163.95	156.57	157.7	173.14	171.44	160.09	173.34
Ctsb	549.22	503.54	640.82	612.13	628.77	617	737.81	752.7
Ctsc	9.67	8.54	15.51	14.47	28.52	25.03	22.26	22.59
Ctsd	1043.84	1121.62	1182.11	1219.66	1108.57	1069.57	1441.61	1490.4
Ctse	0.1	0	0	0	0	0	0	0
Ctsf	33.14	36.29	45.47	45.59	25.88	27.22	38.4	39.91
Ctsg	0	0	0	0	0.13	0.26	0	0
Ctsh	330.78	335.96	291.16	284.23	415.52	425.61	325.57	322.58
Ctsj	0	0	0.1	0	0	0	0	0
Ctsk	300.93	302.74	111.46	113.13	368.09	354.26	121.73	129.39
Ctsl	984.98	862.37	1908.1	1901.14	1049.61	1010.3	1746.25	1824.6
Ctsll3	0	0	0	0	0	0	0	0
Ctsm	0	0	0	0	0	0	0	0
Ctso	18.87	16.09	25.4	26.21	14.59	13.98	22.58	26.85
Ctsq	0	0	0	0	0	0	0	0
Ctsr	0	0	0	0	0	0	0	0
Ctss	82.71	80.51	80.78	78.96	111.89	110.8	127.87	127.87
Ctsw	0.83	1.03	0.31	0.51	1.62	1.58	0.35	0.21
Ctsz	392.29	409.01	309.53	300.89	417.92	435.49	347.06	337.77
Cttn	262.75	257.7	153.22	147.41	248.21	239.84	146.29	153.44
Cttnbp2	0.11	0.24	0.72	0.31	0.12	0.21	0.5	0.61
Cttnbp2nl	22.01	19.39	16.48	16.11	30.17	28.4	17.09	17.08
Ctu1	11.38	10.67	14.24	13.1	10.36	11.18	12.39	14.17
Ctu2	20.93	21.8	18.61	17.37	19.45	19.75	17.86	17.09
Ctxn1	31.4	29.99	7.53	9.62	23.69	24.31	9.69	10.2
Ctxn2	0	0	0	0	0	0	0	0
Ctxn3	0	0	0	0	0	0	0.43	0.17
Cubn	0.57	0.48	0.12	0.14	0.86	0.79	0.1	0.18
Cuedc1	20.15	23.94	6.94	6.5	18.1	18.67	7.48	9.06
Cuedc2	55.81	66.36	45.08	44.52	56.7	59.87	45.79	43.63
Cul1	82.67	72.08	92.24	86.88	91.22	83.34	82.24	91.63
Cul2	20.5	21.35	24.82	23.79	30.51	29.28	23.48	25.77
Cul3	104.01	89.3	104.32	102.15	113.64	107.1	99.34	108.4
Cul4a	69.93	60.99	72.68	67.37	73.58	72.31	71.16	72.49
Cul4b	38.8	36.41	29.83	28.02	43.2	40.64	29.14	31.67
Cul5	31.24	27.48	28.78	25.79	32.45	30.37	24.74	26.87
Cul7	63.79	61.71	40.41	38.35	59.71	57.7	39.69	41.45
Cul9	9.23	9.48	10.49	10.33	6.86	5.99	10.09	10.09
Cuta	132.95	138.43	91.07	90.9	82.72	84.01	95.01	93.84
Cutal	0	0.1	0.11	0	0	0.05	0	0
Cutc	8.09	8.43	7.12	6.11	9.02	6.81	6.93	6.15
Cux1	20.14	19.77	17.18	17.4	25.89	22.04	19.22	17.01
Cux2	0.15	0.04	0.1	0.07	0.02	0.07	0.06	0.05
Cuzd1	0.05	0	0	0	0	0	0.05	0
Cwc15	136.5	151.11	117.16	123.2	145.83	146.86	130.58	125.42
Cwc22	23.84	23.76	23.88	22.83	25.55	23.73	21.18	21.88
Cwc25	17.06	16.85	19.85	19.32	16.05	15.18	16.73	19.39
Cwc27	26.86	30.16	16.9	15.54	31.13	30.34	15.83	17.02
Cwf19l1	7.65	7.32	7.76	7.21	7.08	7.5	6.94	7.96
Cwf19l2	15.85	16.67	19.74	19.42	16.52	15.48	19.59	21.13
Cwh43	0	0	0	0	0	0	0.08	0
Cx3cl1	4.51	5.72	8.43	7.38	6.26	5.48	6.52	6.25
Cx3cr1	0.03	0.21	0.03	0	0.13	0.17	0.05	0.03
