	day0_1	day0_2	day1_1	day1_2	day5_1	day5_2
Defb38	0	0	0	0	0	0
Defb39	0	0	0	0	0	0
Defb4	0	0	0	0	0	0
Defb40	0	0	0	0	0	0
Defb41	0	0	0	0	0	0
Defb42	0	0	0	1	0	0
Defb43	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0
Defb45	0	0	0	0	0	0
Defb46	0	0	0	0	0	0
Defb47	0	0	0	0	0	0
Defb48	3	1	3	4	0	0
Defb5	0	0	0	0	0	0
Defb50	0	0	0	0	0	0
Defb6	0	0	0	0	0	0
Defb7	0	0	0	0	0	0
Defb8	0	0	0	0	0	0
Defb9	0	0	0	0	0	0
Degs1	2927	2905	3107	3420	2110	2887
Degs2	56.5	47.81	30.43	34	10.78	17.09
Dek	2750.2	2556.8	2334.13	2521.12	853.44	1038.68
Dennd1a	430.98	444.99	655	581	570	641
Dennd1b	382	304	280	254	468	497
Dennd1c	12	7	3	5	12	9
Dennd2a	977	845	754	736	553	635
Dennd2c	175	158	120	110	74	84
Dennd2d	26.12	34.3	7.01	7.02	80.09	107.16
Dennd3	50	62	13	24	10	16
Dennd4a	1944	1688	1325	1160	1437	1684
Dennd4b	326	335	278	275	191	224
Dennd4c	1136	821	1587	1456	2481	3094
Dennd5a	3050	2682	2999	2814	1986	2354
Dennd5b	362	272	277	268	332	306
Dennd6a	523	451	587	620	603	799
Dennd6b	53	55	45	36	55	49
Denr	1716	1755	1083	1123	960	1200
Depdc1a	357	382	392	350	31	49
Depdc1b	117	101	75	86	16	7
Depdc5	472	496	576	581	400	490
Depdc7	36	43	37	47	19	25
Deptor	497	546.9	1339	1344.73	1647	1722.76
Dera	490	473	274	242	452	486
Derl1	4590	4059	5685	5614	7522	9269
Derl2	896.26	983.67	1652	1672.29	865	998.07
Derl3	5	5	908	923	7	12
Des	1204	1034	205	204	113	136
Desi1	841	750	1047	1027	726	790
Desi2	1199	844	966	976	967	1075
Det1	172	184	178	170	143	192
Dexi	287	242	397	404	216	249
Dffa	306	285	336	398	430	477
Dffb	83	75	50	57	87	77
Dfna5	148	146	125	140	310	338
Dfnb59	1	0	1	1	0	0
Dgat1	334	297	426	424	4527	6060
Dgat2	296	227	577	558	3000	3707
Dgat2l6	0	0	0	0	1	0
Dgcr14	324	395	267	317	226	254
Dgcr2	1871	1584	2340	2088	1246	1543
Dgcr6	559	585	407	443	604	671
Dgcr8	1005.75	828.2	700.3	678.48	455.09	524.64
Dgka	353.97	343	314	336.93	264	256.78
Dgkb	1	0	0	0	0	0
Dgkd	1146	935	969	905	2443	2685
Dgke	209	203	195	174	250	328
Dgkeos	1	0	1	0	1	0
Dgkg	3	3	0	1	1	3
Dgkh	270	198	196	137	80	75
Dgki	0	1	2	1	0	0
Dgkk	5	5	10	8	16	15
Dgkq	336.57	283.93	293.04	265.72	278.72	358.21
Dgkz	884	819	460	429	294	350
Dguok	258	308	355	356	394	473
Dhcr24	2840	2405	5443	4988	824	959
Dhcr7	495	414	1074	1015	1471	1991
Dhdds	995	910	1171	1149	618	661
Dhdh	122	157	296	300	1762	2195
Dhfr	373.12	317.66	302.83	313.7	81.94	92.67
Dhh	6	3	2	6	0	4
Dhodh	310	319	369	391	334	375
Dhps	411.17	421.06	177.89	211.67	301.64	343.16
Dhrs1	815	891	662	658	846	967
Dhrs11	104	110	226	227	480	617
Dhrs13	169	167	76	69	60	64
Dhrs2	0	0	0	0	0	0
Dhrs3	2429	2583	1323	1454	1697	1968
Dhrs4	479	531	411	480	950	1273
Dhrs7	1454	1327	1532	1528	1360	1653
Dhrs7b	431	474	444	476	1483	1894
Dhrs7c	2	1	0	1	1	1
Dhrs9	31	13	23	19	351	380
Dhtkd1	71	48	75	83	116	157
Dhx15	4077	3223	3371	3292	1921	2263
Dhx16	1198	1101	1056	1148	809	806
Dhx29	831	703	861	851	392	416
Dhx30	1210	1093	1217	1133	702	867
Dhx32	675.59	547.69	367.54	374.38	1219.35	1511.31
Dhx33	1180	1107	1404	1392	722	865
Dhx34	416	394	348	370	354	364
Dhx35	295	289	243	206	265	257
Dhx36	1740	1505	1445	1501	1354	1463
Dhx37	584	489	544	492	269	327
Dhx38	1197	1079	737	717	719	836
Dhx40	1078	967	1303	1315	1116	1315
Dhx57	575.8	561.77	428.6	470.16	326.94	382.19
Dhx58	236	248	58	56	157	184
Dhx8	941	1000	911	904	728	758
Dhx9	4312	4090	3680	3569	2030	2336
Diablo	348.29	404.55	363.91	360.7	348.67	452.52
Diap1	1903	1584	692	621	982	1066
Diap2	678	548	981	764	992	1106
Diap3	1052	829	616	553	68	69
Dicer1	1386	1232	1422	1391	1106	1247
Dido1	1714	1469	1666	1530	1007	1170
Diexf	373	317	466	418	200	249
Dimt1	294	246	432	405	132	216
Dio1	0	0	0	0	0	0
Dio2	4	4	83	89	22	27
Dio3	381	508	231	229	235	281
Dio3os	96	86	60	58	119	122
Dip2a	1424	1085	687	644	911	923
Dip2b	922	731	764	694	815	945
Dip2c	1002	759	784	763	557	656
Diras1	5	4	0	0	0	1
Diras2	7	6	5	4	2	1
Dirc2	935	782	812	748	558	726
Dis3	1128.76	954.89	744.33	688.27	312.14	334.8
Dis3l	623	554	567	596	623	659
Dis3l2	213	175	242	217	163	212
Disc1	22	17	7	1	10	2
Disp1	776	777	1471	1343	404	442
Disp2	29	30	27	22	20	17
Dixdc1	190	201	242	227	842	905
Dkc1	1031	973	1330	1369	512	669
Dkk1	0	0	0	0	0	0
Dkk2	596	600	51	40	89	147
Dkk3	544	548	896	910	281	445
Dkk4	0	0	0	0	0	0
Dkkl1	1	0	0	0	0	0
Dlat	1551	1294	1373	1327	12305	14844
Dlc1	3984	3438	7341	6800	12139	12736
Dld	2411	2281	2262	2341	11978	14192
Dlec1	7	4	11	9	6	15
Dleu2	33	33	37	40	48	70
Dleu7	0	1	0	1	0	0
Dlg1	2614	2373	1978	1908	1269	1421
Dlg2	52	37	237	223	26	27
Dlg3	794	767	384	429	304	326
Dlg4	747	713	740	700	317	332
Dlg5	2799	2478	2559	2181	778	879
Dlgap1	9	8	46	32	23	22
Dlgap2	0	0	0	0	1	0
Dlgap3	5	2	2	0	0	0
Dlgap4	1645	1901	1314	1291	1070	1271
Dlgap5	896	840	645	712	52	76
Dlk1	66	33	119	151	305	293
Dlk2	23	15	5	4	5	7
Dll1	40	30	24	13	14	33
Dll3	0	0	1	0	0	2
Dll4	95.67	101.88	42.84	33	58.25	89
Dlst	2829	2820	2322	2167	11131	12802
Dlx1	4	0	2	2	0	1
Dlx1as	0	0	4	0	0	0
Dlx2	55	56	70	75	6	7
Dlx3	6	9	39	43	24	40
Dlx4	9	6	12	8	12	18
Dlx5	13	7	31	28	24	26
Dlx6	1	1	0	0	3	0
Dlx6os1	1	1	3	2	2	8
Dlx6os2	0	0	0	0	0	0
Dmap1	372	341	206	218	251	296
Dmbt1	0	1	0	0	0	0
Dmbx1	0	0	0	0	0	0
Dmc1	5	8	4	3	2	1
Dmd	193	148	303	303	215	236
Dmgdh	1	0	0	0	0	0
Dmkn	13	7	7	9	61	66
Dmp1	0	0	0	0	0	0
Dmpk	1495	1773	447	432	1787	1765
Dmr	0	0	0	0	0	0
Dmrt1	1	0	0	1	0	0
Dmrt2	221	268	237	259	296	360
Dmrt3	0	0	0	0	0	0
Dmrta1	0	0	3	2	1	0
Dmrta2	24	32	23	28	6	8
Dmrtb1	0	1	0	0	0	0
Dmrtc1a	0	0	0	0	0	0
Dmrtc1b	0	0	0	0	0	0
Dmrtc1c1	0	0.5	0	0	0.5	0.5
Dmrtc1c2	0	0.5	0	0	0.5	0.5
Dmrtc2	0	0	0	0	9	6
Dmtf1	672.19	659.85	985.7	876.71	592.23	756.5
Dmtn	80	65	8	11	204	231
Dmwd	859	875	741	752	574	617
Dmxl1	964	742	1336	1185	1350	1573
Dmxl2	180	140	153	164	381	416
Dna2	110	85	81	87	29	33
Dnaaf1	0	0	1.14	0	0	0
Dnaaf2	255.02	258.14	257.65	253.06	100.19	125.89
Dnaaf3	20	28	33	29	21	8
Dnaaf5	356	285	310	300	390	445
Dnah1	16	21	14	12	5	4
Dnah10	5	5	11	9	10	3
Dnah11	1.03	0	1.05	1.04	0	0
Dnah17	69.26	59.17	29.03	22.04	23.02	18.04
Dnah2	6	5	0	0	12	14
Dnah5	0	0	0	0	0	0
Dnah6	8	9	3	10	6	8
Dnah7a	1.32	0	0	0	1.33	1.17
Dnah7b	68.68	68	33	32	18.67	47.83
Dnah8	48	47	16	14	1	6
Dnah9	3	3	4	2	1	1
Dnaic1	1	1	0	2	0	3
Dnaic2	31	35	4	3	3	1
Dnaja1	5075.24	4769.97	5424.25	5730.89	3214.09	3993.14
Dnaja2	4283	4088	3913	3979	3724	4301
Dnaja3	1255	1194	1238	1236	2868	3165
Dnaja4	363	368	320	315	341	393
Dnajb1	764	745	707	722	823	906
Dnajb11	2991	2886	6388	6403	1316	1482
Dnajb12	751	714	771	727	572	700
Dnajb13	1	1	4	1	12	16
Dnajb14	309	295	344	299	282	275
Dnajb2	765	725	647	673	858	876
Dnajb3	37	33	15	21	22	29
Dnajb4	1710	1576	800	773	1084	1074
Dnajb5	226	227	241	275	108	131
Dnajb6	2487	2392	2556	2458	1791	2012
Dnajb7	2	2	4	2	3	4
Dnajb8	0	0	0	0	0	0
Dnajb9	618	606	4713.01	4782.74	2280	3214
Dnajc1	1776.17	1737.14	2434.29	2421.67	1166.76	1274.83
Dnajc10	4470	4048	4096	4186	1262	1524
Dnajc11	1058	971	976	870	1845	2062
Dnajc12	25	25	30	21	29	30
Dnajc13	3829	2918	2182	2062	2125	2410
Dnajc14	1796.86	1516.14	1544.59	1535.23	1188.03	1386.92
Dnajc15	182	206	177	203	1006	1336
Dnajc16	378	343	460	415	550	606
Dnajc17	142	147	60	57	73	97
Dnajc18	761	762	906	863	379	427
Dnajc19	281.16	350.28	255.44	266.61	403.27	533.99
Dnajc2	1177	1219	869	895	532	540
Dnajc21	601	576	588	574	589	646
Dnajc22	0	3	1	0	38	36
Dnajc24	188	190	165	202	132	202
Dnajc25	777	781	644	635	369	504
Dnajc27	240	168	225	261	79	95
Dnajc28	57	56	97	118	269	308
Dnajc3	4413	3715	15705	15202	2345	2811
Dnajc30	250.6	272.69	299.32	313.44	311.1	360.62
Dnajc4	116	135	126	136	222	290
Dnajc5	2578	2132	2679	2508	2902	3287
Dnajc5b	1	0	0	0	0	0
Dnajc5g	0	0	0	0	0	0
Dnajc6	3	4	4	8	1	6
Dnajc7	1728	1781	1297	1349	1666	1778
Dnajc8	1806	2095	1636	1644	980	1124
Dnajc9	711	663	607	641	237	261
Dnal1	262	255	345	309	176	230
Dnal4	253	222	253	251	173	226
Dnali1	4	2	0	2	2	1
Dnase1	5	7	3	3	6	9
Dnase1l1	191	173	126	138	179	196
Dnase1l2	5	4	12	12	8	15
Dnase1l3	3	0	0	0	3	3
Dnase2a	506	528	297	313	255	315
Dnase2b	0	0	0	0	0	0
Dnd1	12	12	11	13	3	5
Dner	36	29	6	4	2	5
Dnlz	661.6	663.92	417.61	434.56	426	555.48
Dnm1	650	675	252	225	468	602
Dnm1l	1648	1487	1475	1477	2206	2582
Dnm2	2402.46	2552.92	3086.58	2901.88	2375.3	2736
Dnm3	31	26	22	30	22	23
Dnm3os	2187.92	2347.82	2389	2459	1424.44	1556
Dnmbp	563	500	622	566	372	496
Dnmt1	2763	2454	1948	1704	497	529
Dnmt3a	1389	1143	762	613	1122	1210
Dnmt3aos	1	2	0	0	0	0
Dnmt3b	76	44	49	54	34	33
Dnmt3l	205	170	88	89	37	43
Dnpep	2046	2296	1718	1606	1338	1518
Dnph1	247	213	108	137	17	24
Dntt	0	1	0	0	0	0
Dnttip1	591	525	548	551	419	482
Dnttip2	1124	1060	1139	1102	663	775
Doc2a	121.04	112.3	91.36	115.56	61.8	80.92
Doc2b	38	33	34	25	25	24
Doc2g	24	35	36	50	64	53
Dock1	2888	2207	2415	2256	1373	1591
Dock10	192	165	449	401	1460	1749
Dock11	761	643	366	334	408	546
Dock2	69	61	52	36	94	115
Dock3	4	7	7	3	1	4
Dock4	459	352	970	864	350	399
Dock5	525	503	254	256	645	712
Dock6	778	711	424	371	197	241
Dock7	2907	2387	1884	1779	1297	1317
Dock8	79	69	84	83	94	116
Dock9	455	434	320	279	344	422
Dohh	1319	1156	604	620	766	805
Dok1	1267	1128	361	387	279	294
Dok2	31	33	25	15	36	42
Dok3	17	14	18	17	18	19
Dok4	248.3	233.72	133.45	164.3	72.65	88.17
Dok5	189	186	278	282	41	41
Dok6	12	9	19	14	8	12
Dok7	2	4	1	2	3	3
Dolk	587	506	668	658	2114	2599
Dolpp1	288	287	217	201	384	450
Donson	294	274	284	299	130	161
Dopey1	441.39	373.81	794.77	655.23	522.72	633.72
Dopey2	545	465	521	439	383	500
Dos	88.14	78.95	92.84	110.43	46.93	41.76
Dot1l	814	693	695	553	1015	1118
Doxl2	1	1	0	0	0	0
Dpagt1	903	743	949	951	509	646
Dpcd	340	378	195	215	199	199
Dpcr1	2	3	5	2	0	0
Dpep1	5002	4900	29206	30264	14867	16997
Dpep2	6	13	17	13	285	341
Dpep3	0	0	0	0	4	7
Dpf1	30	34	26	24	252	249
Dpf2	1339	1267	1248	1224	826	981
Dpf3	2	2	13	9	50	53
Dph1	280.37	240.81	272.95	234.77	270.83	391.68
Dph2	256	205	235	221	85	109
Dph3	502	487	335	362	387	479
Dph5	211	209	188	187	111	119
Dph6	407	346	256	241	311	374
Dph7	173	166.3	194.24	193.54	124.29	138.41
Dpm1	82.63	59.14	98.1	122.16	101.51	124.41
Dpm1-adnp	2509.68	2560.93	2456.74	2314.52	2230.4	2569.32
Dpm2	270	291	348	392	235	300
Dpm3	448	462	278	283	263	289
Dpp10	0	0	1	0	0	1
Dpp3	2132	2007	1367	1324	1267	1464
Dpp4	927	904	180	201	21	29
Dpp6	11	2	3	2	37	25
Dpp7	598	667	496	434	594	816
Dpp8	2221	1942	2618	2403	1947	2217
Dpp9	1631	1512	1211	1162	720	853
Dppa1	0	0	0	0	0	0
Dppa2	6	6	0	1	2	2
Dppa3	1	3	0	0	1	0
Dppa4	0	1	0	0	0	0
Dppa5a	0	0	0	0	0	0
Dpt	985	874	845	816	2435	3663
Dpy19l1	1957	1629	1669	1668	721	935
Dpy19l2	0	0	0	0	0	0
Dpy19l3	586	502	377	347	154	194
Dpy19l4	505	354	628	538	330	410
Dpy30	269	280	229	229	232	270
Dpyd	24	24	28	28	105	149
Dpys	0	0	0	0	0	0
Dpysl2	1015	902	699	672	301	361
Dpysl3	2295	1976	1169	1152	92	127
Dpysl4	47	37	29	26	16	19
Dpysl5	4	2	4	1	0	0
Dqx1	5	12	12	13	25	37
Dr1	1216	1013	1364	1452	1030	1177
Dram1	1132	1034	950	1006	1431	1585
Dram2	459	478	499	523	1316	1793
Drap1	2410	2455	1264	1393.98	1869	1913
Draxin	1353	1334	7582	7018	311	288
Drc1	6	3	0	2	0	1
Drc7	0	0	0	0	0	0
Drd1	11	11	123	118	64	69
Drd2	0	0	0	0	0	0
Drd3	0	0	0	0	0	0
Drd4	25	34	16	12	1	0
Drd5	0	0	0	1	0	0
Dreh	0	0	1	0	0	0
Drg1	1698	1595	1185	1267	939	1089
Drg2	661	783	742	768	644	787
Drosha	1469	1526	1273	1187	688	751
Drp2	138	114	44	59	9	11
Dsc1	0	0	0	1	0	0
Dsc2	11	9	7	3	8	12
Dsc3	17	10	5	3	1	3
Dscam	3	5	0	0	1	1
Dscaml1	0	0	0	0	0	0
Dscc1	99	104	29	37	6	4
Dscr3	1077	1065	994	984	883	1021
Dse	3911	3370	4083	4003	1198	1501
Dsel	1184	1078	2100	2041	437	544
Dsg1a	0	0	1	0	0	0
Dsg1b	0	0	0	0	0	1
Dsg1c	0	0	0	0	0	0
Dsg2	4	7	2	2	0	0
Dsg3	0	1	1	1	0	0
Dsg4	0	0	0	0	0	0
Dsn1	291	290	236	222	116	146
Dsp	19	16	9	7	2	1
Dspp	0	0	0	0	0	0
Dst	13474.64	10230.38	11212.81	8782.53	4860.72	4894.73
Dstn	7936	7961	2879	3044	2827	3259
Dstyk	766	636	688	587	463	531
Dtd1	175	192	133	130	125	167
Dtd2	242	224	248	217	225	273
Dthd1	0	2	7	8	0	0
Dtl	482	388	494	434	53	83
Dtna	64	56	54	44	154	125
Dtnb	205	247	198	176	114	130
Dtnbp1	1852	1969	1043	974	1278	1551
Dtwd1	181	135	222	239	98	107
Dtwd2	71	53	28	39	46	77
Dtx1	9	11	7	5	3	0
Dtx2	351	277	390	395	855	1059
Dtx3	688	867	650	640	539	474
Dtx3l	729.99	548.68	294.35	325	421.37	545.46
Dtx4	709	750	836	737	1706	2016
Dtymk	738	788	792	856	351	347
Duox1	142	143	6	9	19	17
Duox2	0	0	0	0	1	1
Duoxa1	56	66	3	0	24	31
Duoxa2	0	0	0	0	0	0
Dupd1	0	0	0	1	0	0
Dus1l	504	471	594	563	681	753
Dus2	249	269	279	274	510	527
Dus3l	514	521	366	333	379	387
Dus4l	77	83	94	94	69	72
Dusp1	974	991	1285	1246	1931	2125
Dusp10	205	203	189	202	553	669
Dusp11	2097	1916	2482	2324	1786	2137
Dusp12	309	302	167	179	74	112
Dusp13	6	5	6	4	3	2
Dusp14	27	32	18	25	37	52
Dusp15	3	2	1	0	7	6
Dusp16	591	446	283	224	419	466
Dusp18	254	267	234	218	495	585
Dusp19	190	195	220	222	158	164
Dusp2	24	21	15	11	5	5
Dusp21	0	0	0	0	0	0
Dusp22	90	89	103	96	659	773
Dusp23	181	242	234	241	261	271
Dusp26	0	2	0	0	0	0
Dusp27	16	16	11	7	1	2
Dusp28	69	51	34	30	105	120
Dusp3	872	773	358	339	1894	2205
Dusp4	293	215	305	287	937	1283
Dusp5	65	59	87	82	36	41
Dusp6	212	196	451	475	310	421
Dusp7	849	661	507	538	342	420
Dusp8	166	170	15	3	95	99
Dusp9	57	44	17	19	8	3
Dut	1089	998	738	735	207	254
Dux	1	1	0	0	0	0
Duxbl1	0	0	8	0	5	1
Duxbl2	5.5	9.5	0	4	0	0
Duxbl3	5.5	9.5	0	4	0	0
Dvl1	1137	958	900	859	883	945
Dvl2	904	910	556	572	330	407
Dvl3	617	626	604	554	505	499
Dxo	254	233	270	283	177	223
Dydc1	0	1	0	0	0	0
Dydc2	2	1	2	0	1	0
Dym	553	601	675	628	736	826
Dynap	1	1	0	0	0	0
Dync1h1	20951	16484	14152	11936	10690	12156
Dync1i1	3	7	1	1	1	1
Dync1i2	3651	3563	1669	1756	1593	1879
Dync1li1	1314	1123	1088	1082	728	1039
Dync1li2	3320	2935	2199	2133	1780	1964
Dync2h1	514	378	414	358	406	367
Dync2li1	130	180	247	266	82	102
Dynll1	2457	2722	1668	1718	876	1247
Dynll2	3383	3017	2655	2652	3675	3858
Dynlrb1	2008	1998	1236	1375	1451	1908
Dynlrb2	1	0	0	0	0	2
Dynlt1a	76.21	67.06	65.86	65.12	59.27	71.29
Dynlt1b	495.64	581.58	734.08	708.33	962.43	1461.23
Dynlt1c	449.74	471.47	544.98	579.6	553.34	746.08
Dynlt1f	70.57	114.87	99.19	61.91	120.49	133.03
Dynlt3	1797	1815	1513	1575	1403	1671
Dyrk1a	1137	1006	1136	1003	897	1148
Dyrk1b	199	238	162	153	634	725
Dyrk2	794	677	702	647	739	670
Dyrk3	17	8	9	10	10	8
Dyrk4	0	3	0	1	0	0
Dysf	826	770	162	138	748	723
Dytn	0	0	0	0	0	0
Dyx1c1	20	23	15	18	12	8
Dzank1	26	23	33	17	28	31
Dzip1	815	716	1050	969	193	223
Dzip1l	922	787	266	269	222	222
Dzip3	548	477	557	550	175	221
E030002O03Rik	1	0	0	0	0	0
E030003E18Rik	89	108	403	416	399	531
E030011O05Rik	75.01	51.25	10	14	52	37.48
E030013I19Rik	2	1	0	0	0	0
E030018B13Rik	0	2	1	3	0	2
E030019B13Rik	0	0	0	0	0	0
E030024N20Rik	135.39	103.93	53.42	71.6	59.6	65.83
E030025P04Rik	0	0	0	0	0	0
E030030I06Rik	20	17	43	47	49	41
E030044B06Rik	0	1	0	0	1	0
E130006D01Rik	3	4	0	0	3	0
E130008D07Rik	0	0	0	0	0	0
E130012A19Rik	221	224	152	165	45	41
E130018N17Rik	4	2	1	0	1	1
E130102H24Rik	13	13	19	17	31	33
E130112N10Rik	3	2	6	3	9	2
E130114P18Rik	0	1	2	2	0	0
E130201H02Rik	2	2	1	2	0	0
E130215H24Rik	0	0	0	0	0	1
E130218I03Rik	0	5.35	0	1.99	1.72	2.65
E130304I02Rik	2.23	2.67	3.59	3.5	1.14	0
E130307A14Rik	26	32	54	55	24	31
E130308A19Rik	126	100	112	96	73	79
E130309D02Rik	484	496	388	422	243	285
E130309D14Rik	4	7	0	3	7	13
E130310I04Rik	5.09	5.15	1.01	0	0	2.05
E130311K13Rik	175	202	199	202	184	214
E130317F20Rik	69.16	72.04	48.07	40.05	26.09	26.08
E230013L22Rik	22.53	29.07	28.4	30.96	24.88	27.11
E230016K23Rik	4	13	3	9	1	1
E230016M11Rik	6.58	22.15	9.96	14.34	8.81	2.21
E230025N22Rik	3	1	0	1	0	1
E230029C05Rik	0	0	0	0	1	0
E2f1	859	807	532	535	298	293
E2f2	57	41	56	43	121	170
E2f3	837	702	795	771	420	429
E2f4	657	659	754	724	435	543
E2f5	188	154	293	259	155	186
E2f6	867	654	869	924	507	612
E2f7	390	340	321	266	22	24
E2f8	216	208	227	208	24	20
E330009J07Rik	44	20	39	20	33	26
E330011O21Rik	1	1	4	6	1	0
E330012B07Rik	0	0	0	0	0	0
E330013P04Rik	160	183	84	73	28	27
E330014E10Rik	0	0	0	0	0	0
E330017A01Rik	0	0	0	0	0	0
E330017L17Rik	0	0	0	0	1	1
E330020D12Rik	1	1	0	0	2	0
E330021D16Rik	0	1	0	0	0	0
E330023G01Rik	1	0	0	0	0	0
E330033B04Rik	21	25	39	35	23	35
E330034G19Rik	1	1	1	0	1	1
E430016F16Rik	0	0	0	0	1	1
E430018J23Rik	68.33	74.35	91	108.99	35	64.39
E430025E21Rik	2445	2289	1488	1417	1195	1519
E4f1	244	251	261	233	220	205
E530001F21Rik	0	0	0	0	1	0
E530011L22Rik	35.27	29.59	26.2	26.35	20.18	25.26
EU599041	0	0	0	0	0	0
Eaf1	1438	1285	1864	1836	1423	1542
Eaf2	15	10	9	18	28	24
Eapp	353	377	323	333	371	461
Ear1	0	0	0	1	3	2.75
Ear10	0	0	0.33	0	0	0
Ear12	0	0	0.33	0	0.69	0
Ear14	0	0	0	0	0	0
Ear2	1	0	0	0	2.62	8.25
Ear3	0	0	0.33	0	0.69	0
Ear4	0	0	0	0	0	0
Ear6	0	0	0	0	0	0
Ear7	0	0	0	0	0	0
Ears2	253	250	214	186	187	261
Ebag9	252	261	374	410	251	308
Ebf1	3625	3803	4463	4415	3776	4310
Ebf2	681	632	539	584	1188	1453
Ebf3	484	428	565	540	419	507
Ebf4	19	15	16	20	7	10
Ebi3	1.61	3.53	0	3	6	13
Ebna1bp2	1615	1484	950	953	511	573
Ebp	847	941	1483	1451	633	677
Ebpl	288	253	373	410	166	224
Ecd	808	839	725	709	628	744
Ece1	4410	3857	3188	2914	1911	2081
Ece2	429	412	256	265	155	213
Ecel1	5	3	22	24	3	1
Ech1	601	695	1242	1225	5912	7101
Echdc1	303.04	237.63	415.36	436.67	13522.44	14121.55
Echdc2	317	292	313	322	596	722
Echdc3	27	28	9	17	360	443
Echs1	1394	1417	1406	1487	6270	7264
Eci1	417	399	292	268	3744	4388
Eci2	953.91	997.27	1102.51	988.38	2733.78	3148.51
Eci3	8.09	16.73	3.49	4.62	2.22	5.49
Ecm1	2541	2635	1878	1897	1936	2163
Ecm2	157	114	33	43	38	44
Ecscr	167	189	36	39	28	33
Ecsit	334.79	357.6	239.5	242.65	754.05	827.27
Ect2	852	702	599	621	83	90
Ect2l	1	0	0	0	0	0
Eda	85	91	113	94	105	133
Eda2r	472	403	763	727	190	294
Edar	2	0	1	0	0	0
Edaradd	2	2	2	4	0	3
Edc3	537	489	482	472	420	529
Edc4	1411	1282	1222	1077	627	757
Eddm3b	0	0	0	0	0	1
Edem1	3862	3120	5326	5262	2575	2812
Edem2	525	518	843	865	452	557
Edem3	1817	1425	2618	2551	1353	1619
Edf1	1844	2061	1031	1175	2082	2568
Edil3	36	37	19	21	9	25
Edn1	411	357	154	140	870	1079
Edn2	0	0	0	0	0	0
Edn3	0	0	0	0	0	0
Ednra	259	254	193	172	126	213
Ednrb	273	243	514	501	198	293
Edrf1	435	369	547	573	582	699
Eea1	1999	1756	1789	1610	1478	1691
Eed	766	656	636	666	581	662
Eef1a1	218319.32	209242.55	206427.2	209303.61	123974.64	144479.1
Eef1a2	64	65	5	8	10	12
Eef1b2	16156	17662	15710	16644	7228	8240
Eef1d	4547	4859	3260	3303	1817	1925
Eef1e1	566	435	427	394	240	285
Eef1g	26107	26704	19177	19382	7014	7890
Eef2	80504	81606	85799	84591	57079	61288
Eef2k	1266	1151	678	640	780	940
Eef2kmt	240.96	310.6	399.13	350.53	423.48	490.89
Eefsec	315	308	310	320	136	205
Eepd1	30	31	64	59	334	389
Efcab1	2	3	2	3	0	2
Efcab10	0	0	0	0	0	0
Efcab11	98	85	80	70	12	20
Efcab12	3	3	1	0	3	2
Efcab14	806	653	1070	1081	1014	1125
Efcab2	35	36	23	24	43	36
Efcab3	0	1	0	0	0	0
Efcab5	10	18	10	12	5	3
Efcab6	2	3	0	0	1	0
Efcab7	23	35	34	39	23	23
Efcab8	0	2	1	0	2	1
Efcab9	0	2	1	1	1	1
Efcc1	15	19	11	18	2	1
Efemp1	2255	2338	2816	2739	1449	2071
Efemp2	13407	15330	11630	11514	4900	4913
Efhb	8	8	3	2	3	4
Efhc1	48	55	177	169	66	72
Efhc2	1	2	2	2	13	6
Efhd1	15	20	3	7	12	25
Efhd2	1382	1219	906	930	680	782
Efna1	97	101	59	43	28	31
Efna2	107	126	130	142	107	83
Efna3	17	16	19	27	1	3
Efna4	155	146	75	86	31	31
Efna5	222	217	226	244	377	345
Efnb1	3285	2728	2562	2547	520	570
Efnb2	1369	1204	1241	1170	212	255
Efnb3	1	8	3	11	7	8
Efr3a	2616	2349	2359	2218	3065	3419
Efr3b	230	220	106	87	30	37
Efs	738	759	184	190	306	357
Eftud1	414	477	433	409	363	365
Eftud2	2231	2129	1829	1810	766	891
Egf	13	17	33	24	31	18
Egfbp2	0	0	0	0	0	0
Egfem1	0	0	0	0	0	0
Egfl6	4	8	12	7	14	18
Egfl7	401	481	371	355	172	263
Egfl8	9	9.01	8.02	11.05	11.03	4.02
Egflam	44	43	6	9	0	2
Egfr	4534	4128	16125	14613	4878	6554
Egln1	1590	1439	1306	1233	3161	3578
Egln2	1721	1536	896	993	1146	1227
Egln3	94	84	63	44	4632	4568
Egr1	2741	3323	6509	6293	6110	7041
Egr2	717	604	2037	1994	1125	1298
Egr3	245	181	268	251	41	55
Egr4	4	1	3	4	0	0
Ehbp1	477	440	427	373	573	563
Ehbp1l1	4689	4308	1395	1355	2484	2369
Ehd1	4447	3996	3737	3616	2951	3257
Ehd2	4909	4847	4643	4435	12691	14905
Ehd3	146	144	143	117	95	131
Ehd4	761	677	352	363	520	593
Ehf	1	1	3	1	1	0
Ehhadh	118	75	82	89	1654	2700
Ehmt1	1595	1653	1415	1371	924	983
Ehmt2	4254	3954	2840	2654	2216	2531
Ei24	1283	1248	1398	1435	1484	1808
Eid1	2033	2030	1416	1430	1388	1559
Eid2	314	297	497	501	221	296
Eid2b	106	113	147	140	155	182
Eid3	27	28	34	23	14	9
Eif1	7728	7621	6713	6890	6757	7586
Eif1a	3257	2799.99	3591	3647	4441	5282.93
